"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia SECHURA (000)",19445,437,57,8229,6592,1048,1738,567,777
"Agric., ganadería, caza y silvicultura (001)",4429,158,11,2458,1407,130,175,40,50
"Pesca (002)",3992,53,8,2155,1475,104,103,54,40
"Explotación de minas y canteras (003)",24,,,6,1,1,8,,8
"Industrias manufactureras (004)",1715,35,16,668,652,87,153,47,57
"Suministro de electricidad, gas y agua (005)",25,,,5,4,1,10,2,3
"Construcción (006)",638,4,1,204,292,49,50,22,16
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",3127,100,11,1302,1021,207,291,102,93
"Venta, mant.y rep. veh.autom.y motoc. (008)",249,1,,33,95,31,60,16,13
"Comercio al por mayor (009)",338,18,2,109,138,22,25,8,16
"Comercio al por menor (010)",2540,81,9,1160,788,154,206,78,64
"Hoteles y restaurantes (011)",733,37,2,322,251,46,50,14,11
"Trans., almac. y comunicaciones (012)",1684,7,2,496,790,129,151,71,38
"Intermediación financiera (013)",34,,,2,6,2,5,5,14
"Activid.inmobil., empres. y de alquiler (014)",403,6,1,57,97,49,70,33,90
"Admin.pub. y defensa; p. segur.soc.afil (015)",704,5,,78,184,66,215,63,93
"Enseñanza (016)",663,,,1,51,58,312,54,187
"Servicios sociales y de salud (017)",138,1,,4,7,4,64,17,41
"Otras activ. serv.comun.soc y personales (018)",432,6,,99,121,81,67,31,27
"Hogares privados con servicio doméstico (019)",438,16,3,223,156,23,8,7,2
"Actividad economica no especificada (021)",266,9,2,149,77,11,6,5,7
"Hombres (022)",14164,242,27,6126,5206,689,981,387,506
"Agric., ganadería, caza y silvicultura (023)",4192,133,9,2317,1362,123,163,38,47
"Pesca (024)",3923,52,8,2125,1451,99,97,52,39
"Explotación de minas y canteras (025)",20,,,6,1,1,7,,5
"Industrias manufactureras (026)",960,13,,276,431,58,102,36,44
"Suministro de electricidad, gas y agua (027)",23,,,5,4,1,9,1,3
"Construcción (028)",622,4,1,199,285,48,49,20,16
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1355,24,4,468,518,87,144,54,56
"Venta, mant.y rep. veh.autom.y motoc. (030)",237,1,,30,90,29,58,16,13
"Comercio al por mayor (031)",245,11,1,75,108,16,16,6,12
"Comercio al por menor (032)",873,12,3,363,320,42,70,32,31
"Hoteles y restaurantes (033)",119,,2,40,51,10,10,3,3
"Trans., almac. y comunicaciones (034)",1611,7,2,489,770,114,130,66,33
"Intermediación financiera (035)",14,,,,1,,3,2,8
"Activid.inmobil., empres. y de alquiler (036)",263,4,1,43,74,29,37,22,53
"Admin.pub. y defensa; p. segur.soc.afil (037)",386,3,,60,129,28,67,41,58
"Enseñanza (038)",264,,,1,22,12,112,21,96
"Servicios sociales y de salud (039)",49,,,3,4,2,13,5,22
"Otras activ. serv.comun.soc y personales (040)",277,1,,50,74,73,34,24,21
"Hogares privados con servicio doméstico (041)",13,1,,1,10,1,,,
"Actividad economica no especificada (043)",73,,,43,19,3,4,2,2
"Mujeres (044)",5281,195,30,2103,1386,359,757,180,271
