"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia MORROPON (000)",159347,91452,67895
"Casa independiente (001)",155615,90986,64629
"Departamento en edificio (002)",94,94,
"Vivienda en quinta (003)",97,97,
"Vivienda en casa de vecindad (004)",175,175,
"Choza o cabaña (005)",3260,,3260
"Vivienda improvisada (006)",64,64,
"Local no dest.para hab. humana (007)",31,29,2
"Otro tipo (008)",11,7,4
