"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CHUPACA (000)",19037,969,15,4897,8090,1077,1820,639,1530
"Agric., ganadería, caza y silvicultura (001)",9637,771,10,3485,4309,309,386,144,223
"Pesca (002)",15,,,2,7,3,1,1,1
"Explotación de minas y canteras (003)",236,,,27,138,18,21,7,25
"Industrias manufactureras (004)",1432,39,2,375,673,102,90,90,61
"Suministro de electricidad, gas y agua (005)",31,,,1,11,2,9,2,6
"Construcción (006)",734,4,,102,438,59,61,23,47
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2062,51,,385,856,203,284,117,166
"Venta, mant.y rep. veh.autom.y motoc. (008)",208,1,,16,72,37,54,13,15
"Comercio al por mayor (009)",69,1,,10,23,8,11,8,8
"Comercio al por menor (010)",1785,49,,359,761,158,219,96,143
"Hoteles y restaurantes (011)",607,31,1,153,288,54,34,29,17
"Trans., almac. y comunicaciones (012)",1065,3,,95,667,94,98,40,68
"Intermediación financiera (013)",14,,,,3,1,5,3,2
"Activid.inmobil., empres. y de alquiler (014)",369,,,14,99,43,60,44,109
"Admin.pub. y defensa; p. segur.soc.afil (015)",351,,,12,88,27,85,37,102
"Enseñanza (016)",1215,,,2,49,44,524,50,546
"Servicios sociales y de salud (017)",241,2,,7,25,16,69,28,94
"Otras activ. serv.comun.soc y personales (018)",306,18,,51,108,57,36,9,27
"Hogares privados con servicio doméstico (019)",305,24,1,78,157,22,16,2,5
"Actividad economica no especificada (021)",417,26,1,108,174,23,41,13,31
"Hombres (022)",11371,217,7,2378,5558,715,1039,466,991
"Agric., ganadería, caza y silvicultura (023)",5437,155,3,1607,2933,205,252,113,169
"Pesca (024)",12,,,1,6,2,1,1,1
"Explotación de minas y canteras (025)",232,,,25,138,17,21,7,24
"Industrias manufactureras (026)",1194,32,2,305,573,88,61,82,51
"Suministro de electricidad, gas y agua (027)",29,,,1,11,2,8,2,5
"Construcción (028)",718,4,,98,431,59,60,22,44
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",904,13,,113,383,105,134,61,95
"Venta, mant.y rep. veh.autom.y motoc. (030)",199,1,,15,69,36,52,12,14
"Comercio al por mayor (031)",33,,,3,13,5,4,3,5
"Comercio al por menor (032)",672,12,,95,301,64,78,46,76
"Hoteles y restaurantes (033)",186,1,1,39,93,16,11,15,10
"Trans., almac. y comunicaciones (034)",1010,3,,93,645,86,82,38,63
"Intermediación financiera (035)",8,,,,2,1,2,2,1
"Activid.inmobil., empres. y de alquiler (036)",280,,,13,83,38,39,34,73
"Admin.pub. y defensa; p. segur.soc.afil (037)",258,,,7,61,18,69,30,73
"Enseñanza (038)",640,,,2,38,21,237,33,309
"Servicios sociales y de salud (039)",102,,,3,11,6,26,17,39
"Otras activ. serv.comun.soc y personales (040)",161,3,,26,56,41,16,4,15
"Hogares privados con servicio doméstico (041)",18,1,,6,8,1,2,,
"Actividad economica no especificada (043)",182,5,1,39,86,9,18,5,19
"Mujeres (044)",7666,752,8,2519,2532,362,781,173,539
