"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia MAYNAS (000)",239340,195094,44246
"De 3 a 5 años (001)",35603,2339,33264
"De 6 a 11 años (002)",61753,51998,9755
"De 12 a 16 años (003)",60487,59966,521
"De 17 a 24 años (004)",81497,80791,706
"Hombres (005)",120711,98175,22536
"De 3 a 5 años (006)",18152,1205,16947
"De 6 a 11 años (007)",31496,26482,5014
"De 12 a 16 años (008)",30158,29884,274
"De 17 a 24 años (009)",40905,40604,301
"Mujeres (010)",118629,96919,21710
"De 3 a 5 años (011)",17451,1134,16317
"De 6 a 11 años (012)",30257,25516,4741
"De 12 a 16 años (013)",30329,30082,247
"De 17 a 24 años (014)",40592,40187,405
,,,
"URBANA (015)",187398,156789,30609
"De 3 a 5 años (016)",26463,2076,24387
"De 6 a 11 años (017)",45840,40326,5514
"De 12 a 16 años (018)",47557,47228,329
"De 17 a 24 años (019)",67538,67159,379
"Hombres (020)",93249,77640,15609
"De 3 a 5 años (021)",13505,1072,12433
"De 6 a 11 años (022)",23293,20464,2829
"De 12 a 16 años (023)",23266,23092,174
"De 17 a 24 años (024)",33185,33012,173
"Mujeres (025)",94149,79149,15000
"De 3 a 5 años (026)",12958,1004,11954
"De 6 a 11 años (027)",22547,19862,2685
"De 12 a 16 años (028)",24291,24136,155
"De 17 a 24 años (029)",34353,34147,206
,,,
"RURAL (030)",51942,38305,13637
"De 3 a 5 años (031)",9140,263,8877
"De 6 a 11 años (032)",15913,11672,4241
"De 12 a 16 años (033)",12930,12738,192
"De 17 a 24 años (034)",13959,13632,327
"Hombres (035)",27462,20535,6927
"De 3 a 5 años (036)",4647,133,4514
"De 6 a 11 años (037)",8203,6018,2185
"De 12 a 16 años (038)",6892,6792,100
"De 17 a 24 años (039)",7720,7592,128
"Mujeres (040)",24480,17770,6710
"De 3 a 5 años (041)",4493,130,4363
"De 6 a 11 años (042)",7710,5654,2056
"De 12 a 16 años (043)",6038,5946,92
"De 17 a 24 años (044)",6239,6040,199
