"CUADRO Nº 16: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia CHACHAPOYAS (000)",19254,4699,2333,8225,467,2201,664,665
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",74,70,,,4,,,
"Profes., científicos e intelectuales (002)",2172,1952,,193,24,3,,
"Técnicos de nivel medio y trab. asimilados (003)",774,558,,158,54,4,,
"Jefes y empleados de oficina (004)",971,965,,1,,5,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2065,434,38,1277,86,230,,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",5181,3,,5002,176,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",949,,254,588,55,52,,
"Obreros construc.,conf.,papel, fab., instr. (008)",1266,151,593,453,57,12,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (009)",4680,349,1410,425,5,1827,664,
"Otra (010)",178,178,,,,,,
"Ocupación no especificada (011)",279,39,38,128,6,68,,
"Desocupado (012)",665,,,,,,,665
"Hombres (013)",12476,2466,2018,6045,363,1147,19,418
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",58,56,,,2,,,
"Profes., científicos e intelectuales (015)",1109,954,,135,18,2,,
"Técnicos de nivel medio y trab. asimilados (016)",419,270,,113,35,1,,
"Jefes y empleados de oficina (017)",409,407,,,,2,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",752,248,9,397,49,49,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",4526,2,,4376,148,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",722,,214,429,49,30,,
"Obreros construc.,conf.,papel, fab., instr. (021)",1243,150,586,442,56,9,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (022)",2581,194,1194,126,2,1046,19,
"Otra (023)",170,170,,,,,,
"Ocupación no especificada (024)",69,15,15,27,4,8,,
"Desocupado (025)",418,,,,,,,418
"Mujeres (026)",6778,2233,315,2180,104,1054,645,247
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",16,14,,,2,,,
"Profes., científicos e intelectuales (028)",1063,998,,58,6,1,,
"Técnicos de nivel medio y trab. asimilados (029)",355,288,,45,19,3,,
"Jefes y empleados de oficina (030)",562,558,,1,,3,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",1313,186,29,880,37,181,,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",655,1,,626,28,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",227,,40,159,6,22,,
"Obreros construc.,conf.,papel, fab., instr. (034)",23,1,7,11,1,3,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (035)",2099,155,216,299,3,781,645,
"Otra (036)",8,8,,,,,,
"Ocupación no especificada (037)",210,24,23,101,2,60,,
"Desocupado (038)",247,,,,,,,247
,,,,,,,,
"URBANA (039)",13474,4468,1612,4876,384,995,570,569
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",68,64,,,4,,,
"Profes., científicos e intelectuales (041)",2028,1823,,178,24,3,,
"Técnicos de nivel medio y trab. asimilados (042)",734,533,,145,52,4,,
"Jefes y empleados de oficina (043)",932,926,,1,,5,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",1882,426,31,1135,86,204,,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",2135,1,,2036,98,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",835,,219,524,54,38,,
"Obreros construc.,conf.,papel, fab., instr. (047)",1169,147,551,406,55,10,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (048)",2739,333,785,361,5,685,570,
"Otra (049)",176,176,,,,,,
"Ocupación no especificada (050)",207,39,26,90,6,46,,
"Desocupado (051)",569,,,,,,,569
"Hombres (052)",8083,2343,1406,3242,294,438,16,344
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",52,50,,,2,,,
"Profes., científicos e intelectuales (054)",1041,894,,127,18,2,,
"Técnicos de nivel medio y trab. asimilados (055)",395,257,,103,34,1,,
"Jefes y empleados de oficina (056)",385,383,,,,2,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",697,243,9,353,49,43,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",1836,1,,1752,83,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",646,,190,383,48,25,,
"Obreros construc.,conf.,papel, fab., instr. (060)",1148,146,544,396,54,8,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (061)",1311,186,648,108,2,351,16,
"Otra (062)",168,168,,,,,,
"Ocupación no especificada (063)",60,15,15,20,4,6,,
"Desocupado (064)",344,,,,,,,344
"Mujeres (065)",5391,2125,206,1634,90,557,554,225
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",16,14,,,2,,,
"Profes., científicos e intelectuales (067)",987,929,,51,6,1,,
"Técnicos de nivel medio y trab. asimilados (068)",339,276,,42,18,3,,
"Jefes y empleados de oficina (069)",547,543,,1,,3,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",1185,183,22,782,37,161,,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",299,,,284,15,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",189,,29,141,6,13,,
"Obreros construc.,conf.,papel, fab., instr. (073)",21,1,7,10,1,2,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (074)",1428,147,137,253,3,334,554,
"Otra (075)",8,8,,,,,,
"Ocupación no especificada (076)",147,24,11,70,2,40,,
"Desocupado (077)",225,,,,,,,225
,,,,,,,,
"RURAL (078)",5780,231,721,3349,83,1206,94,96
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",6,6,,,,,,
"Profes., científicos e intelectuales (080)",144,129,,15,,,,
"Técnicos de nivel medio y trab. asimilados (081)",40,25,,13,2,,,
"Jefes y empleados de oficina (082)",39,39,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",183,8,7,142,,26,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",3046,2,,2966,78,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",114,,35,64,1,14,,
"Obreros construc.,conf.,papel, fab., instr. (086)",97,4,42,47,2,2,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (087)",1941,16,625,64,,1142,94,
"Otra (088)",2,2,,,,,,
"Ocupación no especificada (089)",72,,12,38,,22,,
"Desocupado (090)",96,,,,,,,96
"Hombres (091)",4393,123,612,2803,69,709,3,74
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",6,6,,,,,,
"Profes., científicos e intelectuales (093)",68,60,,8,,,,
"Técnicos de nivel medio y trab. asimilados (094)",24,13,,10,1,,,
"Jefes y empleados de oficina (095)",24,24,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (096)",55,5,,44,,6,,
