"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CARABAYA (000)",73946,1615,26461,20324,13569,8386,3591
"Hombres (001)",38408,835,13714,10463,7202,4399,1795
"Mujeres (002)",35538,780,12747,9861,6367,3987,1796
"Viviendas particulares (003)",72425,1606,26303,19780,13031,8140,3565
"Hombres (004)",37391,829,13642,10110,6816,4216,1778
"Mujeres (005)",35034,777,12661,9670,6215,3924,1787
"Viviendas colectivas (006)",783,3,76,301,278,119,6
"Hombres (007)",563,2,28,213,219,96,5
"Mujeres (008)",220,1,48,88,59,23,1
"Otro tipo (009)",738,6,82,243,260,127,20
"Hombres (010)",454,4,44,140,167,87,12
"Mujeres (011)",284,2,38,103,93,40,8
,,,,,,,
"URBANA (012)",30329,656,11212,8262,5748,3165,1286
"Hombres (013)",15340,338,5733,4105,2935,1650,579
"Mujeres (014)",14989,318,5479,4157,2813,1515,707
"Viviendas particulares (015)",29123,648,11060,7856,5331,2967,1261
"Hombres (016)",14591,333,5666,3869,2652,1508,563
"Mujeres (017)",14532,315,5394,3987,2679,1459,698
"Viviendas colectivas (018)",483,2,70,168,162,76,5
"Hombres (019)",307,1,23,100,120,59,4
"Mujeres (020)",176,1,47,68,42,17,1
"Otro tipo (021)",723,6,82,238,255,122,20
"Hombres (022)",442,4,44,136,163,83,12
"Mujeres (023)",281,2,38,102,92,39,8
,,,,,,,
"RURAL (024)",43617,959,15249,12062,7821,5221,2305
"Hombres (025)",23068,497,7981,6358,4267,2749,1216
"Mujeres (026)",20549,462,7268,5704,3554,2472,1089
"Viviendas particulares (027)",43302,958,15243,11924,7700,5173,2304
"Hombres (028)",22800,496,7976,6241,4164,2708,1215
"Mujeres (029)",20502,462,7267,5683,3536,2465,1089
"Viviendas colectivas (030)",300,1,6,133,116,43,1
"Hombres (031)",256,1,5,113,99,37,1
"Mujeres (032)",44,,1,20,17,6,
"Otro tipo (033)",15,,,5,5,5,
"Hombres (034)",12,,,4,4,4,
"Mujeres (035)",3,,,1,1,1,
