"CUADRO Nº 31: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,,
,,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,,DESOCU-PADO
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA",
,,,,,,,,,,,,,
"Provincia JAUJA (000)",30491,127,2615,1045,773,3254,5074,2153,2376,10696,105,452,1821
"Agric., ganadería, caza y silvicultura (001)",12226,,20,22,8,,5057,2,38,7079,,,
"Pesca (002)",21,,2,,,,17,,,2,,,
"Explotación de minas y canteras (003)",656,,26,35,12,3,,332,30,218,,,
"Industrias manufactureras (004)",1592,,22,65,10,14,,1350,74,57,,,
"Suministro de electricidad, gas y agua (005)",53,,5,9,8,,,8,10,13,,,
"Construcción (006)",1146,,36,20,5,,,68,708,309,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (007)",4251,3,44,149,20,2462,,364,42,1167,,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",392,1,8,27,1,58,,260,31,6,,,
"Comercio al por mayor (009)",204,1,7,24,7,141,,,4,20,,,
"Comercio al por menor (010)",3655,1,29,98,12,2263,,104,7,1141,,,
"Hoteles y restaurantes (011)",1158,,23,48,9,528,,1,2,547,,,
"Trans., almac. y comunicaciones (012)",1847,1,25,51,33,,,5,1413,319,,,
"Intermediación financiera (013)",46,,5,10,27,,,,,4,,,
"Activid.inmobil., empres. y alquileres (014)",653,,157,121,111,93,,10,26,135,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",848,98,83,33,375,26,,5,25,98,105,,
"Enseñanza (016)",1981,23,1803,21,93,,,2,1,38,,,
"Servicios sociales y de salud (017)",562,,244,196,37,30,,3,,52,,,
"Otras activ. serv.comun.soc y personales (018)",779,1,120,265,24,98,,3,7,261,,,
"Hogares privados con servicio doméstico (019)",396,,,,,,,,,396,,,
"Actividad economica no especificada (021)",455,1,,,1,,,,,1,,452,
"Desocupado (022)",1821,,,,,,,,,,,,1821
"Hombres (023)",19082,93,1384,698,347,1232,3786,1816,2331,5827,101,151,1316
"Agric., ganadería, caza y silvicultura (024)",7992,,17,18,6,,3770,2,38,4141,,,
"Pesca (025)",19,,2,,,,16,,,1,,,
"Explotación de minas y canteras (026)",636,,23,34,12,3,,326,30,208,,,
"Industrias manufactureras (027)",1201,,13,41,7,2,,1035,58,45,,,
"Suministro de electricidad, gas y agua (028)",48,,5,8,7,,,8,9,11,,,
"Construcción (029)",1118,,32,18,5,,,66,697,300,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (030)",1889,2,30,103,8,922,,352,40,432,,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",368,1,7,26,1,43,,254,30,6,,,
"Comercio al por mayor (032)",93,,4,11,4,57,,,4,13,,,
"Comercio al por menor (033)",1428,1,19,66,3,822,,98,6,413,,,
"Hoteles y restaurantes (034)",307,,17,26,4,162,,1,2,95,,,
"Trans., almac. y comunicaciones (035)",1740,1,19,30,24,,,5,1401,260,,,
"Intermediación financiera (036)",21,,4,2,12,,,,,3,,,
"Activid.inmobil., empres. y alquileres (037)",474,,113,90,44,90,,10,25,102,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",534,72,54,16,163,26,,5,23,74,101,,
"Enseñanza (039)",949,16,862,13,34,,,2,1,21,,,
"Servicios sociales y de salud (040)",175,,84,56,12,4,,1,,18,,,
"Otras activ. serv.comun.soc y personales (041)",487,1,109,243,9,23,,3,7,92,,,
"Hogares privados con servicio doméstico (042)",23,,,,,,,,,23,,,
"Actividad economica no especificada (044)",153,1,,,,,,,,1,,151,
"Desocupado (045)",1316,,,,,,,,,,,,1316
"Mujeres (046)",11409,34,1231,347,426,2022,1288,337,45,4869,4,301,505
"Agric., ganadería, caza y silvicultura (047)",4234,,3,4,2,,1287,,,2938,,,
"Pesca (048)",2,,,,,,1,,,1,,,
"Explotación de minas y canteras (049)",20,,3,1,,,,6,,10,,,
"Industrias manufactureras (050)",391,,9,24,3,12,,315,16,12,,,
"Suministro de electricidad, gas y agua (051)",5,,,1,1,,,,1,2,,,
"Construcción (052)",28,,4,2,,,,2,11,9,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (053)",2362,1,14,46,12,1540,,12,2,735,,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",24,,1,1,,15,,6,1,,,,
"Comercio al por mayor (055)",111,1,3,13,3,84,,,,7,,,
"Comercio al por menor (056)",2227,,10,32,9,1441,,6,1,728,,,
"Hoteles y restaurantes (057)",851,,6,22,5,366,,,,452,,,
"Trans., almac. y comunicaciones (058)",107,,6,21,9,,,,12,59,,,
"Intermediación financiera (059)",25,,1,8,15,,,,,1,,,
"Activid.inmobil., empres. y alquileres (060)",179,,44,31,67,3,,,1,33,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",314,26,29,17,212,,,,2,24,4,,
"Enseñanza (062)",1032,7,941,8,59,,,,,17,,,
"Servicios sociales y de salud (063)",387,,160,140,25,26,,2,,34,,,
"Otras activ. serv.comun.soc y personales (064)",292,,11,22,15,75,,,,169,,,
"Hogares privados con servicio doméstico (065)",373,,,,,,,,,373,,,
"Actividad economica no especificada (067)",302,,,,1,,,,,,,301,
"Desocupado (068)",505,,,,,,,,,,,,505
,,,,,,,,,,,,,
"URBANA (069)",21860,108,2417,961,704,2932,2410,1711,2027,6751,97,343,1399
"Agric., ganadería, caza y silvicultura (070)",6087,,17,20,7,,2399,2,24,3618,,,
"Pesca (071)",13,,,,,,11,,,2,,,
"Explotación de minas y canteras (072)",354,,22,31,12,2,,183,19,85,,,
"Industrias manufactureras (073)",1328,,21,63,10,13,,1108,65,48,,,
"Suministro de electricidad, gas y agua (074)",46,,4,9,7,,,8,5,13,,,
"Construcción (075)",994,,34,19,4,,,62,614,261,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (076)",3874,2,39,141,20,2253,,322,25,1072,,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",330,1,6,26,1,52,,225,14,5,,,
"Comercio al por mayor (078)",198,1,6,24,7,137,,,4,19,,,
"Comercio al por menor (079)",3346,,27,91,12,2064,,97,7,1048,,,
"Hoteles y restaurantes (080)",1043,,22,43,9,455,,1,2,511,,,
"Trans., almac. y comunicaciones (081)",1612,1,23,49,29,,,5,1219,286,,,
"Intermediación financiera (082)",46,,5,10,27,,,,,4,,,
"Activid.inmobil., empres. y alquileres (083)",566,,146,110,98,66,,9,23,114,,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",771,83,82,31,336,25,,5,24,88,97,,
"Enseñanza (085)",1828,21,1662,20,88,,,2,,35,,,
"Servicios sociales y de salud (086)",528,,232,184,35,28,,2,,47,,,
"Otras activ. serv.comun.soc y personales (087)",701,,108,231,21,90,,2,7,242,,,
"Hogares privados con servicio doméstico (088)",324,,,,,,,,,324,,,
"Actividad economica no especificada (090)",346,1,,,1,,,,,1,,343,
"Desocupado (091)",1399,,,,,,,,,,,,1399
"Hombres (092)",13174,78,1258,637,308,1094,1736,1424,1984,3476,94,112,973
"Agric., ganadería, caza y silvicultura (093)",3879,,14,16,5,,1726,2,24,2092,,,
"Pesca (094)",11,,,,,,10,,,1,,,
"Explotación de minas y canteras (095)",344,,20,31,12,2,,179,19,81,,,
"Industrias manufactureras (096)",986,,12,40,7,2,,839,50,36,,,
"Suministro de electricidad, gas y agua (097)",41,,4,8,6,,,8,4,11,,,
"Construcción (098)",968,,30,17,4,,,60,604,253,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (099)",1694,1,25,98,8,836,,311,23,392,,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",307,1,5,25,1,37,,220,13,5,,,
"Comercio al por mayor (101)",89,,3,11,4,55,,,4,12,,,
"Comercio al por menor (102)",1298,,17,62,3,744,,91,6,375,,,
"Hoteles y restaurantes (103)",277,,16,24,4,139,,1,2,91,,,
"Trans., almac. y comunicaciones (104)",1508,1,17,28,20,,,5,1207,230,,,
"Intermediación financiera (105)",21,,4,2,12,,,,,3,,,
"Activid.inmobil., empres. y alquileres (106)",404,,106,80,38,63,,9,22,86,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",481,61,53,14,142,25,,5,22,65,94,,
"Enseñanza (108)",857,14,779,12,30,,,2,,20,,,
"Servicios sociales y de salud (109)",166,,80,53,12,4,,1,,16,,,
"Otras activ. serv.comun.soc y personales (110)",432,,98,214,8,23,,2,7,80,,,
"Hogares privados con servicio doméstico (111)",18,,,,,,,,,18,,,
"Actividad economica no especificada (113)",114,1,,,,,,,,1,,112,
"Desocupado (114)",973,,,,,,,,,,,,973
"Mujeres (115)",8686,30,1159,324,396,1838,674,287,43,3275,3,231,426
"Agric., ganadería, caza y silvicultura (116)",2208,,3,4,2,,673,,,1526,,,
"Pesca (117)",2,,,,,,1,,,1,,,
"Explotación de minas y canteras (118)",10,,2,,,,,4,,4,,,
"Industrias manufactureras (119)",342,,9,23,3,11,,269,15,12,,,
"Suministro de electricidad, gas y agua (120)",5,,,1,1,,,,1,2,,,
"Construcción (121)",26,,4,2,,,,2,10,8,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (122)",2180,1,14,43,12,1417,,11,2,680,,,
"Venta, mant.y rep. veh.autom.y motoc. (123)",23,,1,1,,15,,5,1,,,,
"Comercio al por mayor (124)",109,1,3,13,3,82,,,,7,,,
"Comercio al por menor (125)",2048,,10,29,9,1320,,6,1,673,,,
"Hoteles y restaurantes (126)",766,,6,19,5,316,,,,420,,,
"Trans., almac. y comunicaciones (127)",104,,6,21,9,,,,12,56,,,
"Intermediación financiera (128)",25,,1,8,15,,,,,1,,,
"Activid.inmobil., empres. y alquileres (129)",162,,40,30,60,3,,,1,28,,,
"Admin.pub. y defensa; p. segur.soc.afil (130)",290,22,29,17,194,,,,2,23,3,,
"Enseñanza (131)",971,7,883,8,58,,,,,15,,,
"Servicios sociales y de salud (132)",362,,152,131,23,24,,1,,31,,,
"Otras activ. serv.comun.soc y personales (133)",269,,10,17,13,67,,,,162,,,
"Hogares privados con servicio doméstico (134)",306,,,,,,,,,306,,,
"Actividad economica no especificada (136)",232,,,,1,,,,,,,231,
"Desocupado (137)",426,,,,,,,,,,,,426
,,,,,,,,,,,,,
"RURAL (138)",8631,19,198,84,69,322,2664,442,349,3945,8,109,422
"Agric., ganadería, caza y silvicultura (139)",6139,,3,2,1,,2658,,14,3461,,,
"Pesca (140)",8,,2,,,,6,,,,,,
