"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia HUARI (000)",22082,70847,61853,,1082,87.3,1.5
"De 12 a 14 años (001)",2409,14,14,,,100,
"De 15 a 19 años (002)",2931,352,346,108,98.3,30.7,
"De 20 a 24 años (003)",2231,1932,1878,278,97.2,14.4,
"De 25 a 29 años (004)",1900,3436,3341,246,97.2,7.2,
"De 30 a 34 años (005)",1608,4722,4519,193,95.7,4.1,
"De 35 a 39 años (006)",1793,7060,6688,171,94.7,2.4,
"De 40 a 44 años (007)",1563,7671,7123,72,92.9,0.9,
"De 45 a 49 años (008)",1350,7457,6747,14,90.5,0.2,
"De 50 y más años (009)",6297,38203,31197,,81.7,,
"Sin nivel (010)",6775,37446,31005,201,82.8,0.5,
"De 12 a 14 años (011)",18,1,1,,100,,
"De 15 a 19 años (012)",102,43,42,7,97.7,16.3,
"De 20 a 24 años (013)",147,151,147,20,97.4,13.2,
"De 25 a 29 años (014)",208,503,480,32,95.4,6.4,
"De 30 a 34 años (015)",376,1278,1212,44,94.8,3.4,
"De 35 a 39 años (016)",492,2208,2056,56,93.1,2.5,
"De 40 a 44 años (017)",550,3017,2778,32,92.1,1.1,
"De 45 a 49 años (018)",539,3299,2933,10,88.9,0.3,
"De 50 y más años (019)",4343,26946,21356,,79.3,,
"Educacion Inicial (020)",40,77,66,4,85.7,5.2,
"De 12 a 14 años (021)",10,,,,,,
"De 15 a 19 años (022)",5,4,4,2,100,50,
"De 20 a 24 años (023)",7,16,9,1,56.3,6.3,
"De 25 a 29 años (024)",6,19,19,1,100,5.3,
"De 30 a 34 años (025)",8,22,18,,81.8,,
"De 35 a 39 años (026)",4,16,16,,100,,
"Primaria (030)",7158,23735,21514,450,90.6,1.9,
"De 12 a 14 años (031)",1277,9,9,,100,,
"De 15 a 19 años (032)",638,114,113,36,99.1,31.6,
"De 20 a 24 años (033)",616,779,757,101,97.2,13,
"De 25 a 29 años (034)",636,1483,1432,102,96.6,6.9,
"De 30 a 34 años (035)",583,2052,1948,89,94.9,4.3,
"De 35 a 39 años (036)",729,3271,3087,91,94.4,2.8,
"De 40 a 44 años (037)",614,3349,3091,27,92.3,0.8,
"De 45 a 49 años (038)",527,3100,2798,4,90.3,0.1,
"De 50 y más años (039)",1538,9578,8279,,86.4,,
