"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia LAMAS (000)",18246,78826,8875,37573,9371,41253
"Casa independiente (001)",15484,67165,8527,36400,6957,30765
"Departamento en edificio (002)",2,4,2,4,,
"Vivienda en quinta (003)",201,643,201,643,,
"Vivienda en casa de vecindad (004)",85,301,85,301,,
"Choza o cabaña (005)",2400,10427,,,2400,10427
"Vivienda improvisada (006)",48,181,48,181,,
"Local no dest.para hab. humana (007)",11,47,8,30,3,17
"Otro tipo (008)",15,58,4,14,11,44
