"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia OYON (000)",7497,18,619,343,192,718,1254,1293,703,1771,45,541
"Agric., ganadería, caza y silvicultura (001)",2067,,1,8,1,3,1245,1,1,807,,
"Pesca (002)",14,,,,,,9,,,5,,
"Explotación de minas y canteras (003)",1735,,115,177,56,22,,961,156,248,,
"Industrias manufactureras (004)",262,,,12,2,9,,208,24,7,,
"Suministro de electricidad, gas y agua (005)",10,,,2,,,,4,2,2,,
"Construcción (006)",390,1,11,17,3,,,16,222,120,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",700,2,11,26,5,459,,88,9,100,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",83,,3,4,3,6,,61,6,,,
"Comercio al por mayor (009)",24,,1,2,,20,,,,1,,
"Comercio al por menor (010)",593,2,7,20,2,433,,27,3,99,,
"Hoteles y restaurantes (011)",392,,9,24,12,185,,,,162,,
"Trans., almac. y comunicaciones (012)",329,,1,9,8,4,,1,269,37,,
"Intermediación financiera (013)",3,,1,,1,,,,,1,,
"Activid.inmobil., empres. y alquileres (014)",153,,23,24,30,18,,2,9,47,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",164,11,7,4,45,5,,2,9,36,45,
"Enseñanza (016)",415,4,398,6,3,,,,,4,,
"Servicios sociales y de salud (017)",50,,21,17,4,4,,,,4,,
"Otras activ. serv.comun.soc y personales (018)",176,,15,13,14,9,,9,1,115,,
"Hogares privados con servicio doméstico (019)",76,,,,,,,,,76,,
"Actividad economica no especificada (021)",561,,6,4,8,,,1,1,,,541
"Hombres (022)",5575,15,354,293,111,281,1037,1249,690,1089,44,412
"Agric., ganadería, caza y silvicultura (023)",1517,,,5,,,1028,1,1,482,,
"Pesca (024)",12,,,,,,9,,,3,,
"Explotación de minas y canteras (025)",1675,,99,169,44,22,,948,155,238,,
"Industrias manufactureras (026)",220,,,11,,3,,178,21,7,,
"Suministro de electricidad, gas y agua (027)",10,,,2,,,,4,2,2,,
"Construcción (028)",384,1,11,17,3,,,16,221,115,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",355,1,9,20,5,176,,87,9,48,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",79,,3,4,3,2,,61,6,,,
"Comercio al por mayor (031)",18,,1,1,,15,,,,1,,
"Comercio al por menor (032)",258,1,5,15,2,159,,26,3,47,,
"Hoteles y restaurantes (033)",132,,4,18,4,55,,,,51,,
"Trans., almac. y comunicaciones (034)",307,,1,6,5,3,,1,261,30,,
"Intermediación financiera (035)",1,,1,,,,,,,,,
"Activid.inmobil., empres. y alquileres (036)",110,,19,20,13,17,,2,9,30,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",121,9,2,3,24,3,,2,9,25,44,
"Enseñanza (038)",194,4,182,3,1,,,,,4,,
"Servicios sociales y de salud (039)",17,,7,5,3,1,,,,1,,
"Otras activ. serv.comun.soc y personales (040)",87,,13,11,6,1,,9,1,46,,
"Hogares privados con servicio doméstico (041)",7,,,,,,,,,7,,
"Actividad economica no especificada (043)",426,,6,3,3,,,1,1,,,412
"Mujeres (044)",1922,3,265,50,81,437,217,44,13,682,1,129
"Agric., ganadería, caza y silvicultura (045)",550,,1,3,1,3,217,,,325,,
"Pesca (046)",2,,,,,,,,,2,,
"Explotación de minas y canteras (047)",60,,16,8,12,,,13,1,10,,
"Industrias manufactureras (048)",42,,,1,2,6,,30,3,,,
"Construcción (050)",6,,,,,,,,1,5,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",345,1,2,6,,283,,1,,52,,
"Venta, mant.y rep. veh.autom.y motoc. (052)",4,,,,,4,,,,,,
"Comercio al por mayor (053)",6,,,1,,5,,,,,,
"Comercio al por menor (054)",335,1,2,5,,274,,1,,52,,
"Hoteles y restaurantes (055)",260,,5,6,8,130,,,,111,,
"Trans., almac. y comunicaciones (056)",22,,,3,3,1,,,8,7,,
"Intermediación financiera (057)",2,,,,1,,,,,1,,
"Activid.inmobil., empres. y alquileres (058)",43,,4,4,17,1,,,,17,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",43,2,5,1,21,2,,,,11,1,
"Enseñanza (060)",221,,216,3,2,,,,,,,
"Servicios sociales y de salud (061)",33,,14,12,1,3,,,,3,,
"Otras activ. serv.comun.soc y personales (062)",89,,2,2,8,8,,,,69,,
"Hogares privados con servicio doméstico (063)",69,,,,,,,,,69,,
"Actividad economica no especificada (065)",135,,,1,5,,,,,,,129
,,,,,,,,,,,,
"URBANA (066)",4140,17,418,143,127,580,608,650,458,975,42,122
"Agric., ganadería, caza y silvicultura (067)",922,,1,2,1,3,605,,1,309,,
"Pesca (068)",7,,,,,,3,,,4,,
"Explotación de minas y canteras (069)",625,,12,20,8,17,,410,39,119,,
"Industrias manufactureras (070)",188,,,8,2,4,,153,16,5,,
"Suministro de electricidad, gas y agua (071)",8,,,2,,,,4,1,1,,
"Construcción (072)",288,1,7,8,,,,8,177,87,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",574,2,6,19,4,387,,68,6,82,,
"Venta, mant.y rep. veh.autom.y motoc. (074)",60,,,2,2,4,,48,4,,,
"Comercio al por mayor (075)",20,,1,2,,16,,,,1,,
"Comercio al por menor (076)",494,2,5,15,2,367,,20,2,81,,
"Hoteles y restaurantes (077)",305,,8,24,12,139,,,,122,,
"Trans., almac. y comunicaciones (078)",251,,1,7,8,4,,1,202,28,,
"Intermediación financiera (079)",3,,1,,1,,,,,1,,
"Activid.inmobil., empres. y alquileres (080)",118,,16,20,25,10,,2,6,39,,
