"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia AZANGARO (000)",39030,33823,2234,1328,1645
"Hombres (001)",23145,19127,1687,1094,1237
"Mujeres (002)",15885,14696,547,234,408
"De 06 a 14 años (003)",584,555,29,,
"Hombres (004)",308,293,15,,
"Mujeres (005)",276,262,14,,
"De 15 a 29 años (006)",10831,9237,735,320,539
"Hombres (007)",6073,4884,539,276,374
"Mujeres (008)",4758,4353,196,44,165
"De 30 a 44 años (009)",12628,10531,870,575,652
"Hombres (010)",7524,5943,655,444,482
"Mujeres (011)",5104,4588,215,131,170
"De 45 a 64 años (012)",10909,9508,552,410,439
"Hombres (013)",6692,5531,439,353,369
"Mujeres (014)",4217,3977,113,57,70
"De 65 y más años (015)",4078,3992,48,23,15
"Hombres (016)",2548,2476,39,21,12
"Mujeres (017)",1530,1516,9,2,3
,,,,,
"URBANA (018)",9738,6596,996,936,1210
"Hombres (019)",5909,3568,738,740,863
"Mujeres (020)",3829,3028,258,196,347
"De 06 a 14 años (021)",122,112,10,,
"Hombres (022)",73,67,6,,
"Mujeres (023)",49,45,4,,
"De 15 a 29 años (024)",2719,1894,288,162,375
"Hombres (025)",1560,984,205,135,236
"Mujeres (026)",1159,910,83,27,139
"De 30 a 44 años (027)",3840,2476,422,452,490
"Hombres (028)",2279,1294,307,331,347
"Mujeres (029)",1561,1182,115,121,143
"De 45 a 64 años (030)",2593,1686,262,311,334
"Hombres (031)",1717,974,209,263,271
"Mujeres (032)",876,712,53,48,63
"De 65 y más años (033)",464,428,14,11,11
"Hombres (034)",280,249,11,11,9
"Mujeres (035)",184,179,3,,2
,,,,,
"RURAL (036)",29292,27227,1238,392,435
"Hombres (037)",17236,15559,949,354,374
"Mujeres (038)",12056,11668,289,38,61
"De 06 a 14 años (039)",462,443,19,,
"Hombres (040)",235,226,9,,
"Mujeres (041)",227,217,10,,
"De 15 a 29 años (042)",8112,7343,447,158,164
"Hombres (043)",4513,3900,334,141,138
"Mujeres (044)",3599,3443,113,17,26
"De 30 a 44 años (045)",8788,8055,448,123,162
"Hombres (046)",5245,4649,348,113,135
"Mujeres (047)",3543,3406,100,10,27
"De 45 a 64 años (048)",8316,7822,290,99,105
"Hombres (049)",4975,4557,230,90,98
"Mujeres (050)",3341,3265,60,9,7
"De 65 y más años (051)",3614,3564,34,12,4
"Hombres (052)",2268,2227,28,10,3
"Mujeres (053)",1346,1337,6,2,1
