"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia MORROPON (000)",47136,38992,3500,2016,2628
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",63,1,10,12,40
"Profes., científicos e intelectuales (002)",2221,684,547,668,322
"Técnicos de nivel medio y trab. asimilados (003)",915,418,93,105,299
"Jefes y empleados de oficina (004)",874,165,95,131,483
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",5293,4895,249,90,59
"Agricult.trabaj.calif.agrop.y pesqueros (006)",13343,12790,509,23,21
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",2659,2116,344,109,90
"Obreros construc.,conf.,papel, fab., instr. (008)",3458,2919,262,157,120
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",16579,13594,1282,665,1038
"Otra (010)",99,,,,99
"Ocupación no especificada (011)",1632,1410,109,56,57
"Hombres (012)",36566,30623,2799,1368,1776
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",48,1,6,9,32
"Profes., científicos e intelectuales (014)",907,231,249,275,152
"Técnicos de nivel medio y trab. asimilados (015)",555,277,61,70,147
"Jefes y empleados de oficina (016)",395,61,39,64,231
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",2390,2116,162,61,51
"Agricult.trabaj.calif.agrop.y pesqueros (018)",12857,12325,492,23,17
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",2117,1632,312,99,74
"Obreros construc.,conf.,papel, fab., instr. (020)",3352,2834,252,151,115
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",13162,10603,1157,576,826
"Otra (022)",89,,,,89
"Ocupación no especificada (023)",694,543,69,40,42
"Mujeres (024)",10570,8369,701,648,852
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",15,,4,3,8
"Profes., científicos e intelectuales (026)",1314,453,298,393,170
"Técnicos de nivel medio y trab. asimilados (027)",360,141,32,35,152
"Jefes y empleados de oficina (028)",479,104,56,67,252
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",2903,2779,87,29,8
"Agricult.trabaj.calif.agrop.y pesqueros (030)",486,465,17,,4
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",542,484,32,10,16
"Obreros construc.,conf.,papel, fab., instr. (032)",106,85,10,6,5
