"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia PALPA (000)",176,43,133
"Sin nivel (001)",5,,5
"Primaria (003)",32,3,29
"Secundaria (004)",88,22,66
"Superior no univ. incompleta (005)",10,3,7
"Superior no univ. completa (006)",25,7,18
"Superior univ. incompleta (007)",8,4,4
"Superior univ. completa (008)",8,4,4
"Hombres (010)",125,22,103
"Sin nivel (011)",5,,5
"Primaria (013)",28,1,27
"Secundaria (014)",66,15,51
"Superior no univ. incompleta (015)",8,2,6
"Superior no univ. completa (016)",8,,8
"Superior univ. incompleta (017)",4,1,3
"Superior univ. completa (018)",6,3,3
"Mujeres (020)",51,21,30
"Primaria (023)",4,2,2
"Secundaria (024)",22,7,15
"Superior no univ. incompleta (025)",2,1,1
"Superior no univ. completa (026)",17,7,10
"Superior univ. incompleta (027)",4,3,1
"Superior univ. completa (028)",2,1,1
,,,
"AREA URBANA (030)",119,26,93
"Sin nivel (031)",3,,3
"Primaria (033)",15,1,14
"Secundaria (034)",68,12,56
"Superior no univ. incompleta (035)",8,2,6
"Superior no univ. completa (036)",13,4,9
"Superior univ. incompleta (037)",7,4,3
"Superior univ. completa (038)",5,3,2
"Hombres (040)",87,14,73
"Sin nivel (041)",3,,3
"Primaria (043)",13,,13
"Secundaria (044)",53,9,44
"Superior no univ. incompleta (045)",7,2,5
"Superior no univ. completa (046)",4,,4
"Superior univ. incompleta (047)",3,1,2
"Superior univ. completa (048)",4,2,2
"Mujeres (050)",32,12,20
"Primaria (053)",2,1,1
"Secundaria (054)",15,3,12
"Superior no univ. incompleta (055)",1,,1
"Superior no univ. completa (056)",9,4,5
"Superior univ. incompleta (057)",4,3,1
"Superior univ. completa (058)",1,1,
,,,
"AREA RURAL (060)",57,17,40
"Sin nivel (061)",2,,2
"Primaria (063)",17,2,15
"Secundaria (064)",20,10,10
"Superior no univ. incompleta (065)",2,1,1
"Superior no univ. completa (066)",12,3,9
"Superior univ. incompleta (067)",1,,1
"Superior univ. completa (068)",3,1,2
"Hombres (070)",38,8,30
"Sin nivel (071)",2,,2
"Primaria (073)",15,1,14
"Secundaria (074)",13,6,7
"Superior no univ. incompleta (075)",1,,1
"Superior no univ. completa (076)",4,,4
"Superior univ. incompleta (077)",1,,1
"Superior univ. completa (078)",2,1,1
"Mujeres (080)",19,9,10
"Primaria (083)",2,1,1
"Secundaria (084)",7,4,3
"Superior no univ. incompleta (085)",1,1,
"Superior no univ. completa (086)",8,3,5
"Superior univ. completa (088)",1,,1
