"CUADRO Nº 29: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia DOS DE MAYO (000)",11958,1415,2975,5080,323,2004,161
"Sin nivel (001)",1208,6,288,551,34,307,22
"Educación inicial (002)",13,1,1,8,1,1,1
"Primaria (003)",5839,57,1700,2755,187,1070,70
"Secundaria (004)",3017,159,834,1336,82,544,62
"Superior no univ. incompleta (005)",280,64,49,122,5,37,3
"Superior no univ. completa (006)",1017,693,73,213,10,26,2
"Superior univ. incompleta (007)",126,57,15,38,3,12,1
"Superior univ. completa (008)",458,378,15,57,1,7,
"Hombres (010)",8902,807,2787,3980,266,1038,24
"Sin nivel (011)",681,2,235,344,24,75,1
"Educación inicial (012)",9,,1,7,1,,
"Primaria (013)",4583,29,1595,2272,154,524,9
"Secundaria (014)",2465,113,813,1066,72,387,14
"Superior no univ. incompleta (015)",215,40,49,93,3,30,
"Superior no univ. completa (016)",560,355,66,123,8,8,
"Superior univ. incompleta (017)",96,35,15,32,3,11,
"Superior univ. completa (018)",293,233,13,43,1,3,
"Mujeres (020)",3056,608,188,1100,57,966,137
"Sin nivel (021)",527,4,53,207,10,232,21
"Educación inicial (022)",4,1,,1,,1,1
"Primaria (023)",1256,28,105,483,33,546,61
"Secundaria (024)",552,46,21,270,10,157,48
"Superior no univ. incompleta (025)",65,24,,29,2,7,3
"Superior no univ. completa (026)",457,338,7,90,2,18,2
"Superior univ. incompleta (027)",30,22,,6,,1,1
"Superior univ. completa (028)",165,145,2,14,,4,
,,,,,,,
"URBANA (030)",4595,1202,752,2084,50,405,102
"Sin nivel (031)",221,2,48,114,2,41,14
"Educación inicial (032)",3,1,,2,,,
"Primaria (033)",1407,34,307,851,15,161,39
"Secundaria (034)",1398,124,300,752,24,153,45
"Superior no univ. incompleta (035)",204,54,26,103,2,17,2
"Superior no univ. completa (036)",869,605,53,187,4,18,2
"Superior univ. incompleta (037)",101,52,7,29,3,10,
"Superior univ. completa (038)",392,330,11,46,,5,
"Hombres (040)",3121,676,696,1473,40,223,13
"Sin nivel (041)",110,1,40,59,2,8,
"Educación inicial (042)",2,,,2,,,
"Primaria (043)",1021,22,279,624,12,81,3
"Secundaria (044)",1063,90,288,550,20,105,10
"Superior no univ. incompleta (045)",149,30,26,79,1,13,
"Superior no univ. completa (046)",457,299,47,103,2,6,
"Superior univ. incompleta (047)",76,34,7,23,3,9,
"Superior univ. completa (048)",243,200,9,33,,1,
"Mujeres (050)",1474,526,56,611,10,182,89
"Sin nivel (051)",111,1,8,55,,33,14
"Educación inicial (052)",1,1,,,,,
"Primaria (053)",386,12,28,227,3,80,36
"Secundaria (054)",335,34,12,202,4,48,35
"Superior no univ. incompleta (055)",55,24,,24,1,4,2
"Superior no univ. completa (056)",412,306,6,84,2,12,2
"Superior univ. incompleta (057)",25,18,,6,,1,
"Superior univ. completa (058)",149,130,2,13,,4,
,,,,,,,
"RURAL (060)",7363,213,2223,2996,273,1599,59
"Sin nivel (061)",987,4,240,437,32,266,8
"Educación inicial (062)",10,,1,6,1,1,1
"Primaria (063)",4432,23,1393,1904,172,909,31
"Secundaria (064)",1619,35,534,584,58,391,17
"Superior no univ. incompleta (065)",76,10,23,19,3,20,1
"Superior no univ. completa (066)",148,88,20,26,6,8,
"Superior univ. incompleta (067)",25,5,8,9,,2,1
"Superior univ. completa (068)",66,48,4,11,1,2,
"Hombres (070)",5781,131,2091,2507,226,815,11
"Sin nivel (071)",571,1,195,285,22,67,1
"Educación inicial (072)",7,,1,5,1,,
"Primaria (073)",3562,7,1316,1648,142,443,6
"Secundaria (074)",1402,23,525,516,52,282,4
"Superior no univ. incompleta (075)",66,10,23,14,2,17,
"Superior no univ. completa (076)",103,56,19,20,6,2,
"Superior univ. incompleta (077)",20,1,8,9,,2,
"Superior univ. completa (078)",50,33,4,10,1,2,
"Mujeres (080)",1582,82,132,489,47,784,48
"Sin nivel (081)",416,3,45,152,10,199,7
"Educación inicial (082)",3,,,1,,1,1
"Primaria (083)",870,16,77,256,30,466,25
"Secundaria (084)",217,12,9,68,6,109,13
"Superior no univ. incompleta (085)",10,,,5,1,3,1
"Superior no univ. completa (086)",45,32,1,6,,6,
"Superior univ. incompleta (087)",5,4,,,,,1
"Superior univ. completa (088)",16,15,,1,,,
