"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia CUTERVO (000)",38307,58,2854,507,296,1452,16334,765,966,14207,55,813
"Agric., ganadería, caza y silvicultura (001)",28311,,5,15,,,16333,,5,11953,,
"Pesca (002)",1,,,,,,1,,,,,
"Explotación de minas y canteras (003)",42,,,,,,,10,,32,,
"Industrias manufactureras (004)",659,,3,6,2,13,,619,9,7,,
"Suministro de electricidad, gas y agua (005)",39,,3,5,2,,,19,1,9,,
"Construcción (006)",590,,12,14,2,,,14,326,222,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1541,,7,19,3,1132,,93,10,277,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",92,,1,1,2,25,,51,6,6,,
"Comercio al por mayor (009)",81,,3,4,,72,,,2,,,
"Comercio al por menor (010)",1368,,3,14,1,1035,,42,2,271,,
"Hoteles y restaurantes (011)",382,,,4,2,256,,1,,119,,
"Trans., almac. y comunicaciones (012)",696,,,13,24,,,3,578,78,,
"Intermediación financiera (013)",7,1,2,2,2,,,,,,,
"Activid.inmobil., empres. y alquileres (014)",148,,41,43,16,15,,,8,25,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",475,33,44,37,155,14,,2,13,122,55,
"Enseñanza (016)",2611,24,2535,4,33,,,,5,10,,
"Servicios sociales y de salud (017)",503,,175,279,22,8,,2,9,8,,
"Otras activ. serv.comun.soc y personales (018)",362,,21,63,9,14,,2,2,251,,
"Hogares privados con servicio doméstico (019)",1092,,,,,,,,,1092,,
"Actividad economica no especificada (021)",848,,6,3,24,,,,,2,,813
"Hombres (022)",30969,48,1621,309,173,702,15403,585,959,10813,55,301
"Agric., ganadería, caza y silvicultura (023)",25543,,4,15,,,15402,,5,10117,,
"Pesca (024)",1,,,,,,1,,,,,
"Explotación de minas y canteras (025)",27,,,,,,,5,,22,,
"Industrias manufactureras (026)",476,,3,4,2,9,,445,6,7,,
"Suministro de electricidad, gas y agua (027)",37,,3,4,1,,,19,1,9,,
"Construcción (028)",579,,11,14,1,,,14,324,215,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",877,,5,11,3,607,,92,10,149,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",82,,1,,2,18,,50,6,5,,
"Comercio al por mayor (031)",59,,2,2,,53,,,2,,,
"Comercio al por menor (032)",736,,2,9,1,536,,42,2,144,,
"Hoteles y restaurantes (033)",82,,,2,1,48,,1,,30,,
"Trans., almac. y comunicaciones (034)",670,,,8,19,,,3,576,64,,
"Intermediación financiera (035)",6,1,2,1,2,,,,,,,
"Activid.inmobil., empres. y alquileres (036)",121,,36,36,10,15,,,8,16,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",357,27,37,26,100,14,,2,13,83,55,
"Enseñanza (038)",1475,20,1427,2,11,,,,5,10,,
"Servicios sociales y de salud (039)",230,,68,127,14,6,,2,9,4,,
"Otras activ. serv.comun.soc y personales (040)",143,,20,57,5,3,,2,2,54,,
"Hogares privados con servicio doméstico (041)",31,,,,,,,,,31,,
"Actividad economica no especificada (043)",314,,5,2,4,,,,,2,,301
"Mujeres (044)",7338,10,1233,198,123,750,931,180,7,3394,,512
"Agric., ganadería, caza y silvicultura (045)",2768,,1,,,,931,,,1836,,
"Explotación de minas y canteras (047)",15,,,,,,,5,,10,,
"Industrias manufactureras (048)",183,,,2,,4,,174,3,,,
"Suministro de electricidad, gas y agua (049)",2,,,1,1,,,,,,,
"Construcción (050)",11,,1,,1,,,,2,7,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",664,,2,8,,525,,1,,128,,
"Venta, mant.y rep. veh.autom.y motoc. (052)",10,,,1,,7,,1,,1,,
"Comercio al por mayor (053)",22,,1,2,,19,,,,,,
"Comercio al por menor (054)",632,,1,5,,499,,,,127,,
"Hoteles y restaurantes (055)",300,,,2,1,208,,,,89,,
"Trans., almac. y comunicaciones (056)",26,,,5,5,,,,2,14,,
"Intermediación financiera (057)",1,,,1,,,,,,,,
"Activid.inmobil., empres. y alquileres (058)",27,,5,7,6,,,,,9,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",118,6,7,11,55,,,,,39,,
"Enseñanza (060)",1136,4,1108,2,22,,,,,,,
"Servicios sociales y de salud (061)",273,,107,152,8,2,,,,4,,
"Otras activ. serv.comun.soc y personales (062)",219,,1,6,4,11,,,,197,,
"Hogares privados con servicio doméstico (063)",1061,,,,,,,,,1061,,
"Actividad economica no especificada (065)",534,,1,1,20,,,,,,,512
,,,,,,,,,,,,
"URBANA (066)",8908,39,2143,386,262,1126,1324,502,778,2052,52,244
"Agric., ganadería, caza y silvicultura (067)",2120,,5,5,,,1324,,3,783,,
"Explotación de minas y canteras (069)",34,,,,,,,10,,24,,
"Industrias manufactureras (070)",408,,3,4,,13,,377,7,4,,
"Suministro de electricidad, gas y agua (071)",26,,3,5,2,,,9,1,6,,
"Construcción (072)",395,,10,14,1,,,12,232,126,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",1197,,6,14,2,886,,85,8,196,,
"Venta, mant.y rep. veh.autom.y motoc. (074)",83,,,,1,20,,50,6,6,,
"Comercio al por mayor (075)",68,,3,4,,59,,,2,,,
"Comercio al por menor (076)",1046,,3,10,1,807,,35,,190,,
"Hoteles y restaurantes (077)",282,,,4,1,183,,1,,93,,
"Trans., almac. y comunicaciones (078)",599,,,13,19,,,3,497,67,,
"Intermediación financiera (079)",7,1,2,2,2,,,,,,,
"Activid.inmobil., empres. y alquileres (080)",137,,40,42,15,13,,,8,19,,
"Admin.pub. y defensa; p. segur.soc.afil (081)",410,29,43,33,137,13,,2,12,89,52,
"Enseñanza (082)",1909,9,1854,3,33,,,,1,9,,
"Servicios sociales y de salud (083)",380,,151,193,18,4,,1,7,6,,
"Otras activ. serv.comun.soc y personales (084)",254,,21,51,9,14,,2,2,155,,
"Hogares privados con servicio doméstico (085)",473,,,,,,,,,473,,
"Actividad economica no especificada (087)",277,,5,3,23,,,,,2,,244
"Hombres (088)",5810,32,1150,225,143,539,1233,421,772,1126,52,117
"Agric., ganadería, caza y silvicultura (089)",1926,,4,5,,,1233,,3,681,,
"Explotación de minas y canteras (091)",22,,,,,,,5,,17,,
"Industrias manufactureras (092)",325,,3,2,,9,,302,5,4,,
"Suministro de electricidad, gas y agua (093)",24,,3,4,1,,,9,1,6,,
"Construcción (094)",387,,9,14,,,,12,230,122,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",663,,4,7,2,461,,84,8,97,,
"Venta, mant.y rep. veh.autom.y motoc. (096)",74,,,,1,13,,49,6,5,,
"Comercio al por mayor (097)",50,,2,2,,44,,,2,,,
"Comercio al por menor (098)",539,,2,5,1,404,,35,,92,,
"Hoteles y restaurantes (099)",68,,,2,,38,,1,,27,,
"Trans., almac. y comunicaciones (100)",574,,,8,14,,,3,495,54,,
"Intermediación financiera (101)",6,1,2,1,2,,,,,,,
"Activid.inmobil., empres. y alquileres (102)",114,,35,35,9,13,,,8,14,,
"Admin.pub. y defensa; p. segur.soc.afil (103)",299,24,36,22,85,13,,2,12,53,52,
"Enseñanza (104)",1004,7,975,1,11,,,,1,9,,
"Servicios sociales y de salud (105)",153,,55,76,10,2,,1,7,2,,
"Otras activ. serv.comun.soc y personales (106)",102,,20,46,5,3,,2,2,24,,
"Hogares privados con servicio doméstico (107)",14,,,,,,,,,14,,
"Actividad economica no especificada (109)",129,,4,2,4,,,,,2,,117
"Mujeres (110)",3098,7,993,161,119,587,91,81,6,926,,127
"Agric., ganadería, caza y silvicultura (111)",194,,1,,,,91,,,102,,
"Explotación de minas y canteras (113)",12,,,,,,,5,,7,,
"Industrias manufactureras (114)",83,,,2,,4,,75,2,,,
"Suministro de electricidad, gas y agua (115)",2,,,1,1,,,,,,,
"Construcción (116)",8,,1,,1,,,,2,4,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",534,,2,7,,425,,1,,99,,
"Venta, mant.y rep. veh.autom.y motoc. (118)",9,,,,,7,,1,,1,,
"Comercio al por mayor (119)",18,,1,2,,15,,,,,,
"Comercio al por menor (120)",507,,1,5,,403,,,,98,,
"Hoteles y restaurantes (121)",214,,,2,1,145,,,,66,,
"Trans., almac. y comunicaciones (122)",25,,,5,5,,,,2,13,,
"Intermediación financiera (123)",1,,,1,,,,,,,,
"Activid.inmobil., empres. y alquileres (124)",23,,5,7,6,,,,,5,,
"Admin.pub. y defensa; p. segur.soc.afil (125)",111,5,7,11,52,,,,,36,,
"Enseñanza (126)",905,2,879,2,22,,,,,,,
"Servicios sociales y de salud (127)",227,,96,117,8,2,,,,4,,
"Otras activ. serv.comun.soc y personales (128)",152,,1,5,4,11,,,,131,,
"Hogares privados con servicio doméstico (129)",459,,,,,,,,,459,,
"Actividad economica no especificada (131)",148,,1,1,19,,,,,,,127
,,,,,,,,,,,,
"RURAL (132)",29399,19,711,121,34,326,15010,263,188,12155,3,569
"Agric., ganadería, caza y silvicultura (133)",26191,,,10,,,15009,,2,11170,,
"Pesca (134)",1,,,,,,1,,,,,
"Explotación de minas y canteras (135)",8,,,,,,,,,8,,
"Industrias manufactureras (136)",251,,,2,2,,,242,2,3,,
"Suministro de electricidad, gas y agua (137)",13,,,,,,,10,,3,,
"Construcción (138)",195,,2,,1,,,2,94,96,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (139)",344,,1,5,1,246,,8,2,81,,
"Venta, mant.y rep. veh.autom.y motoc. (140)",9,,1,1,1,5,,1,,,,
"Comercio al por mayor (141)",13,,,,,13,,,,,,
"Comercio al por menor (142)",322,,,4,,228,,7,2,81,,
"Hoteles y restaurantes (143)",100,,,,1,73,,,,26,,
