"CUADRO Nº 27: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia ANTA (000)",16657,1691,1934,9881,359,2606,186
"Sin nivel (001)",1911,18,128,1291,29,425,20
"Educación inicial (002)",15,,2,4,,9,
"Primaria (003)",6020,125,590,4058,135,1051,61
"Secundaria (004)",6447,545,1043,3634,142,994,89
"Superior no univ. incompleta (005)",650,209,66,308,14,45,8
"Superior no univ. completa (006)",710,336,48,262,16,44,4
"Superior univ. incompleta (007)",338,117,36,155,7,21,2
"Superior univ. completa (008)",566,341,21,169,16,17,2
"Hombres (010)",12217,1044,1766,7629,312,1430,36
"Sin nivel (011)",1121,3,100,874,23,118,3
"Educación inicial (012)",10,,2,2,,6,
"Primaria (013)",4596,74,532,3315,118,547,10
"Secundaria (014)",5044,377,971,2864,128,685,19
"Superior no univ. incompleta (015)",430,142,63,184,13,26,2
"Superior no univ. completa (016)",424,171,42,175,11,24,1
"Superior univ. incompleta (017)",226,75,35,94,7,14,1
"Superior univ. completa (018)",366,202,21,121,12,10,
"Mujeres (020)",4440,647,168,2252,47,1176,150
"Sin nivel (021)",790,15,28,417,6,307,17
"Educación inicial (022)",5,,,2,,3,
"Primaria (023)",1424,51,58,743,17,504,51
"Secundaria (024)",1403,168,72,770,14,309,70
"Superior no univ. incompleta (025)",220,67,3,124,1,19,6
"Superior no univ. completa (026)",286,165,6,87,5,20,3
"Superior univ. incompleta (027)",112,42,1,61,,7,1
"Superior univ. completa (028)",200,139,,48,4,7,2
,,,,,,,
"URBANA (030)",6326,1121,872,3448,134,660,91
"Sin nivel (031)",403,11,40,273,7,60,12
"Educación inicial (032)",8,,1,4,,3,
"Primaria (033)",1682,68,243,1053,40,250,28
"Secundaria (034)",2669,316,466,1504,53,285,45
"Superior no univ. incompleta (035)",444,138,49,219,10,24,4
"Superior no univ. completa (036)",479,235,30,182,10,21,1
"Superior univ. incompleta (037)",233,92,25,106,1,8,1
"Superior univ. completa (038)",408,261,18,107,13,9,
"Hombres (040)",4090,689,796,2138,102,346,19
"Sin nivel (041)",159,2,29,108,4,14,2
"Educación inicial (042)",3,,1,2,,,
"Primaria (043)",1079,38,213,661,30,129,8
"Secundaria (044)",1864,209,439,999,42,168,7
"Superior no univ. incompleta (045)",295,99,47,125,9,14,1
"Superior no univ. completa (046)",277,120,25,114,7,11,
"Superior univ. incompleta (047)",152,61,24,60,1,5,1
"Superior univ. completa (048)",261,160,18,69,9,5,
"Mujeres (050)",2236,432,76,1310,32,314,72
"Sin nivel (051)",244,9,11,165,3,46,10
"Educación inicial (052)",5,,,2,,3,
"Primaria (053)",603,30,30,392,10,121,20
"Secundaria (054)",805,107,27,505,11,117,38
"Superior no univ. incompleta (055)",149,39,2,94,1,10,3
"Superior no univ. completa (056)",202,115,5,68,3,10,1
"Superior univ. incompleta (057)",81,31,1,46,,3,
"Superior univ. completa (058)",147,101,,38,4,4,
,,,,,,,
"RURAL (060)",10331,570,1062,6433,225,1946,95
"Sin nivel (061)",1508,7,88,1018,22,365,8
"Educación inicial (062)",7,,1,,,6,
"Primaria (063)",4338,57,347,3005,95,801,33
"Secundaria (064)",3778,229,577,2130,89,709,44
"Superior no univ. incompleta (065)",206,71,17,89,4,21,4
"Superior no univ. completa (066)",231,101,18,80,6,23,3
"Superior univ. incompleta (067)",105,25,11,49,6,13,1
"Superior univ. completa (068)",158,80,3,62,3,8,2
"Hombres (070)",8127,355,970,5491,210,1084,17
"Sin nivel (071)",962,1,71,766,19,104,1
"Educación inicial (072)",7,,1,,,6,
"Primaria (073)",3517,36,319,2654,88,418,2
"Secundaria (074)",3180,168,532,1865,86,517,12
"Superior no univ. incompleta (075)",135,43,16,59,4,12,1
"Superior no univ. completa (076)",147,51,17,61,4,13,1
"Superior univ. incompleta (077)",74,14,11,34,6,9,
"Superior univ. completa (078)",105,42,3,52,3,5,
"Mujeres (080)",2204,215,92,942,15,862,78
"Sin nivel (081)",546,6,17,252,3,261,7
"Primaria (083)",821,21,28,351,7,383,31
"Secundaria (084)",598,61,45,265,3,192,32
"Superior no univ. incompleta (085)",71,28,1,30,,9,3
"Superior no univ. completa (086)",84,50,1,19,2,10,2
"Superior univ. incompleta (087)",31,11,,15,,4,1
"Superior univ. completa (088)",53,38,,10,,3,2
