"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia SANTA CRUZ (000)",11607,11079,57,1987,1847,1609,2379,1645,995,560,528,46110
"De 12 a 14 años (001)",27,12,2,9,1,,,,,,15,11
"De 15 a 19 años (002)",262,227,3,191,29,4,,,,,35,261
"De 20 a 24 años (003)",996,846,7,523,231,65,17,3,,,150,1271
"De 25 a 29 años (004)",1187,1076,6,396,357,208,96,12,1,,111,2224
"De 30 a 34 años (005)",1306,1246,4,249,381,298,263,47,4,,60,3372
"De 35 a 39 años (006)",1393,1349,4,165,319,307,401,124,25,4,44,4493
"De 40 a 44 años (007)",1136,1103,4,115,162,210,351,188,57,16,33,4441
"De 45 a 49 años (008)",1043,1016,5,78,119,160,297,223,96,38,27,4779
"De 50 y más años (009)",4257,4204,22,261,248,357,954,1048,812,502,53,25258
"Conviviente (010)",4238,4153,21,867,913,647,839,476,259,131,85,14969
"De 12 a 14 años (011)",21,6,1,5,,,,,,,15,5
"De 15 a 19 años (012)",191,161,2,130,27,2,,,,,30,190
"De 20 a 24 años (013)",547,529,5,299,173,39,12,1,,,18,818
"De 25 a 29 años (014)",620,614,3,195,217,131,62,6,,,6,1327
"De 30 a 34 años (015)",632,628,1,91,206,165,139,23,3,,4,1766
"De 35 a 39 años (016)",585,582,1,53,144,133,182,56,11,2,3,1999
"De 40 a 44 años (017)",416,412,3,29,61,72,132,82,24,9,4,1765
"De 45 a 49 años (018)",350,348,2,18,33,43,107,87,38,20,2,1785
"De 50 y más años (019)",876,873,3,47,52,62,205,221,183,100,3,5314
"Separado(a) (020)",597,592,3,226,123,82,97,42,16,3,5,1580
"De 12 a 14 años (021)",1,1,,1,,,,,,,,1
"De 15 a 19 años (022)",19,18,,18,,,,,,,1,18
