"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CUTERVO (000)",360,350,10
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",76,76,
"Casa pensión (003)",10,10,
"Hospital, clinica (004)",38,38,
"Cárcel, centro de readaptación social (005)",22,22,
"Otro (008)",46,37,9
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",168,167,1
