"CUADRO Nº 1: POBLACIÓN TOTAL, POR ÁREA URBANA Y RURAL, Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",TOTAL,POBLACIÓN,,TOTAL,URBANA,,TOTAL,RURAL,
,,HOMBRES,MUJERES,,HOMBRES,MUJERES,,HOMBRES,MUJERES
,,,,,,,,,
"Provincia PACHITEA (000)",60321,30454,29867,8629,4374,4255,51692,26080,25612
"Menores de 1 año (001)",1264,615,649,136,79,57,1128,536,592
"Menores de 1 mes (002)",84,42,42,17,9,8,67,33,34
"De 1 a 11 meses (003)",1180,573,607,119,70,49,1061,503,558
"De 1 a 4 años (004)",6719,3335,3384,776,405,371,5943,2930,3013
"1 año (005)",1496,773,723,166,92,74,1330,681,649
"2 años (006)",1731,852,879,200,111,89,1531,741,790
"3 años (007)",1720,838,882,196,97,99,1524,741,783
"4 años (008)",1772,872,900,214,105,109,1558,767,791
"De 5 a 9 años (009)",9277,4647,4630,1086,557,529,8191,4090,4101
"5 años (010)",1809,868,941,171,83,88,1638,785,853
"6 años (011)",1656,834,822,190,101,89,1466,733,733
"7 años (012)",1981,1011,970,207,109,98,1774,902,872
"8 años (013)",1964,980,984,242,129,113,1722,851,871
"9 años (014)",1867,954,913,276,135,141,1591,819,772
"De 10 a 14 años (015)",8569,4396,4173,1181,602,579,7388,3794,3594
"10 años (016)",1968,1028,940,212,114,98,1756,914,842
"11 años (017)",1637,823,814,253,126,127,1384,697,687
"12 años (018)",1836,942,894,245,123,122,1591,819,772
"13 años (019)",1573,814,759,236,119,117,1337,695,642
"14 años (020)",1555,789,766,235,120,115,1320,669,651
"De 15 a 19 años (021)",5988,3068,2920,943,489,454,5045,2579,2466
"15 años (022)",1375,706,669,202,101,101,1173,605,568
"16 años (023)",1201,624,577,200,108,92,1001,516,485
"17 años (024)",1199,643,556,206,108,98,993,535,458
"18 años (025)",1141,561,580,163,85,78,978,476,502
"19 años (026)",1072,534,538,172,87,85,900,447,453
"De 20 a 24 años (027)",5125,2461,2664,746,346,400,4379,2115,2264
"20 años (028)",1255,587,668,161,71,90,1094,516,578
"21 años (029)",844,384,460,134,55,79,710,329,381
"22 años (030)",1092,546,546,165,85,80,927,461,466
"23 años (031)",951,466,485,139,71,68,812,395,417
"24 años (032)",983,478,505,147,64,83,836,414,422
"De 25 a 29 años (033)",4541,2268,2273,661,315,346,3880,1953,1927
"25 años (034)",1024,513,511,138,77,61,886,436,450
"26 años (035)",870,428,442,129,68,61,741,360,381
"27 años (036)",926,462,464,133,53,80,793,409,384
"28 años (037)",987,490,497,140,58,82,847,432,415
"29 años (038)",734,375,359,121,59,62,613,316,297
"De 30 a 34 años (039)",3708,1900,1808,651,317,334,3057,1583,1474
"30 años (040)",1057,552,505,157,76,81,900,476,424
"31 años (041)",624,326,298,112,51,61,512,275,237
"32 años (042)",756,396,360,153,77,76,603,319,284
"33 años (043)",624,323,301,119,59,60,505,264,241
"34 años (044)",647,303,344,110,54,56,537,249,288
