"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia PICOTA (000)",9582,28,168,497,889,2010,3945,2045
"De 12 a 14 años (001)",22,,,,,,5,17
"De 15 a 19 años (002)",580,,,,,,362,218
"De 20 a 24 años (003)",1230,,,,,3,840,387
"De 25 a 29 años (004)",1375,,,,,109,984,282
"De 30 a 34 años (005)",1192,,,,,245,725,222
"De 35 a 39 años (006)",1160,,,,16,403,573,168
"De 40 a 44 años (007)",1042,,,,85,484,326,147
"De 45 a 49 años (008)",723,,,4,131,374,113,101
"De 50 y más años (009)",2258,28,168,493,657,392,17,503
"PEA (010)",2941,,26,105,293,759,1078,680
"De 12 a 14 años (011)",3,,,,,,1,2
"De 15 a 19 años (012)",119,,,,,,71,48
"De 20 a 24 años (013)",298,,,,,2,183,113
"De 25 a 29 años (014)",399,,,,,44,245,110
"De 30 a 34 años (015)",413,,,,,91,228,94
"De 35 a 39 años (016)",449,,,,9,161,200,79
"De 40 a 44 años (017)",402,,,,41,184,114,63
"De 45 a 49 años (018)",277,,,1,59,142,34,41
"De 50 y más años (019)",581,,26,104,184,135,2,130
"Ocupada (020)",2895,,26,103,290,745,1062,669
"De 12 a 14 años (021)",3,,,,,,1,2
"De 15 a 19 años (022)",117,,,,,,69,48
"De 20 a 24 años (023)",293,,,,,2,181,110
"De 25 a 29 años (024)",389,,,,,44,239,106
"De 30 a 34 años (025)",407,,,,,89,226,92
"De 35 a 39 años (026)",442,,,,9,156,198,79
"De 40 a 44 años (027)",395,,,,41,180,112,62
"De 45 a 49 años (028)",277,,,1,59,142,34,41
"De 50 y más años (029)",572,,26,102,181,132,2,129
"Desocupada (030)",46,,,2,3,14,16,11
"De 15 a 19 años (032)",2,,,,,,2,
"De 20 a 24 años (033)",5,,,,,,2,3
"De 25 a 29 años (034)",10,,,,,,6,4
"De 30 a 34 años (035)",6,,,,,2,2,2
"De 35 a 39 años (036)",7,,,,,5,2,
"De 40 a 44 años (037)",7,,,,,4,2,1
"De 50 y más años (039)",9,,,2,3,3,,1
"No PEA (040)",6641,28,142,392,596,1251,2867,1365
"De 12 a 14 años (041)",19,,,,,,4,15
"De 15 a 19 años (042)",461,,,,,,291,170
"De 20 a 24 años (043)",932,,,,,1,657,274
"De 25 a 29 años (044)",976,,,,,65,739,172
"De 30 a 34 años (045)",779,,,,,154,497,128
"De 35 a 39 años (046)",711,,,,7,242,373,89
"De 40 a 44 años (047)",640,,,,44,300,212,84
"De 45 a 49 años (048)",446,,,3,72,232,79,60
"De 50 y más años (049)",1677,28,142,389,473,257,15,373
,,,,,,,,
