"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia LA UNION (000)",5606,20340,17135,,286,84.2,1.4
"De 12 a 14 años (001)",558,6,6,,,100,
"De 15 a 19 años (002)",525,121,116,33,95.9,27.3,
"De 20 a 24 años (003)",384,444,430,51,96.8,11.5,
"De 25 a 29 años (004)",456,1025,960,66,93.7,6.4,
"De 30 a 34 años (005)",531,1517,1409,54,92.9,3.6,
"De 35 a 39 años (006)",530,1998,1841,56,92.1,2.8,
"De 40 a 44 años (007)",476,2383,2101,21,88.2,0.9,
"De 45 a 49 años (008)",393,2206,1885,5,85.4,0.2,
"De 50 y más años (009)",1753,10640,8387,,78.8,,
"Conviviente (010)",1387,4343,3922,177,90.3,4.1,
"De 12 a 14 años (011)",7,6,6,,100,,
"De 15 a 19 años (012)",106,95,90,29,94.7,30.5,
"De 20 a 24 años (013)",228,342,330,43,96.5,12.6,
"De 25 a 29 años (014)",268,660,617,43,93.5,6.5,
"De 30 a 34 años (015)",242,706,655,29,92.8,4.1,
"De 35 a 39 años (016)",188,707,656,24,92.8,3.4,
"De 40 a 44 años (017)",129,661,588,7,89,1.1,
"De 45 a 49 años (018)",66,372,323,2,86.8,0.5,
"De 50 y más años (019)",153,794,657,,82.7,,
"Separado(a) (020)",107,453,410,6,90.5,1.3,
"De 15 a 19 años (022)",6,6,6,1,100,16.7,
"De 20 a 24 años (023)",11,17,16,,94.1,,
"De 25 a 29 años (024)",10,27,24,3,88.9,11.1,
"De 30 a 34 años (025)",10,35,35,1,100,2.9,
"De 35 a 39 años (026)",6,17,17,,100,,
"De 40 a 44 años (027)",12,52,47,,90.4,,
"De 45 a 49 años (028)",13,54,51,1,94.4,1.9,
"De 50 y más años (029)",39,245,214,,87.3,,
"Casado(a) (030)",2049,10983,9323,89,84.9,0.8,
"De 15 a 19 años (032)",3,2,2,1,100,50,
"De 20 a 24 años (033)",31,52,51,5,98.1,9.6,
"De 25 a 29 años (034)",103,291,274,17,94.2,5.8,
"De 30 a 34 años (035)",202,699,645,22,92.3,3.1,
"De 35 a 39 años (036)",275,1157,1059,28,91.5,2.4,
"De 40 a 44 años (037)",277,1467,1300,14,88.6,1,
"De 45 a 49 años (038)",267,1588,1351,2,85.1,0.1,
"De 50 y más años (039)",891,5727,4641,,81,,
