"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia LAMPA (000)",13701,41,847,226,250,831,4584,1804,948,3702,50,418
"Agric., ganadería, caza y silvicultura (001)",6970,,7,5,2,,4518,1,9,2428,,
"Pesca (002)",100,,,,,,66,,,34,,
"Explotación de minas y canteras (003)",1244,1,56,37,21,,,697,51,381,,
"Industrias manufactureras (004)",1066,,1,2,2,1,,1001,52,7,,
"Suministro de electricidad, gas y agua (005)",4,,1,,,,,2,,1,,
"Construcción (006)",647,,5,11,4,,,13,391,223,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",984,,3,20,2,687,,76,8,188,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",90,,2,12,1,17,,52,5,1,,
"Comercio al por mayor (009)",47,,,,,45,,,1,1,,
"Comercio al por menor (010)",847,,1,8,1,625,,24,2,186,,
"Hoteles y restaurantes (011)",199,,,10,4,90,,,,95,,
"Trans., almac. y comunicaciones (012)",482,,,10,5,2,,3,393,69,,
"Intermediación financiera (013)",2,,,1,1,,,,,,,
"Activid.inmobil., empres. y alquileres (014)",183,,38,29,5,33,,7,30,41,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",365,32,25,23,167,4,,2,10,52,50,
"Enseñanza (016)",674,8,644,4,11,,,,,7,,
"Servicios sociales y de salud (017)",117,,51,46,7,4,,1,4,4,,
"Otras activ. serv.comun.soc y personales (018)",96,,14,27,6,10,,1,,38,,
"Hogares privados con servicio doméstico (019)",134,,,,,,,,,134,,
"Actividad economica no especificada (021)",434,,2,1,13,,,,,,,418
"Hombres (022)",8723,35,597,188,160,266,3268,1177,906,1862,49,215
"Agric., ganadería, caza y silvicultura (023)",4211,,7,5,2,,3217,1,9,970,,
"Pesca (024)",78,,,,,,51,,,27,,
"Explotación de minas y canteras (025)",1226,1,53,37,20,,,688,50,377,,
"Industrias manufactureras (026)",423,,1,2,2,1,,388,25,4,,
"Suministro de electricidad, gas y agua (027)",4,,1,,,,,2,,1,,
"Construcción (028)",633,,5,11,3,,,13,383,218,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",338,,2,18,,188,,72,8,50,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",78,,2,12,,9,,49,5,1,,
"Comercio al por mayor (031)",27,,,,,25,,,1,1,,
"Comercio al por menor (032)",233,,,6,,154,,23,2,48,,
