"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia DANIEL ALCIDES CARRION (000)",18308,16988,6164,1790,1802,1569,2486,1621,900,656,1320,46545
"De 12 a 14 años (001)",1698,1683,1672,8,3,,,,,,15,14
"De 15 a 19 años (002)",2708,2662,2475,145,23,11,8,,,,46,256
"De 20 a 24 años (003)",2270,1820,971,519,240,63,23,4,,,450,1311
"De 25 a 29 años (004)",1935,1555,348,426,406,235,126,12,2,,380,2573
"De 30 a 34 años (005)",1563,1405,166,213,372,294,285,59,11,5,158,3581
"De 35 a 39 años (006)",1574,1473,108,131,262,288,457,179,33,15,101,5106
"De 40 a 44 años (007)",1249,1196,86,71,125,189,372,220,93,40,53,5165
"De 45 a 49 años (008)",1161,1125,65,63,88,143,334,267,113,52,36,5368
"De 50 y más años (009)",4150,4069,273,214,283,346,881,880,648,544,81,23171
"Conviviente (010)",3519,3387,310,791,741,540,619,250,85,51,132,9474
"De 12 a 14 años (011)",18,9,3,6,,,,,,,9,6
"De 15 a 19 años (012)",217,188,70,87,17,9,5,,,,29,168
"De 20 a 24 años (013)",631,607,74,318,148,46,17,4,,,24,849
"De 25 a 29 años (014)",780,751,54,224,243,134,86,9,1,,29,1547
"De 30 a 34 años (015)",581,572,22,79,174,145,124,23,4,1,9,1585
"De 35 a 39 años (016)",485,470,22,34,90,97,155,57,10,5,15,1673
"De 40 a 44 años (017)",277,269,17,21,25,47,82,53,18,6,8,1128
"De 45 a 49 años (018)",205,201,16,8,16,26,65,46,20,4,4,913
"De 50 y más años (019)",325,320,32,14,28,36,85,58,32,35,5,1605
"Separado(a) (020)",744,695,69,224,158,77,91,37,25,14,49,1793
"De 12 a 14 años (021)",3,1,1,,,,,,,,2,
"De 15 a 19 años (022)",36,32,4,26,2,,,,,,4,30
