"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia PISCO (000)",47371,43996,11840,7453,7357,5680,6079,2917,1541,1129,3375,110435
"De 12 a 14 años (001)",3881,3845,3835,9,1,,,,,,36,11
"De 15 a 19 años (002)",5970,5787,5024,709,48,3,3,,,,183,826
"De 20 a 24 años (003)",5775,4755,1702,2163,715,148,23,4,,,1020,4159
"De 25 a 29 años (004)",5284,4429,404,1782,1535,537,161,6,4,,855,7204
"De 30 a 34 años (005)",4957,4538,224,1020,1657,1052,526,49,5,5,419,10121
"De 35 a 39 años (006)",4615,4327,143,608,1233,1150,966,193,29,5,288,12214
"De 40 a 44 años (007)",3875,3695,120,355,772,970,1075,304,81,18,180,12323
"De 45 a 49 años (008)",3219,3114,78,267,525,674,951,419,147,53,105,12030
"De 50 y más años (009)",9795,9506,310,540,871,1146,2374,1942,1275,1048,289,51547
"Sin nivel (010)",2019,1919,119,105,106,163,364,392,341,329,100,11593
"De 12 a 14 años (011)",22,21,21,,,,,,,,1,
"De 15 a 19 años (012)",39,38,32,4,1,,1,,,,1,10
"De 20 a 24 años (013)",53,39,18,12,5,3,1,,,,14,35
"De 25 a 29 años (014)",43,26,1,8,7,6,3,,1,,17,61
"De 30 a 34 años (015)",72,55,5,8,8,17,11,5,,1,17,167
"De 35 a 39 años (016)",88,80,5,6,11,13,27,15,3,,8,305
"De 40 a 44 años (017)",106,90,4,5,6,15,33,15,9,3,16,410
"De 45 a 49 años (018)",126,123,1,5,9,13,36,35,15,9,3,676
"De 50 y más años (019)",1470,1447,32,57,59,96,252,322,313,316,23,9929
"Educacion Inicial (020)",68,58,31,7,9,6,5,,,,10,63
"De 12 a 14 años (021)",12,12,12,,,,,,,,,
