"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia SANTA (000)",392074,366116,25958
"Casa independiente (001)",373504,348607,24897
"Departamento en edificio (002)",3342,3342,
"Vivienda en quinta (003)",1734,1734,
"Vivienda en casa de vecindad (004)",1408,1408,
"Choza o cabaña (005)",1053,,1053
"Vivienda improvisada (006)",10701,10701,
"Local no dest.para hab. humana (007)",297,289,8
"Otro tipo (008)",35,35,
