"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia ASUNCION (000)",9054,8888,120,46
"Hombres (001)",4400,4344,32,24
"Mujeres (002)",4654,4544,88,22
"Menores de 1 año (003)",154,143,3,8
"Hombres (004)",88,79,3,6
"Mujeres (005)",66,64,,2
"De 1 a 5 años (006)",1010,973,9,28
"Hombres (007)",533,515,3,15
"Mujeres (008)",477,458,6,13
"De 6 a 14 años (009)",2057,2055,2,
"Hombres (010)",1055,1054,1,
"Mujeres (011)",1002,1001,1,
"De 15 a 29 años (012)",2021,2019,1,1
"Hombres (013)",1007,1007,,
"Mujeres (014)",1014,1012,1,1
"De 30 a 44 años (015)",1565,1556,6,3
"Hombres (016)",740,736,3,1
"Mujeres (017)",825,820,3,2
"De 45 a 64 años (018)",1343,1322,19,2
"Hombres (019)",603,596,6,1
"Mujeres (020)",740,726,13,1
"De 65 a más años (021)",904,820,80,4
"Hombres (022)",374,357,16,1
"Mujeres (023)",530,463,64,3
,,,,
"URBANA (024)",2302,2274,19,9
"Hombres (025)",1168,1158,6,4
"Mujeres (026)",1134,1116,13,5
"Menores de 1 año (027)",47,42,1,4
"Hombres (028)",26,22,1,3
"Mujeres (029)",21,20,,1
"De 1 a 5 años (030)",313,307,2,4
"Hombres (031)",171,169,1,1
"Mujeres (032)",142,138,1,3
"De 6 a 14 años (033)",511,511,,
"Hombres (034)",274,274,,
"Mujeres (035)",237,237,,
"De 15 a 29 años (036)",520,520,,
"Hombres (037)",259,259,,
"Mujeres (038)",261,261,,
"De 30 a 44 años (039)",527,526,1,
"Hombres (040)",252,252,,
"Mujeres (041)",275,274,1,
"De 45 a 64 años (042)",243,242,1,
"Hombres (043)",129,128,1,
"Mujeres (044)",114,114,,
"De 65 a más años (045)",141,126,14,1
"Hombres (046)",57,54,3,
"Mujeres (047)",84,72,11,1
,,,,
"RURAL (048)",6752,6614,101,37
"Hombres (049)",3232,3186,26,20
"Mujeres (050)",3520,3428,75,17
"Menores de 1 año (051)",107,101,2,4
"Hombres (052)",62,57,2,3
"Mujeres (053)",45,44,,1
"De 1 a 5 años (054)",697,666,7,24
"Hombres (055)",362,346,2,14
"Mujeres (056)",335,320,5,10
"De 6 a 14 años (057)",1546,1544,2,
"Hombres (058)",781,780,1,
"Mujeres (059)",765,764,1,
"De 15 a 29 años (060)",1501,1499,1,1
"Hombres (061)",748,748,,
"Mujeres (062)",753,751,1,1
"De 30 a 44 años (063)",1038,1030,5,3
"Hombres (064)",488,484,3,1
"Mujeres (065)",550,546,2,2
"De 45 a 64 años (066)",1100,1080,18,2
"Hombres (067)",474,468,5,1
"Mujeres (068)",626,612,13,1
"De 65 a más años (069)",763,694,66,3
"Hombres (070)",317,303,13,1
"Mujeres (071)",446,391,53,2
