"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia MARISCAL RAMON CASTILLA (000)",54829,51480,2972,377
"Hombres (001)",29366,27674,1497,195
"Mujeres (002)",25463,23806,1475,182
"Menores de 1 año (003)",1890,999,782,109
"Hombres (004)",942,494,391,57
"Mujeres (005)",948,505,391,52
"De 1 a 5 años (006)",8753,6836,1686,231
"Hombres (007)",4522,3512,890,120
"Mujeres (008)",4231,3324,796,111
"De 6 a 14 años (009)",12416,12296,108,12
"Hombres (010)",6367,6306,55,6
"Mujeres (011)",6049,5990,53,6
"De 15 a 29 años (012)",15541,15433,105,3
"Hombres (013)",8353,8303,49,1
"Mujeres (014)",7188,7130,56,2
"De 30 a 44 años (015)",8761,8664,89,8
"Hombres (016)",4853,4811,41,1
"Mujeres (017)",3908,3853,48,7
"De 45 a 64 años (018)",5755,5658,93,4
"Hombres (019)",3335,3297,35,3
"Mujeres (020)",2420,2361,58,1
"De 65 a más años (021)",1713,1594,109,10
"Hombres (022)",994,951,36,7
"Mujeres (023)",719,643,73,3
,,,,
"URBANA (024)",16574,16125,339,110
"Hombres (025)",8635,8411,162,62
"Mujeres (026)",7939,7714,177,48
"Menores de 1 año (027)",522,379,114,29
"Hombres (028)",237,173,48,16
"Mujeres (029)",285,206,66,13
"De 1 a 5 años (030)",2406,2155,177,74
"Hombres (031)",1224,1086,96,42
"Mujeres (032)",1182,1069,81,32
"De 6 a 14 años (033)",3555,3540,12,3
"Hombres (034)",1772,1765,6,1
"Mujeres (035)",1783,1775,6,2
"De 15 a 29 años (036)",4933,4923,8,2
"Hombres (037)",2576,2572,3,1
"Mujeres (038)",2357,2351,5,1
"De 30 a 44 años (039)",2967,2958,9,
"Hombres (040)",1558,1554,4,
"Mujeres (041)",1409,1404,5,
"De 45 a 64 años (042)",1725,1718,6,1
"Hombres (043)",1003,1002,,1
"Mujeres (044)",722,716,6,
"De 65 a más años (045)",466,452,13,1
"Hombres (046)",265,259,5,1
"Mujeres (047)",201,193,8,
,,,,
"RURAL (048)",38255,35355,2633,267
"Hombres (049)",20731,19263,1335,133
"Mujeres (050)",17524,16092,1298,134
"Menores de 1 año (051)",1368,620,668,80
"Hombres (052)",705,321,343,41
"Mujeres (053)",663,299,325,39
"De 1 a 5 años (054)",6347,4681,1509,157
"Hombres (055)",3298,2426,794,78
"Mujeres (056)",3049,2255,715,79
"De 6 a 14 años (057)",8861,8756,96,9
"Hombres (058)",4595,4541,49,5
"Mujeres (059)",4266,4215,47,4
"De 15 a 29 años (060)",10608,10510,97,1
"Hombres (061)",5777,5731,46,
"Mujeres (062)",4831,4779,51,1
"De 30 a 44 años (063)",5794,5706,80,8
"Hombres (064)",3295,3257,37,1
"Mujeres (065)",2499,2449,43,7
"De 45 a 64 años (066)",4030,3940,87,3
"Hombres (067)",2332,2295,35,2
"Mujeres (068)",1698,1645,52,1
"De 65 a más años (069)",1247,1142,96,9
"Hombres (070)",729,692,31,6
"Mujeres (071)",518,450,65,3
