"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia MARISCAL NIETO (000)",69509,2455,5721,6414,6332,13703,12166,17518,5200
"Sabe leer y escribir (001)",62365,,4517,6377,6306,13611,11979,16069,3506
"No sabe leer y escribir (002)",7144,2455,1204,37,26,92,187,1449,1694
"Hombres (004)",35516,1278,2981,3228,3237,6812,6126,9124,2730
"Sabe leer y escribir (005)",32914,,2385,3214,3226,6781,6075,8894,2339
"No sabe leer y escribir (006)",2602,1278,596,14,11,31,51,230,391
"Mujeres (008)",33993,1177,2740,3186,3095,6891,6040,8394,2470
"Sabe leer y escribir (009)",29451,,2132,3163,3080,6830,5904,7175,1167
"No sabe leer y escribir (010)",4542,1177,608,23,15,61,136,1219,1303
,,,,,,,,,
"URBANA (012)",59848,2178,5035,5644,5621,11919,10480,14846,4125
"Sabe leer y escribir (013)",54123,,4004,5613,5600,11855,10350,13792,2909
"No sabe leer y escribir (014)",5725,2178,1031,31,21,64,130,1054,1216
"Hombres (016)",30039,1130,2599,2837,2833,5778,5113,7594,2155
"Sabe leer y escribir (017)",27908,,2091,2827,2824,5755,5084,7439,1888
"No sabe leer y escribir (018)",2131,1130,508,10,9,23,29,155,267
"Mujeres (020)",29809,1048,2436,2807,2788,6141,5367,7252,1970
"Sabe leer y escribir (021)",26215,,1913,2786,2776,6100,5266,6353,1021
"No sabe leer y escribir (022)",3594,1048,523,21,12,41,101,899,949
,,,,,,,,,
"RURAL (024)",9661,277,686,770,711,1784,1686,2672,1075
"Sabe leer y escribir (025)",8242,,513,764,706,1756,1629,2277,597
"No sabe leer y escribir (026)",1419,277,173,6,5,28,57,395,478
"Hombres (028)",5477,148,382,391,404,1034,1013,1530,575
"Sabe leer y escribir (029)",5006,,294,387,402,1026,991,1455,451
"No sabe leer y escribir (030)",471,148,88,4,2,8,22,75,124
"Mujeres (032)",4184,129,304,379,307,750,673,1142,500
"Sabe leer y escribir (033)",3236,,219,377,304,730,638,822,146
"No sabe leer y escribir (034)",948,129,85,2,3,20,35,320,354
