"CUADRO Nº 17: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia HUANCABAMBA (000)",31314,2941,2567,18844,369,6071,522
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",52,52,,,,,
"Profes., científicos e intelectuales (002)",1963,1515,,444,1,3,
"Técnicos de nivel medio y trab. asimilados (003)",455,351,,93,6,4,1
"Jefes y empleados de oficina (004)",445,444,,1,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1274,135,15,943,18,163,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",15491,1,1,15189,299,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",1278,,255,841,10,172,
"Obreros construc.,conf.,papel, fab., instr. (008)",1011,95,327,545,18,26,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",8479,200,1878,357,4,5519,521
"Otra (010)",66,66,,,,,
"Ocupación no especificada (011)",800,82,91,431,13,183,
"Hombres (012)",24333,1673,2111,16173,322,4029,25
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",43,43,,,,,
"Profes., científicos e intelectuales (014)",1011,791,,218,,2,
"Técnicos de nivel medio y trab. asimilados (015)",290,213,,70,4,3,
"Jefes y empleados de oficina (016)",245,245,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",653,64,7,526,7,49,
"Agricult.trabaj.calif.agrop.y pesqueros (018)",14481,1,1,14192,286,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",594,,185,377,6,26,
"Obreros construc.,conf.,papel, fab., instr. (020)",978,95,316,528,18,21,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",5778,129,1556,166,1,3901,25
"Otra (022)",65,65,,,,,
"Ocupación no especificada (023)",195,27,46,96,,26,
"Mujeres (024)",6981,1268,456,2671,47,2042,497
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",9,9,,,,,
"Profes., científicos e intelectuales (026)",952,724,,226,1,1,
"Técnicos de nivel medio y trab. asimilados (027)",165,138,,23,2,1,1
"Jefes y empleados de oficina (028)",200,199,,1,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",621,71,8,417,11,114,
"Agricult.trabaj.calif.agrop.y pesqueros (030)",1010,,,997,13,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",684,,70,464,4,146,
"Obreros construc.,conf.,papel, fab., instr. (032)",33,,11,17,,5,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",2701,71,322,191,3,1618,496
"Otra (034)",1,1,,,,,
"Ocupación no especificada (035)",605,55,45,335,13,157,
,,,,,,,
"URBANA (036)",5402,1871,543,2353,32,359,244
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",27,27,,,,,
"Profes., científicos e intelectuales (038)",1195,964,,228,1,2,
"Técnicos de nivel medio y trab. asimilados (039)",280,212,,65,3,,
"Jefes y empleados de oficina (040)",337,336,,1,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",782,74,2,589,8,109,
"Agricult.trabaj.calif.agrop.y pesqueros (042)",600,,,596,4,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (043)",340,,56,269,5,10,
"Obreros construc.,conf.,papel, fab., instr. (044)",516,64,132,305,8,7,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (045)",1148,123,323,245,3,210,244
"Otra (046)",46,46,,,,,
"Ocupación no especificada (047)",131,25,30,55,,21,
"Hombres (048)",3318,1010,469,1614,20,200,5
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",22,22,,,,,
"Profes., científicos e intelectuales (050)",541,461,,79,,1,
"Técnicos de nivel medio y trab. asimilados (051)",172,122,,48,2,,
"Jefes y empleados de oficina (052)",169,169,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",349,33,1,290,2,23,
"Agricult.trabaj.calif.agrop.y pesqueros (054)",541,,,537,4,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (055)",286,,54,221,4,7,
"Obreros construc.,conf.,papel, fab., instr. (056)",505,64,125,301,8,7,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (057)",626,82,269,114,,156,5
"Otra (058)",45,45,,,,,
"Ocupación no especificada (059)",62,12,20,24,,6,
"Mujeres (060)",2084,861,74,739,12,159,239
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",5,5,,,,,
"Profes., científicos e intelectuales (062)",654,503,,149,1,1,
"Técnicos de nivel medio y trab. asimilados (063)",108,90,,17,1,,
"Jefes y empleados de oficina (064)",168,167,,1,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",433,41,1,299,6,86,
"Agricult.trabaj.calif.agrop.y pesqueros (066)",59,,,59,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (067)",54,,2,48,1,3,
"Obreros construc.,conf.,papel, fab., instr. (068)",11,,7,4,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (069)",522,41,54,131,3,54,239
"Otra (070)",1,1,,,,,
"Ocupación no especificada (071)",69,13,10,31,,15,
,,,,,,,
"RURAL (072)",25912,1070,2024,16491,337,5712,278
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",25,25,,,,,
"Profes., científicos e intelectuales (074)",768,551,,216,,1,
"Técnicos de nivel medio y trab. asimilados (075)",175,139,,28,3,4,1
"Jefes y empleados de oficina (076)",108,108,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",492,61,13,354,10,54,
"Agricult.trabaj.calif.agrop.y pesqueros (078)",14891,1,1,14593,295,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (079)",938,,199,572,5,162,
"Obreros construc.,conf.,papel, fab., instr. (080)",495,31,195,240,10,19,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (081)",7331,77,1555,112,1,5309,277
"Otra (082)",20,20,,,,,
"Ocupación no especificada (083)",669,57,61,376,13,162,
"Hombres (084)",21015,663,1642,14559,302,3829,20
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",21,21,,,,,
"Profes., científicos e intelectuales (086)",470,330,,139,,1,
"Técnicos de nivel medio y trab. asimilados (087)",118,91,,22,2,3,
"Jefes y empleados de oficina (088)",76,76,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",304,31,6,236,5,26,
"Agricult.trabaj.calif.agrop.y pesqueros (090)",13940,1,1,13655,282,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (091)",308,,131,156,2,19,
"Obreros construc.,conf.,papel, fab., instr. (092)",473,31,191,227,10,14,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (093)",5152,47,1287,52,1,3745,20
"Otra (094)",20,20,,,,,
"Ocupación no especificada (095)",133,15,26,72,,20,
"Mujeres (096)",4897,407,382,1932,35,1883,258
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (097)",4,4,,,,,
"Profes., científicos e intelectuales (098)",298,221,,77,,,
