"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia ANGARAES (000)",36535,7015,7113,6692,5363,4092,6260
"Conviviente (001)",4648,143,1450,1717,725,344,269
"Separado(a) (002)",705,11,159,204,131,94,106
"Casado(a) (003)",15643,32,1033,3539,3965,3152,3922
"Viudo(a) (004)",2433,3,23,83,220,348,1756
"Divorciado(a) (005)",116,,10,18,22,25,41
"Soltero(a) (006)",12990,6826,4438,1131,300,129,166
"Hombres (008)",17532,3548,3487,3159,2536,1957,2845
"Conviviente (009)",2251,69,590,882,383,184,143
"Separado(a) (010)",147,3,13,31,34,26,40
"Casado(a) (011)",7678,10,384,1594,1914,1597,2179
"Viudo(a) (012)",569,1,6,22,54,78,408
"Divorciado(a) (013)",34,,2,4,4,12,12
"Soltero(a) (014)",6853,3465,2492,626,147,60,63
"Mujeres (016)",19003,3467,3626,3533,2827,2135,3415
"Conviviente (017)",2397,74,860,835,342,160,126
"Separado(a) (018)",558,8,146,173,97,68,66
"Casado(a) (019)",7965,22,649,1945,2051,1555,1743
"Viudo(a) (020)",1864,2,17,61,166,270,1348
"Divorciado(a) (021)",82,,8,14,18,13,29
"Soltero(a) (022)",6137,3361,1946,505,153,69,103
,,,,,,,
"URBANA (024)",11490,2043,2147,2248,1810,1307,1935
"Conviviente (025)",1904,51,505,772,333,149,94
"Separado(a) (026)",274,1,46,67,58,45,57
"Casado(a) (027)",4424,8,139,886,1222,945,1224
"Viudo(a) (028)",651,,5,19,57,94,476
"Divorciado(a) (029)",47,,,5,9,14,19
"Soltero(a) (030)",4190,1983,1452,499,131,60,65
"Hombres (032)",5546,1034,1042,1056,871,650,893
"Conviviente (033)",928,23,199,389,180,87,50
"Separado(a) (034)",58,,2,4,13,15,24
"Casado(a) (035)",2209,5,45,374,606,486,693
"Viudo(a) (036)",148,,4,6,15,26,97
"Divorciado(a) (037)",16,,,2,1,8,5
"Soltero(a) (038)",2187,1006,792,281,56,28,24
"Mujeres (040)",5944,1009,1105,1192,939,657,1042
"Conviviente (041)",976,28,306,383,153,62,44
"Separado(a) (042)",216,1,44,63,45,30,33
"Casado(a) (043)",2215,3,94,512,616,459,531
"Viudo(a) (044)",503,,1,13,42,68,379
"Divorciado(a) (045)",31,,,3,8,6,14
"Soltero(a) (046)",2003,977,660,218,75,32,41
,,,,,,,
"RURAL (048)",25045,4972,4966,4444,3553,2785,4325
"Conviviente (049)",2744,92,945,945,392,195,175
"Separado(a) (050)",431,10,113,137,73,49,49
"Casado(a) (051)",11219,24,894,2653,2743,2207,2698
"Viudo(a) (052)",1782,3,18,64,163,254,1280
"Divorciado(a) (053)",69,,10,13,13,11,22
"Soltero(a) (054)",8800,4843,2986,632,169,69,101
"Hombres (056)",11986,2514,2445,2103,1665,1307,1952
"Conviviente (057)",1323,46,391,493,203,97,93
"Separado(a) (058)",89,3,11,27,21,11,16
"Casado(a) (059)",5469,5,339,1220,1308,1111,1486
"Viudo(a) (060)",421,1,2,16,39,52,311
"Divorciado(a) (061)",18,,2,2,3,4,7
"Soltero(a) (062)",4666,2459,1700,345,91,32,39
"Mujeres (064)",13059,2458,2521,2341,1888,1478,2373
"Conviviente (065)",1421,46,554,452,189,98,82
"Separado(a) (066)",342,7,102,110,52,38,33
"Casado(a) (067)",5750,19,555,1433,1435,1096,1212
"Viudo(a) (068)",1361,2,16,48,124,202,969
"Divorciado(a) (069)",51,,8,11,10,7,15
"Soltero(a) (070)",4134,2384,1286,287,78,37,62
