"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CELENDIN (000)",28256,6259,21997
"Casa independiente (001)",26969,5962,21007
"Departamento en edificio (002)",13,13,
"Vivienda en quinta (003)",147,147,
"Vivienda en casa de vecindad (004)",116,116,
"Choza o cabaña (005)",980,,980
"Vivienda improvisada (006)",9,9,
"Local no dest.para hab. humana (007)",17,9,8
"Otro tipo (008)",5,3,2
