"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia TARMA (000)",112230,1702,31998,29435,22126,17838,9131
"Hombres (001)",55139,863,16172,14491,10578,8646,4389
"Mujeres (002)",57091,839,15826,14944,11548,9192,4742
"Viviendas particulares (003)",111056,1696,31920,29017,21711,17633,9079
"Hombres (004)",54283,859,16134,14197,10247,8493,4353
"Mujeres (005)",56773,837,15786,14820,11464,9140,4726
"Viviendas colectivas (006)",835,5,55,268,328,146,33
"Hombres (007)",614,4,27,188,263,113,19
"Mujeres (008)",221,1,28,80,65,33,14
"Otro tipo (009)",339,1,23,150,87,59,19
"Hombres (010)",242,,11,106,68,40,17
"Mujeres (011)",97,1,12,44,19,19,2
,,,,,,,
"URBANA (012)",72569,1082,19980,19071,14958,11655,5823
"Hombres (013)",35289,549,10163,9212,7005,5571,2789
"Mujeres (014)",37280,533,9817,9859,7953,6084,3034
"Viviendas particulares (015)",71545,1076,19902,18687,14626,11481,5773
"Hombres (016)",34576,545,10125,8948,6754,5449,2755
"Mujeres (017)",36969,531,9777,9739,7872,6032,3018
"Viviendas colectivas (018)",696,5,55,239,250,116,31
"Hombres (019)",478,4,27,160,187,83,17
"Mujeres (020)",218,1,28,79,63,33,14
"Otro tipo (021)",328,1,23,145,82,58,19
"Hombres (022)",235,,11,104,64,39,17
"Mujeres (023)",93,1,12,41,18,19,2
,,,,,,,
"RURAL (024)",39661,620,12018,10364,7168,6183,3308
"Hombres (025)",19850,314,6009,5279,3573,3075,1600
"Mujeres (026)",19811,306,6009,5085,3595,3108,1708
"Viviendas particulares (027)",39511,620,12018,10330,7085,6152,3306
"Hombres (028)",19707,314,6009,5249,3493,3044,1598
"Mujeres (029)",19804,306,6009,5081,3592,3108,1708
"Viviendas colectivas (030)",139,,,29,78,30,2
"Hombres (031)",136,,,28,76,30,2
"Mujeres (032)",3,,,1,2,,
"Otro tipo (033)",11,,,5,5,1,
"Hombres (034)",7,,,2,4,1,
"Mujeres (035)",4,,,3,1,,
