"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia NAZCA (000)",22019,20570,5662,3555,3522,2545,2740,1378,695,473,1449,50258
"De 12 a 14 años (001)",1910,1895,1885,9,1,,,,,,15,11
"De 15 a 19 años (002)",2776,2694,2399,261,26,6,2,,,,82,339
"De 20 a 24 años (003)",2366,1915,724,854,278,43,13,3,,,451,1612
"De 25 a 29 años (004)",2317,1924,188,839,619,198,74,5,1,,393,3022
"De 30 a 34 años (005)",2372,2174,112,609,787,428,206,25,5,2,198,4560
"De 35 a 39 años (006)",2068,1983,77,308,625,497,370,92,9,5,85,5351
"De 40 a 44 años (007)",1864,1797,66,237,436,402,467,150,33,6,67,5639
"De 45 a 49 años (008)",1479,1438,49,128,283,337,392,177,52,20,41,5216
"De 50 y más años (009)",4867,4750,162,310,467,634,1216,926,595,440,117,24508
"Conviviente (010)",6541,6311,412,1736,1643,1014,910,365,148,83,230,16543
"De 12 a 14 años (011)",26,12,5,7,,,,,,,14,7
"De 15 a 19 años (012)",339,273,82,173,17,1,,,,,66,210
"De 20 a 24 años (013)",1012,946,134,559,212,32,6,3,,,66,1121
"De 25 a 29 años (014)",1226,1188,66,491,429,152,48,2,,,38,2017
"De 30 a 34 años (015)",1214,1192,43,274,455,270,128,16,4,2,22,2695
"De 35 a 39 años (016)",920,914,24,95,265,241,228,54,4,3,6,2735
"De 40 a 44 años (017)",660,655,18,64,137,154,194,68,18,2,5,2260
"De 45 a 49 años (018)",395,392,13,21,57,86,123,62,23,7,3,1615
"De 50 y más años (019)",749,739,27,52,71,78,183,160,99,69,10,3883
"Separado(a) (020)",1216,1198,10,324,246,195,212,132,50,29,18,3916
"De 12 a 14 años (021)",1,1,1,,,,,,,,,
"De 15 a 19 años (022)",33,28,,26,1,1,,,,,5,31
