"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia CHUMBIVILCAS (000)",22697,35,1147,196,168,1046,10255,974,775,7447,22,632
"Agric., ganadería, caza y silvicultura (001)",16355,,12,17,,,10249,9,4,6064,,
"Pesca (002)",10,,,1,,,6,,,3,,
"Explotación de minas y canteras (003)",398,,11,9,,,,177,5,196,,
"Industrias manufactureras (004)",801,,,9,2,5,,704,77,4,,
"Suministro de electricidad, gas y agua (005)",9,,2,1,,,,5,1,,,
"Construcción (006)",1027,,7,7,2,,,13,535,463,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1181,,2,20,1,867,,54,5,232,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",44,,,3,1,7,,32,1,,,
"Comercio al por mayor (009)",22,,,2,,20,,,,,,
"Comercio al por menor (010)",1115,,2,15,,840,,22,4,232,,
"Hoteles y restaurantes (011)",292,,,6,1,157,,1,,127,,
"Trans., almac. y comunicaciones (012)",188,,2,9,8,2,,,111,56,,
"Intermediación financiera (013)",5,,3,,2,,,,,,,
"Activid.inmobil., empres. y alquileres (014)",108,,40,20,20,4,,5,2,17,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",349,28,19,9,108,3,,1,30,129,22,
"Enseñanza (016)",997,7,975,1,5,,,,1,8,,
"Servicios sociales y de salud (017)",126,,62,47,5,2,,3,3,4,,
"Otras activ. serv.comun.soc y personales (018)",98,,10,39,2,6,,2,1,38,,
"Hogares privados con servicio doméstico (019)",103,,,,,,,,,103,,
"Actividad economica no especificada (021)",650,,2,1,12,,,,,3,,632
"Hombres (022)",14128,28,725,125,119,331,8213,616,732,2965,22,252
"Agric., ganadería, caza y silvicultura (023)",10225,,11,14,,,8207,2,4,1987,,
"Pesca (024)",10,,,1,,,6,,,3,,
"Explotación de minas y canteras (025)",378,,10,9,,,,165,5,189,,
"Industrias manufactureras (026)",436,,,6,2,4,,372,50,2,,
"Suministro de electricidad, gas y agua (027)",9,,2,1,,,,5,1,,,
"Construcción (028)",978,,7,7,2,,,12,521,429,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",456,,2,14,1,293,,50,5,91,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",39,,,2,1,4,,31,1,,,
"Comercio al por mayor (031)",14,,,1,,13,,,,,,
"Comercio al por menor (032)",403,,2,11,,276,,19,4,91,,
"Hoteles y restaurantes (033)",48,,,3,1,24,,,,20,,
"Trans., almac. y comunicaciones (034)",169,,2,5,6,,,,110,46,,
"Intermediación financiera (035)",4,,3,,1,,,,,,,
"Activid.inmobil., empres. y alquileres (036)",84,,34,15,10,4,,5,2,14,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",300,23,17,6,81,3,,1,29,118,22,
"Enseñanza (038)",630,5,612,1,4,,,,1,7,,
"Servicios sociales y de salud (039)",44,,18,13,3,1,,2,3,4,,
"Otras activ. serv.comun.soc y personales (040)",61,,6,29,1,2,,2,1,20,,
"Hogares privados con servicio doméstico (041)",32,,,,,,,,,32,,
"Actividad economica no especificada (043)",264,,1,1,7,,,,,3,,252
"Mujeres (044)",8569,7,422,71,49,715,2042,358,43,4482,,380
"Agric., ganadería, caza y silvicultura (045)",6130,,1,3,,,2042,7,,4077,,
"Explotación de minas y canteras (047)",20,,1,,,,,12,,7,,
"Industrias manufactureras (048)",365,,,3,,1,,332,27,2,,
"Construcción (050)",49,,,,,,,1,14,34,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",725,,,6,,574,,4,,141,,
"Venta, mant.y rep. veh.autom.y motoc. (052)",5,,,1,,3,,1,,,,
"Comercio al por mayor (053)",8,,,1,,7,,,,,,
"Comercio al por menor (054)",712,,,4,,564,,3,,141,,
"Hoteles y restaurantes (055)",244,,,3,,133,,1,,107,,
"Trans., almac. y comunicaciones (056)",19,,,4,2,2,,,1,10,,
"Intermediación financiera (057)",1,,,,1,,,,,,,
"Activid.inmobil., empres. y alquileres (058)",24,,6,5,10,,,,,3,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",49,5,2,3,27,,,,1,11,,
"Enseñanza (060)",367,2,363,,1,,,,,1,,
"Servicios sociales y de salud (061)",82,,44,34,2,1,,1,,,,
"Otras activ. serv.comun.soc y personales (062)",37,,4,10,1,4,,,,18,,
"Hogares privados con servicio doméstico (063)",71,,,,,,,,,71,,
"Actividad economica no especificada (065)",386,,1,,5,,,,,,,380
,,,,,,,,,,,,
"URBANA (066)",5638,20,896,158,131,823,1245,415,363,1346,21,220
"Agric., ganadería, caza y silvicultura (067)",1909,,10,10,,,1244,,,645,,
"Pesca (068)",3,,,,,,1,,,2,,
"Explotación de minas y canteras (069)",194,,10,9,,,,90,2,83,,
"Industrias manufactureras (070)",293,,,4,2,5,,264,17,1,,
"Suministro de electricidad, gas y agua (071)",5,,2,1,,,,1,1,,,
"Construcción (072)",412,,6,5,,,,10,239,152,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",924,,2,17,1,678,,41,3,182,,
"Venta, mant.y rep. veh.autom.y motoc. (074)",35,,,2,1,7,,25,,,,
"Comercio al por mayor (075)",14,,,2,,12,,,,,,
"Comercio al por menor (076)",875,,2,13,,659,,16,3,182,,
"Hoteles y restaurantes (077)",243,,,6,,128,,1,,108,,
"Trans., almac. y comunicaciones (078)",151,,1,8,6,2,,,85,49,,
"Intermediación financiera (079)",4,,3,,1,,,,,,,
"Activid.inmobil., empres. y alquileres (080)",86,,33,18,19,3,,2,,11,,
"Admin.pub. y defensa; p. segur.soc.afil (081)",185,17,17,8,82,2,,1,11,26,21,
"Enseñanza (082)",764,3,754,1,3,,,,1,2,,
"Servicios sociales y de salud (083)",101,,50,36,4,2,,3,3,3,,
"Otras activ. serv.comun.soc y personales (084)",76,,6,34,2,3,,2,1,28,,
"Hogares privados con servicio doméstico (085)",53,,,,,,,,,53,,
"Actividad economica no especificada (087)",235,,2,1,11,,,,,1,,220
"Hombres (088)",3405,15,563,102,89,230,945,313,347,659,21,121
"Agric., ganadería, caza y silvicultura (089)",1220,,9,8,,,944,,,259,,
"Pesca (090)",3,,,,,,1,,,2,,
"Explotación de minas y canteras (091)",190,,9,9,,,,87,2,83,,
"Industrias manufactureras (092)",193,,,3,2,4,,172,12,,,
"Suministro de electricidad, gas y agua (093)",5,,2,1,,,,1,1,,,
"Construcción (094)",393,,6,5,,,,9,229,144,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",308,,2,12,1,203,,37,3,50,,
"Venta, mant.y rep. veh.autom.y motoc. (096)",30,,,1,1,4,,24,,,,
"Comercio al por mayor (097)",7,,,1,,6,,,,,,
"Comercio al por menor (098)",271,,2,10,,193,,13,3,50,,
"Hoteles y restaurantes (099)",37,,,3,,15,,,,19,,
"Trans., almac. y comunicaciones (100)",134,,1,4,4,,,,84,41,,
"Intermediación financiera (101)",4,,3,,1,,,,,,,
"Activid.inmobil., empres. y alquileres (102)",66,,31,13,9,3,,2,,8,,
"Admin.pub. y defensa; p. segur.soc.afil (103)",145,13,15,5,59,2,,1,11,18,21,
"Enseñanza (104)",474,2,465,1,3,,,,1,2,,
"Servicios sociales y de salud (105)",40,,15,13,3,1,,2,3,3,,
"Otras activ. serv.comun.soc y personales (106)",47,,4,24,1,2,,2,1,13,,
"Hogares privados con servicio doméstico (107)",16,,,,,,,,,16,,
"Actividad economica no especificada (109)",130,,1,1,6,,,,,1,,121
"Mujeres (110)",2233,5,333,56,42,593,300,102,16,687,,99
"Agric., ganadería, caza y silvicultura (111)",689,,1,2,,,300,,,386,,
"Explotación de minas y canteras (113)",4,,1,,,,,3,,,,
"Industrias manufactureras (114)",100,,,1,,1,,92,5,1,,
"Construcción (116)",19,,,,,,,1,10,8,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",616,,,5,,475,,4,,132,,
"Venta, mant.y rep. veh.autom.y motoc. (118)",5,,,1,,3,,1,,,,
"Comercio al por mayor (119)",7,,,1,,6,,,,,,
