"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia FERREÑAFE (000)",35295,99324,87695,,1853,88.3,1.9
"De 12 a 14 años (001)",3543,14,14,,4,100,28.6
"De 15 a 19 años (002)",4638,754,737,223,97.7,29.6,
"De 20 a 24 años (003)",3968,3563,3426,434,96.2,12.2,
"De 25 a 29 años (004)",3565,6331,5993,450,94.7,7.1,
"De 30 a 34 años (005)",3355,8548,7972,340,93.3,4,
"De 35 a 39 años (006)",3264,10837,9992,271,92.2,2.5,
"De 40 a 44 años (007)",2826,11333,10398,111,91.7,1,
"De 45 a 49 años (008)",2388,10898,9761,20,89.6,0.2,
"De 50 y más años (009)",7748,47046,39402,,83.8,,
"Sin nivel (010)",6907,38953,31988,341,82.1,0.9,
"De 12 a 14 años (011)",98,1,1,,100,,
"De 15 a 19 años (012)",208,58,54,12,93.1,20.7,
"De 20 a 24 años (013)",339,490,450,48,91.8,9.8,
"De 25 a 29 años (014)",428,1137,1028,80,90.4,7,
"De 30 a 34 años (015)",533,1893,1647,76,87,4,
"De 35 a 39 años (016)",635,3095,2695,77,87.1,2.5,
"De 40 a 44 años (017)",628,3643,3168,42,87,1.2,
"De 45 a 49 años (018)",606,3794,3193,6,84.2,0.2,
"De 50 y más años (019)",3432,24842,19752,,79.5,,
"Educacion Inicial (020)",125,251,234,20,93.2,8,
"De 12 a 14 años (021)",33,1,1,1,100,100,
"De 15 a 19 años (022)",16,7,7,2,100,28.6,
"De 20 a 24 años (023)",24,46,41,4,89.1,8.7,
"De 25 a 29 años (024)",17,47,44,4,93.6,8.5,
"De 30 a 34 años (025)",21,84,79,5,94,6,
"De 35 a 39 años (026)",14,66,62,4,93.9,6.1,
"Primaria (030)",11343,35761,32282,677,90.3,1.9,
"De 12 a 14 años (031)",1762,4,4,1,100,25,
"De 15 a 19 años (032)",1080,296,289,75,97.6,25.3,
"De 20 a 24 años (033)",1046,1367,1304,151,95.4,11,
"De 25 a 29 años (034)",1100,2526,2373,188,93.9,7.4,
"De 30 a 34 años (035)",1009,3357,3108,121,92.6,3.6,
"De 35 a 39 años (036)",1070,4146,3847,91,92.8,2.2,
"De 40 a 44 años (037)",916,4180,3862,45,92.4,1.1,
"De 45 a 49 años (038)",816,4291,3867,5,90.1,0.1,
