"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia GRAN CHIMU (000)",15960,6589,102,182,8364,235,26,49,1,412
"Hombres (001)",5367,3358,71,127,1380,125,25,28,1,252
"Mujeres (002)",10593,3231,31,55,6984,110,1,21,,160
"De 06 a 14 años (003)",5919,5407,,,276,67,,8,,161
"Hombres (004)",2984,2761,,,100,33,,5,,85
"Mujeres (005)",2935,2646,,,176,34,,3,,76
"De 15 a 29 años (006)",3893,1146,2,34,2592,,12,13,1,93
"Hombres (007)",1079,577,1,24,401,,11,9,1,55
"Mujeres (008)",2814,569,1,10,2191,,1,4,,38
"De 30 a 44 años (009)",2415,29,3,20,2298,,6,8,,51
"Hombres (010)",381,17,1,13,302,,6,5,,37
"Mujeres (011)",2034,12,2,7,1996,,,3,,14
"De 45 a 64 años (012)",2107,6,24,44,1978,,6,7,,42
"Hombres (013)",378,2,16,28,292,,6,3,,31
"Mujeres (014)",1729,4,8,16,1686,,,4,,11
"De 65 y más años (015)",1626,1,73,84,1220,168,2,13,,65
"Hombres (016)",545,1,53,62,285,92,2,6,,44
"Mujeres (017)",1081,,20,22,935,76,,7,,21
,,,,,,,,,,
"AREA URBANA (018)",3467,1571,57,67,1610,56,6,12,,88
"Hombres (019)",1222,768,35,39,294,26,6,6,,48
"Mujeres (020)",2245,803,22,28,1316,30,,6,,40
"De 06 a 14 años (021)",1211,1160,,,34,5,,,,12
"Hombres (022)",599,575,,,18,1,,,,5
"Mujeres (023)",612,585,,,16,4,,,,7
"De 15 a 29 años (024)",888,393,1,17,451,,2,2,,22
"Hombres (025)",282,183,,10,76,,2,1,,10
"Mujeres (026)",606,210,1,7,375,,,1,,12
"De 30 a 44 años (027)",495,13,3,7,447,,3,1,,21
"Hombres (028)",94,8,1,2,68,,3,1,,11
"Mujeres (029)",401,5,2,5,379,,,,,10
"De 45 a 64 años (030)",433,5,14,18,377,,,2,,17
"Hombres (031)",90,2,9,8,59,,,1,,11
"Mujeres (032)",343,3,5,10,318,,,1,,6
"De 65 y más años (033)",440,,39,25,301,51,1,7,,16
"Hombres (034)",157,,25,19,73,25,1,3,,11
"Mujeres (035)",283,,14,6,228,26,,4,,5
,,,,,,,,,,
"AREA RURAL (036)",12493,5018,45,115,6754,179,20,37,1,324
"Hombres (037)",4145,2590,36,88,1086,99,19,22,1,204
"Mujeres (038)",8348,2428,9,27,5668,80,1,15,,120
"De 06 a 14 años (039)",4708,4247,,,242,62,,8,,149
"Hombres (040)",2385,2186,,,82,32,,5,,80
"Mujeres (041)",2323,2061,,,160,30,,3,,69
"De 15 a 29 años (042)",3005,753,1,17,2141,,10,11,1,71
"Hombres (043)",797,394,1,14,325,,9,8,1,45
"Mujeres (044)",2208,359,,3,1816,,1,3,,26
"De 30 a 44 años (045)",1920,16,,13,1851,,3,7,,30
"Hombres (046)",287,9,,11,234,,3,4,,26
"Mujeres (047)",1633,7,,2,1617,,,3,,4
"De 45 a 64 años (048)",1674,1,10,26,1601,,6,5,,25
"Hombres (049)",288,,7,20,233,,6,2,,20
"Mujeres (050)",1386,1,3,6,1368,,,3,,5
"De 65 y más años (051)",1186,1,34,59,919,117,1,6,,49
"Hombres (052)",388,1,28,43,212,67,1,3,,33
"Mujeres (053)",798,,6,16,707,50,,3,,16
