"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia TARMA (000)",86325,13073,15796,15972,14515,10693,16276
"Conviviente (001)",22215,239,3899,7935,5895,2682,1565
"Separado(a) (002)",2652,16,276,574,711,514,561
"Casado(a) (003)",23503,33,396,2687,5482,5731,9174
"Viudo(a) (004)",4683,2,14,101,302,584,3680
"Divorciado(a) (005)",373,,13,31,72,88,169
"Soltero(a) (006)",32899,12783,11198,4644,2053,1094,1127
"Hombres (008)",42028,6569,7825,7672,6927,5192,7843
"Conviviente (009)",10800,93,1446,3803,3035,1519,904
"Separado(a) (010)",678,6,48,98,181,157,188
"Casado(a) (011)",11570,16,122,1099,2505,2783,5045
"Viudo(a) (012)",1345,1,6,31,72,163,1072
"Divorciado(a) (013)",184,,3,13,34,47,87
"Soltero(a) (014)",17451,6453,6200,2628,1100,523,547
"Mujeres (016)",44297,6504,7971,8300,7588,5501,8433
"Conviviente (017)",11415,146,2453,4132,2860,1163,661
"Separado(a) (018)",1974,10,228,476,530,357,373
"Casado(a) (019)",11933,17,274,1588,2977,2948,4129
"Viudo(a) (020)",3338,1,8,70,230,421,2608
"Divorciado(a) (021)",189,,10,18,38,41,82
"Soltero(a) (022)",15448,6330,4998,2016,953,571,580
,,,,,,,
"URBANA (024)",56383,8361,10076,10661,9807,7066,10412
"Conviviente (025)",14025,165,2306,5032,3812,1706,1004
"Separado(a) (026)",1854,11,178,404,523,368,370
"Casado(a) (027)",15644,26,278,1848,3772,3791,5929
"Viudo(a) (028)",2861,1,5,68,195,338,2254
"Divorciado(a) (029)",287,,10,30,59,69,119
"Soltero(a) (030)",21712,8158,7299,3279,1446,794,736
"Hombres (032)",27046,4227,4855,5012,4592,3411,4949
"Conviviente (033)",6756,66,860,2348,1933,969,580
"Separado(a) (034)",472,4,38,72,131,110,117
"Casado(a) (035)",7641,13,86,737,1715,1848,3242
"Viudo(a) (036)",770,1,2,21,45,87,614
"Divorciado(a) (037)",138,,3,12,26,35,62
"Soltero(a) (038)",11269,4143,3866,1822,742,362,334
"Mujeres (040)",29337,4134,5221,5649,5215,3655,5463
"Conviviente (041)",7269,99,1446,2684,1879,737,424
"Separado(a) (042)",1382,7,140,332,392,258,253
"Casado(a) (043)",8003,13,192,1111,2057,1943,2687
"Viudo(a) (044)",2091,,3,47,150,251,1640
"Divorciado(a) (045)",149,,7,18,33,34,57
"Soltero(a) (046)",10443,4015,3433,1457,704,432,402
,,,,,,,
"RURAL (048)",29942,4712,5720,5311,4708,3627,5864
"Conviviente (049)",8190,74,1593,2903,2083,976,561
"Separado(a) (050)",798,5,98,170,188,146,191
"Casado(a) (051)",7859,7,118,839,1710,1940,3245
"Viudo(a) (052)",1822,1,9,33,107,246,1426
"Divorciado(a) (053)",86,,3,1,13,19,50
"Soltero(a) (054)",11187,4625,3899,1365,607,300,391
"Hombres (056)",14982,2342,2970,2660,2335,1781,2894
"Conviviente (057)",4044,27,586,1455,1102,550,324
"Separado(a) (058)",206,2,10,26,50,47,71
"Casado(a) (059)",3929,3,36,362,790,935,1803
"Viudo(a) (060)",575,,4,10,27,76,458
"Divorciado(a) (061)",46,,,1,8,12,25
"Soltero(a) (062)",6182,2310,2334,806,358,161,213
"Mujeres (064)",14960,2370,2750,2651,2373,1846,2970
"Conviviente (065)",4146,47,1007,1448,981,426,237
"Separado(a) (066)",592,3,88,144,138,99,120
"Casado(a) (067)",3930,4,82,477,920,1005,1442
"Viudo(a) (068)",1247,1,5,23,80,170,968
"Divorciado(a) (069)",40,,3,,5,7,25
"Soltero(a) (070)",5005,2315,1565,559,249,139,178
