"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PAITA (000)",34602,20193,4810,3344,6255
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",70,2,10,16,42
"Profes., científicos e intelectuales (002)",1543,458,279,477,329
"Técnicos de nivel medio y trab. asimilados (003)",1515,637,200,225,453
"Jefes y empleados de oficina (004)",1527,343,150,249,785
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",4205,3585,305,163,152
"Agricult.trabaj.calif.agrop.y pesqueros (006)",5627,4280,1116,151,80
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",4736,1562,445,623,2106
"Obreros construc.,conf.,papel, fab., instr. (008)",4024,3122,406,247,249
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",10356,5659,1823,1143,1731
"Otra (010)",229,,,,229
"Ocupación no especificada (011)",770,545,76,50,99
"Hombres (012)",25894,15022,4244,2464,4164
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",52,1,7,10,34
"Profes., científicos e intelectuales (014)",662,172,106,220,164
"Técnicos de nivel medio y trab. asimilados (015)",1029,403,151,180,295
"Jefes y empleados de oficina (016)",789,137,85,148,419
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",1852,1384,209,127,132
"Agricult.trabaj.calif.agrop.y pesqueros (018)",5549,4222,1103,145,79
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",3617,1343,414,444,1416
"Obreros construc.,conf.,papel, fab., instr. (020)",3939,3063,400,242,234
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",7859,4117,1721,915,1106
"Otra (022)",224,,,,224
"Ocupación no especificada (023)",322,180,48,33,61
"Mujeres (024)",8708,5171,566,880,2091
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",18,1,3,6,8
"Profes., científicos e intelectuales (026)",881,286,173,257,165
"Técnicos de nivel medio y trab. asimilados (027)",486,234,49,45,158
"Jefes y empleados de oficina (028)",738,206,65,101,366
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",2353,2201,96,36,20
"Agricult.trabaj.calif.agrop.y pesqueros (030)",78,58,13,6,1
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",1119,219,31,179,690
"Obreros construc.,conf.,papel, fab., instr. (032)",85,59,6,5,15
