"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CONCEPCION (000)",22847,22100,6528,2876,2897,2305,3266,2219,1261,748,747,63237
"De 12 a 14 años (001)",2184,2170,2154,14,2,,,,,,14,18
"De 15 a 19 años (002)",2918,2881,2552,288,31,7,3,,,,37,383
"De 20 a 24 años (003)",2401,2153,906,739,377,96,32,3,,,248,1939
"De 25 a 29 años (004)",2108,1919,292,604,548,285,170,19,1,,189,3407
"De 30 a 34 años (005)",1993,1907,144,353,506,417,380,88,18,1,86,4967
"De 35 a 39 años (006)",1972,1921,85,226,434,388,507,208,66,7,51,6444
"De 40 a 44 años (007)",1740,1699,49,160,288,306,453,294,109,40,41,6901
"De 45 a 49 años (008)",1466,1447,53,92,187,209,400,276,159,71,19,6799
"De 50 y más años (009)",6065,6003,293,400,524,597,1321,1331,908,629,62,32379
"Conviviente (010)",4893,4793,294,1198,1178,779,783,364,145,52,100,13411
"De 12 a 14 años (011)",25,15,5,8,2,,,,,,10,12
"De 15 a 19 años (012)",275,247,78,141,21,5,2,,,,28,206
"De 20 a 24 años (013)",865,839,85,416,260,59,18,1,,,26,1199
"De 25 a 29 años (014)",1027,1013,57,334,347,172,95,8,,,14,1999
"De 30 a 34 años (015)",861,850,20,154,238,219,173,35,10,1,11,2353
"De 35 a 39 años (016)",648,641,13,59,152,144,179,73,20,1,7,2212
"De 40 a 44 años (017)",469,468,5,25,91,89,129,88,31,10,1,1974
"De 45 a 49 años (018)",304,303,6,23,40,37,89,65,30,13,1,1424
"De 50 y más años (019)",419,417,25,38,27,54,98,94,54,27,2,2032
"Separado(a) (020)",1057,1046,13,297,242,150,189,101,38,16,11,3197
"De 12 a 14 años (021)",1,,,,,,,,,,1,
"De 15 a 19 años (022)",43,42,2,39,1,,,,,,1,41
