"CUADRO Nº 11: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia LUCANAS (000)",17527,163,510,1232,1981,3162,5536,4943
"De 12 a 14 años (001)",36,,,,,,2,34
"De 15 a 19 años (002)",436,,,,,,259,177
"De 20 a 24 años (003)",1550,,,,,3,955,592
"De 25 a 29 años (004)",1867,,,,,74,1201,592
"De 30 a 34 años (005)",1832,,,,1,278,1129,424
"De 35 a 39 años (006)",1809,,,,14,477,955,363
"De 40 a 44 años (007)",1680,,,,64,643,619,354
"De 45 a 49 años (008)",1403,,,1,165,659,322,256
"De 50 y más años (009)",6914,163,510,1231,1737,1028,94,2151
"Conviviente (010)",5132,6,25,80,225,774,2772,1250
"De 12 a 14 años (011)",28,,,,,,1,27
"De 15 a 19 años (012)",298,,,,,,172,126
"De 20 a 24 años (013)",889,,,,,1,638,250
"De 25 a 29 años (014)",1021,,,,,37,747,237
"De 30 a 34 años (015)",829,,,,1,112,545,171
"De 35 a 39 años (016)",632,,,,2,141,369,120
"De 40 a 44 años (017)",453,,,,17,163,202,71
"De 45 a 49 años (018)",324,,,,24,155,85,60
"De 50 y más años (019)",658,6,25,80,181,165,13,188
"Separado(a) (020)",839,3,13,51,101,192,283,196
"De 15 a 19 años (022)",20,,,,,,12,8
"De 20 a 24 años (023)",89,,,,,1,61,27
"De 25 a 29 años (024)",102,,,,,10,64,28
"De 30 a 34 años (025)",109,,,,,24,63,22
"De 35 a 39 años (026)",106,,,,2,38,44,22
"De 40 a 44 años (027)",88,,,,5,35,29,19
"De 45 a 49 años (028)",62,,,,16,29,8,9
"De 50 y más años (029)",263,3,13,51,78,55,2,61
"Casado(a) (030)",7552,35,196,670,1229,1831,1910,1681
"De 12 a 14 años (031)",1,,,,,,,1
"De 15 a 19 años (032)",15,,,,,,6,9
"De 20 a 24 años (033)",160,,,,,1,98,61
"De 25 a 29 años (034)",369,,,,,16,274,79
"De 30 a 34 años (035)",616,,,,,94,426,96
"De 35 a 39 años (036)",866,,,,7,250,479,130
"De 40 a 44 años (037)",925,,,,34,379,352,160
"De 45 a 49 años (038)",861,,,,99,412,207,143
"De 50 y más años (039)",3739,35,196,670,1089,679,68,1002
"Viudo(a) (040)",2218,111,258,399,355,195,76,824
"De 15 a 19 años (042)",3,,,,,,1,2
"De 20 a 24 años (043)",5,,,,,,3,2
"De 25 a 29 años (044)",8,,,,,,4,4
"De 30 a 34 años (045)",21,,,,,7,12,2
"De 35 a 39 años (046)",45,,,,1,10,21,13
"De 40 a 44 años (047)",87,,,,4,30,12,41
"De 45 a 49 años (048)",79,,,,15,38,13,13
"De 50 y más años (049)",1970,111,258,399,335,110,10,747
