"CUADRO Nº 19: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia OTUZCO (000)",29433,1997,2879,16350,206,6469,652,880
"Agric., ganadería, caza y silvicultura (001)",20870,30,1514,13249,135,5942,,
"Pesca (002)",2,2,,,,,,
"Explotación de minas y canteras (003)",596,11,553,24,7,1,,
"Industrias manufactureras (004)",709,16,127,502,6,58,,
"Suministro de electricidad, gas y agua (005)",25,4,19,2,,,,
"Construcción (006)",560,13,408,94,6,39,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1626,147,9,1260,21,189,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",38,1,4,32,,1,,
"Comercio al por mayor (009)",72,7,2,49,,14,,
"Comercio al por menor (010)",1516,139,3,1179,21,174,,
"Hoteles y restaurantes (011)",544,109,34,303,21,77,,
"Trans., almac. y comunicaciones (012)",414,107,100,191,6,10,,
"Intermediación financiera (013)",15,12,1,1,,1,,
"Activid.inmobil., empres. y alquileres (014)",148,105,6,31,2,4,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",229,198,31,,,,,
"Enseñanza (016)",979,927,,43,,9,,
"Servicios sociales y de salud (017)",154,139,,11,,4,,
"Otras activ. serv.comun.soc y personales (018)",235,104,15,110,1,5,,
"Hogares privados con servicio doméstico (019)",652,,,,,,652,
"Actividad economica no especificada (021)",795,73,62,529,1,130,,
"Desocupado (022)",880,,,,,,,880
"Hombres (023)",23463,1038,2568,14283,181,4657,36,700
"Agric., ganadería, caza y silvicultura (024)",18769,26,1318,12809,131,4485,,
"Pesca (025)",1,1,,,,,,
"Explotación de minas y canteras (026)",587,8,547,24,7,1,,
"Industrias manufactureras (027)",466,14,110,308,6,28,,
"Suministro de electricidad, gas y agua (028)",24,4,19,1,,,,
"Construcción (029)",554,12,406,92,6,38,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",780,83,7,628,14,48,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",32,1,3,27,,1,,
"Comercio al por mayor (032)",41,6,2,32,,1,,
"Comercio al por menor (033)",707,76,2,569,14,46,,
"Hoteles y restaurantes (034)",67,23,1,31,7,5,,
"Trans., almac. y comunicaciones (035)",389,90,97,187,6,9,,
"Intermediación financiera (036)",6,5,1,,,,,
"Activid.inmobil., empres. y alquileres (037)",107,70,5,26,2,4,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",177,150,27,,,,,
"Enseñanza (039)",457,428,,24,,5,,
"Servicios sociales y de salud (040)",50,42,,6,,2,,
"Otras activ. serv.comun.soc y personales (041)",103,53,1,48,1,,,
"Hogares privados con servicio doméstico (042)",36,,,,,,36,
"Actividad economica no especificada (044)",190,29,29,99,1,32,,
"Desocupado (045)",700,,,,,,,700
"Mujeres (046)",5970,959,311,2067,25,1812,616,180
"Agric., ganadería, caza y silvicultura (047)",2101,4,196,440,4,1457,,
"Pesca (048)",1,1,,,,,,
"Explotación de minas y canteras (049)",9,3,6,,,,,
"Industrias manufactureras (050)",243,2,17,194,,30,,
"Suministro de electricidad, gas y agua (051)",1,,,1,,,,
"Construcción (052)",6,1,2,2,,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",846,64,2,632,7,141,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",6,,1,5,,,,
"Comercio al por mayor (055)",31,1,,17,,13,,
"Comercio al por menor (056)",809,63,1,610,7,128,,
"Hoteles y restaurantes (057)",477,86,33,272,14,72,,
"Trans., almac. y comunicaciones (058)",25,17,3,4,,1,,
"Intermediación financiera (059)",9,7,,1,,1,,
"Activid.inmobil., empres. y alquileres (060)",41,35,1,5,,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",52,48,4,,,,,
"Enseñanza (062)",522,499,,19,,4,,
"Servicios sociales y de salud (063)",104,97,,5,,2,,
"Otras activ. serv.comun.soc y personales (064)",132,51,14,62,,5,,
"Hogares privados con servicio doméstico (065)",616,,,,,,616,
"Actividad economica no especificada (067)",605,44,33,430,,98,,
"Desocupado (068)",180,,,,,,,180
,,,,,,,,
"URBANA (069)",7795,1676,1054,3616,76,765,232,376
"Agric., ganadería, caza y silvicultura (070)",2650,24,422,1686,27,491,,
"Explotación de minas y canteras (072)",176,4,163,6,2,1,,
"Industrias manufactureras (073)",389,10,75,283,4,17,,
"Suministro de electricidad, gas y agua (074)",8,3,3,2,,,,
"Construcción (075)",354,11,261,66,3,13,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (076)",1203,109,7,919,17,151,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",28,1,2,25,,,,
"Comercio al por mayor (078)",58,4,2,40,,12,,
"Comercio al por menor (079)",1117,104,3,854,17,139,,
"Hoteles y restaurantes (080)",354,84,9,211,17,33,,
"Trans., almac. y comunicaciones (081)",297,88,51,151,3,4,,
"Intermediación financiera (082)",13,11,,1,,1,,
"Activid.inmobil., empres. y alquileres (083)",124,88,3,29,2,2,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",202,173,29,,,,,
"Enseñanza (085)",861,819,,37,,5,,
"Servicios sociales y de salud (086)",125,114,,9,,2,,
"Otras activ. serv.comun.soc y personales (087)",203,91,7,102,1,2,,
"Hogares privados con servicio doméstico (088)",232,,,,,,232,
"Actividad economica no especificada (090)",228,47,24,114,,43,,
"Desocupado (091)",376,,,,,,,376
"Hombres (092)",5183,866,921,2627,57,413,16,283
"Agric., ganadería, caza y silvicultura (093)",2317,22,339,1600,26,330,,
"Explotación de minas y canteras (095)",174,3,162,6,2,1,,
"Industrias manufactureras (096)",269,9,64,181,4,11,,
"Suministro de electricidad, gas y agua (097)",7,3,3,1,,,,
"Construcción (098)",349,10,260,64,3,12,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (099)",568,62,6,456,12,32,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",24,1,2,21,,,,
"Comercio al por mayor (101)",33,4,2,26,,1,,
"Comercio al por menor (102)",511,57,2,409,12,31,,
"Hoteles y restaurantes (103)",56,19,,28,4,5,,
"Trans., almac. y comunicaciones (104)",274,73,48,147,3,3,,
"Intermediación financiera (105)",4,4,,,,,,
"Activid.inmobil., empres. y alquileres (106)",88,58,2,24,2,2,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",158,132,26,,,,,
"Enseñanza (108)",389,366,,20,,3,,
"Servicios sociales y de salud (109)",42,36,,5,,1,,
"Otras activ. serv.comun.soc y personales (110)",91,46,,44,1,,,
"Hogares privados con servicio doméstico (111)",16,,,,,,16,
"Actividad economica no especificada (113)",98,23,11,51,,13,,
"Desocupado (114)",283,,,,,,,283
"Mujeres (115)",2612,810,133,989,19,352,216,93
"Agric., ganadería, caza y silvicultura (116)",333,2,83,86,1,161,,
"Explotación de minas y canteras (118)",2,1,1,,,,,
"Industrias manufactureras (119)",120,1,11,102,,6,,
