"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia MARISCAL CACERES (000)",20003,43,1268,535,565,2041,6979,968,1225,5738,134,507
"Agric., ganadería, caza y silvicultura (001)",10916,,14,10,2,,6961,1,6,3922,,
"Pesca (002)",27,,1,,,,18,,,8,,
"Explotación de minas y canteras (003)",6,,1,,,,,4,,1,,
"Industrias manufactureras (004)",808,,2,21,8,6,,704,57,10,,
"Suministro de electricidad, gas y agua (005)",27,,,3,6,,,4,8,6,,
"Construcción (006)",471,,16,21,3,,,28,298,105,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2229,1,6,77,23,1600,,212,8,302,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",270,,1,14,2,64,,172,4,13,,
"Comercio al por mayor (009)",113,,2,2,2,103,,,,4,,
"Comercio al por menor (010)",1846,1,3,61,19,1433,,40,4,285,,
"Hoteles y restaurantes (011)",592,1,4,28,12,336,,,,211,,
"Trans., almac. y comunicaciones (012)",1052,2,2,23,44,2,,7,826,146,,
"Intermediación financiera (013)",34,,4,7,22,,,,,1,,
"Activid.inmobil., empres. y alquileres (014)",329,1,89,80,74,43,,1,7,34,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",511,22,19,26,227,14,,2,9,58,134,
"Enseñanza (016)",1049,16,985,6,39,,,,,3,,
"Servicios sociales y de salud (017)",222,,86,108,16,5,,2,2,3,,
"Otras activ. serv.comun.soc y personales (018)",309,,30,102,16,33,,3,4,121,,
"Hogares privados con servicio doméstico (019)",809,,1,,,2,,,,806,,
"Actividad economica no especificada (021)",612,,8,23,73,,,,,1,,507
"Hombres (022)",14716,28,663,374,277,915,6477,834,1209,3602,130,207
"Agric., ganadería, caza y silvicultura (023)",9514,,11,9,1,,6461,1,6,3025,,
"Pesca (024)",25,,1,,,,16,,,8,,
"Explotación de minas y canteras (025)",6,,1,,,,,4,,1,,
"Industrias manufactureras (026)",664,,2,16,4,2,,575,55,10,,
"Suministro de electricidad, gas y agua (027)",24,,,2,4,,,4,8,6,,
"Construcción (028)",462,,15,21,3,,,28,293,102,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1200,,5,60,8,767,,207,8,145,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",228,,1,11,,35,,168,4,9,,
"Comercio al por mayor (031)",67,,2,1,,63,,,,1,,
"Comercio al por menor (032)",905,,2,48,8,669,,39,4,135,,
"Hoteles y restaurantes (033)",130,1,3,10,4,72,,,,40,,
"Trans., almac. y comunicaciones (034)",980,2,1,16,14,2,,7,817,121,,
"Intermediación financiera (035)",23,,3,4,15,,,,,1,,
"Activid.inmobil., empres. y alquileres (036)",247,1,69,57,45,43,,1,7,24,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",362,17,13,21,122,14,,2,9,34,130,
"Enseñanza (038)",504,7,467,4,23,,,,,3,,
"Servicios sociales y de salud (039)",105,,37,53,9,1,,2,2,1,,
"Otras activ. serv.comun.soc y personales (040)",188,,27,86,8,13,,3,4,47,,
"Hogares privados con servicio doméstico (041)",36,,1,,,1,,,,34,,
"Actividad economica no especificada (043)",246,,7,15,17,,,,,,,207
"Mujeres (044)",5287,15,605,161,288,1126,502,134,16,2136,4,300
"Agric., ganadería, caza y silvicultura (045)",1402,,3,1,1,,500,,,897,,
"Pesca (046)",2,,,,,,2,,,,,
"Industrias manufactureras (048)",144,,,5,4,4,,129,2,,,
"Suministro de electricidad, gas y agua (049)",3,,,1,2,,,,,,,
"Construcción (050)",9,,1,,,,,,5,3,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",1029,1,1,17,15,833,,5,,157,,
"Venta, mant.y rep. veh.autom.y motoc. (052)",42,,,3,2,29,,4,,4,,
"Comercio al por mayor (053)",46,,,1,2,40,,,,3,,
"Comercio al por menor (054)",941,1,1,13,11,764,,1,,150,,
"Hoteles y restaurantes (055)",462,,1,18,8,264,,,,171,,
"Trans., almac. y comunicaciones (056)",72,,1,7,30,,,,9,25,,
"Intermediación financiera (057)",11,,1,3,7,,,,,,,
"Activid.inmobil., empres. y alquileres (058)",82,,20,23,29,,,,,10,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",149,5,6,5,105,,,,,24,4,
"Enseñanza (060)",545,9,518,2,16,,,,,,,
"Servicios sociales y de salud (061)",117,,49,55,7,4,,,,2,,
"Otras activ. serv.comun.soc y personales (062)",121,,3,16,8,20,,,,74,,
"Hogares privados con servicio doméstico (063)",773,,,,,1,,,,772,,
"Actividad economica no especificada (065)",366,,1,8,56,,,,,1,,300
,,,,,,,,,,,,
"URBANA (066)",12634,42,1164,512,546,1818,3139,918,1150,2879,134,332
"Agric., ganadería, caza y silvicultura (067)",4475,,13,10,2,,3123,1,4,1322,,
"Pesca (068)",25,,1,,,,16,,,8,,
"Explotación de minas y canteras (069)",4,,1,,,,,3,,,,
"Industrias manufactureras (070)",764,,2,21,8,6,,662,55,10,,
"Suministro de electricidad, gas y agua (071)",26,,,3,6,,,4,8,5,,
"Construcción (072)",422,,16,20,3,,,27,276,80,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",2027,1,6,76,23,1421,,206,8,286,,
"Venta, mant.y rep. veh.autom.y motoc. (074)",263,,1,14,2,62,,167,4,13,,
"Comercio al por mayor (075)",100,,2,2,2,91,,,,3,,
"Comercio al por menor (076)",1664,1,3,60,19,1268,,39,4,270,,
"Hoteles y restaurantes (077)",526,1,4,28,12,293,,,,188,,
"Trans., almac. y comunicaciones (078)",995,2,2,22,43,2,,7,777,140,,
"Intermediación financiera (079)",33,,4,7,21,,,,,1,,
"Activid.inmobil., empres. y alquileres (080)",323,1,88,78,71,43,,1,7,34,,
"Admin.pub. y defensa; p. segur.soc.afil (081)",495,22,19,26,219,14,,2,9,50,134,
"Enseñanza (082)",943,15,885,6,34,,,,,3,,
"Servicios sociales y de salud (083)",207,,84,95,16,5,,2,2,3,,
"Otras activ. serv.comun.soc y personales (084)",296,,30,97,16,32,,3,4,114,,
"Hogares privados con servicio doméstico (085)",637,,1,,,2,,,,634,,
"Actividad economica no especificada (087)",436,,8,23,72,,,,,1,,332
"Hombres (088)",8607,27,603,356,265,815,2878,795,1137,1477,130,124
"Agric., ganadería, caza y silvicultura (089)",3854,,11,9,1,,2864,1,4,964,,
"Pesca (090)",23,,1,,,,14,,,8,,
"Explotación de minas y canteras (091)",4,,1,,,,,3,,,,
"Industrias manufactureras (092)",632,,2,16,4,2,,544,54,10,,
"Suministro de electricidad, gas y agua (093)",23,,,2,4,,,4,8,5,,
"Construcción (094)",413,,15,20,3,,,27,271,77,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",1090,,5,59,8,674,,201,8,135,,
"Venta, mant.y rep. veh.autom.y motoc. (096)",222,,1,11,,34,,163,4,9,,
"Comercio al por mayor (097)",61,,2,1,,57,,,,1,,
"Comercio al por menor (098)",807,,2,47,8,583,,38,4,125,,
"Hoteles y restaurantes (099)",120,1,3,10,4,66,,,,36,,
"Trans., almac. y comunicaciones (100)",926,2,1,15,14,2,,7,770,115,,
"Intermediación financiera (101)",22,,3,4,14,,,,,1,,
"Activid.inmobil., empres. y alquileres (102)",242,1,68,55,43,43,,1,7,24,,
"Admin.pub. y defensa; p. segur.soc.afil (103)",349,17,13,21,117,14,,2,9,26,130,
"Enseñanza (104)",441,6,409,4,19,,,,,3,,
"Servicios sociales y de salud (105)",96,,36,45,9,1,,2,2,1,,
"Otras activ. serv.comun.soc y personales (106)",179,,27,81,8,12,,3,4,44,,
"Hogares privados con servicio doméstico (107)",30,,1,,,1,,,,28,,
"Actividad economica no especificada (109)",163,,7,15,17,,,,,,,124
"Mujeres (110)",4027,15,561,156,281,1003,261,123,13,1402,4,208
"Agric., ganadería, caza y silvicultura (111)",621,,2,1,1,,259,,,358,,
"Pesca (112)",2,,,,,,2,,,,,
"Industrias manufactureras (114)",132,,,5,4,4,,118,1,,,
"Suministro de electricidad, gas y agua (115)",3,,,1,2,,,,,,,
"Construcción (116)",9,,1,,,,,,5,3,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",937,1,1,17,15,747,,5,,151,,
"Venta, mant.y rep. veh.autom.y motoc. (118)",41,,,3,2,28,,4,,4,,
"Comercio al por mayor (119)",39,,,1,2,34,,,,2,,
"Comercio al por menor (120)",857,1,1,13,11,685,,1,,145,,
"Hoteles y restaurantes (121)",406,,1,18,8,227,,,,152,,
"Trans., almac. y comunicaciones (122)",69,,1,7,29,,,,7,25,,
"Intermediación financiera (123)",11,,1,3,7,,,,,,,
"Activid.inmobil., empres. y alquileres (124)",81,,20,23,28,,,,,10,,
"Admin.pub. y defensa; p. segur.soc.afil (125)",146,5,6,5,102,,,,,24,4,
"Enseñanza (126)",502,9,476,2,15,,,,,,,
"Servicios sociales y de salud (127)",111,,48,50,7,4,,,,2,,
"Otras activ. serv.comun.soc y personales (128)",117,,3,16,8,20,,,,70,,
"Hogares privados con servicio doméstico (129)",607,,,,,1,,,,606,,
"Actividad economica no especificada (131)",273,,1,8,55,,,,,1,,208
,,,,,,,,,,,,
"RURAL (132)",7369,1,104,23,19,223,3840,50,75,2859,,175
"Agric., ganadería, caza y silvicultura (133)",6441,,1,,,,3838,,2,2600,,
"Pesca (134)",2,,,,,,2,,,,,
"Explotación de minas y canteras (135)",2,,,,,,,1,,1,,
"Industrias manufactureras (136)",44,,,,,,,42,2,,,
"Suministro de electricidad, gas y agua (137)",1,,,,,,,,,1,,
"Construcción (138)",49,,,1,,,,1,22,25,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (139)",202,,,1,,179,,6,,16,,
"Venta, mant.y rep. veh.autom.y motoc. (140)",7,,,,,2,,5,,,,
"Comercio al por mayor (141)",13,,,,,12,,,,1,,
"Comercio al por menor (142)",182,,,1,,165,,1,,15,,
"Hoteles y restaurantes (143)",66,,,,,43,,,,23,,
"Trans., almac. y comunicaciones (144)",57,,,1,1,,,,49,6,,
"Intermediación financiera (145)",1,,,,1,,,,,,,
"Activid.inmobil., empres. y alquileres (146)",6,,1,2,3,,,,,,,
"Admin.pub. y defensa; p. segur.soc.afil (147)",16,,,,8,,,,,8,,
"Enseñanza (148)",106,1,100,,5,,,,,,,
"Servicios sociales y de salud (149)",15,,2,13,,,,,,,,
"Otras activ. serv.comun.soc y personales (150)",13,,,5,,1,,,,7,,
"Hogares privados con servicio doméstico (151)",172,,,,,,,,,172,,
"Actividad economica no especificada (153)",176,,,,1,,,,,,,175
"Hombres (154)",6109,1,60,18,12,100,3599,39,72,2125,,83
"Agric., ganadería, caza y silvicultura (155)",5660,,,,,,3597,,2,2061,,
"Pesca (156)",2,,,,,,2,,,,,
"Explotación de minas y canteras (157)",2,,,,,,,1,,1,,
"Industrias manufactureras (158)",32,,,,,,,31,1,,,
"Suministro de electricidad, gas y agua (159)",1,,,,,,,,,1,,
"Construcción (160)",49,,,1,,,,1,22,25,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (161)",110,,,1,,93,,6,,10,,
"Venta, mant.y rep. veh.autom.y motoc. (162)",6,,,,,1,,5,,,,
"Comercio al por mayor (163)",6,,,,,6,,,,,,
"Comercio al por menor (164)",98,,,1,,86,,1,,10,,
"Hoteles y restaurantes (165)",10,,,,,6,,,,4,,
"Trans., almac. y comunicaciones (166)",54,,,1,,,,,47,6,,
"Intermediación financiera (167)",1,,,,1,,,,,,,
"Activid.inmobil., empres. y alquileres (168)",5,,1,2,2,,,,,,,
"Admin.pub. y defensa; p. segur.soc.afil (169)",13,,,,5,,,,,8,,
"Enseñanza (170)",63,1,58,,4,,,,,,,
"Servicios sociales y de salud (171)",9,,1,8,,,,,,,,
"Otras activ. serv.comun.soc y personales (172)",9,,,5,,1,,,,3,,
"Hogares privados con servicio doméstico (173)",6,,,,,,,,,6,,
"Actividad economica no especificada (175)",83,,,,,,,,,,,83
"Mujeres (176)",1260,,44,5,7,123,241,11,3,734,,92
"Agric., ganadería, caza y silvicultura (177)",781,,1,,,,241,,,539,,
"Industrias manufactureras (180)",12,,,,,,,11,1,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (183)",92,,,,,86,,,,6,,
"Venta, mant.y rep. veh.autom.y motoc. (184)",1,,,,,1,,,,,,
"Comercio al por mayor (185)",7,,,,,6,,,,1,,
"Comercio al por menor (186)",84,,,,,79,,,,5,,
"Hoteles y restaurantes (187)",56,,,,,37,,,,19,,
"Trans., almac. y comunicaciones (188)",3,,,,1,,,,2,,,
"Activid.inmobil., empres. y alquileres (190)",1,,,,1,,,,,,,
"Admin.pub. y defensa; p. segur.soc.afil (191)",3,,,,3,,,,,,,
"Enseñanza (192)",43,,42,,1,,,,,,,
"Servicios sociales y de salud (193)",6,,1,5,,,,,,,,
"Otras activ. serv.comun.soc y personales (194)",4,,,,,,,,,4,,
"Hogares privados con servicio doméstico (195)",166,,,,,,,,,166,,
"Actividad economica no especificada (197)",93,,,,1,,,,,,,92
