"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia HUANCAYO (000)",126376,990,3343,7994,15889,26288,40001,31871
"De 12 a 14 años (001)",117,,,,,,7,110
"De 15 a 19 años (002)",2098,,,,,,1242,856
"De 20 a 24 años (003)",11224,,,,,25,6044,5155
"De 25 a 29 años (004)",15259,,,,,722,9169,5368
"De 30 a 34 años (005)",15738,,,,2,2503,9231,4002
"De 35 a 39 años (006)",15570,,,,166,4838,7539,3027
"De 40 a 44 años (007)",14027,,,1,925,6000,4602,2499
"De 45 a 49 años (008)",12240,,,57,2453,5895,1845,1990
"De 50 y más años (009)",40103,990,3343,7936,12343,6305,322,8864
"PEA (010)",57050,74,466,2145,6968,14083,18141,15173
"De 12 a 14 años (011)",20,,,,,,,20
"De 15 a 19 años (012)",598,,,,,,357,241
"De 20 a 24 años (013)",4525,,,,,15,2248,2262
"De 25 a 29 años (014)",7289,,,,,392,3916,2981
"De 30 a 34 años (015)",8302,,,,2,1425,4499,2376
"De 35 a 39 años (016)",8535,,,,114,2792,3778,1851
"De 40 a 44 años (017)",7761,,,1,553,3405,2305,1497
"De 45 a 49 años (018)",6677,,,32,1425,3169,899,1152
"De 50 y más años (019)",13343,74,466,2112,4874,2885,139,2793
"Ocupada (020)",55155,73,462,2124,6864,13748,17444,14440
"De 12 a 14 años (021)",20,,,,,,,20
"De 15 a 19 años (022)",552,,,,,,336,216
"De 20 a 24 años (023)",4174,,,,,14,2090,2070
"De 25 a 29 años (024)",6872,,,,,374,3729,2769
"De 30 a 34 años (025)",7975,,,,2,1372,4351,2250
"De 35 a 39 años (026)",8267,,,,113,2710,3663,1781
"De 40 a 44 años (027)",7582,,,1,541,3324,2257,1459
"De 45 a 49 años (028)",6537,,,32,1395,3106,881,1123
"De 50 y más años (029)",13176,73,462,2091,4813,2848,137,2752
"Desocupada (030)",1895,1,4,21,104,335,697,733
"De 15 a 19 años (032)",46,,,,,,21,25
"De 20 a 24 años (033)",351,,,,,1,158,192
"De 25 a 29 años (034)",417,,,,,18,187,212
"De 30 a 34 años (035)",327,,,,,53,148,126
"De 35 a 39 años (036)",268,,,,1,82,115,70
"De 40 a 44 años (037)",179,,,,12,81,48,38
"De 45 a 49 años (038)",140,,,,30,63,18,29
"De 50 y más años (039)",167,1,4,21,61,37,2,41
"No PEA (040)",69326,916,2877,5849,8921,12205,21860,16698
"De 12 a 14 años (041)",97,,,,,,7,90
"De 15 a 19 años (042)",1500,,,,,,885,615
"De 20 a 24 años (043)",6699,,,,,10,3796,2893
"De 25 a 29 años (044)",7970,,,,,330,5253,2387
