"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia RIOJA (000)",35369,34271,9903,5081,4854,3846,4782,2848,1745,1212,1098,94072
"De 12 a 14 años (001)",4024,3977,3945,27,5,,,,,,47,37
"De 15 a 19 años (002)",5358,5191,4053,961,151,22,4,,,,167,1345
"De 20 a 24 años (003)",4550,4175,1079,1699,1027,292,71,7,,,375,4968
"De 25 a 29 años (004)",4188,3952,333,1142,1239,743,448,41,6,,236,8061
"De 30 a 34 años (005)",3767,3659,153,568,1015,854,840,188,34,7,108,10352
"De 35 a 39 años (006)",3427,3379,101,289,647,728,1067,428,103,16,48,12195
"De 40 a 44 años (007)",2646,2611,74,134,336,475,758,527,226,81,35,11773
"De 45 a 49 años (008)",1998,1976,44,75,157,297,559,435,277,132,22,10396
"De 50 y más años (009)",5411,5351,121,186,277,435,1035,1222,1099,976,60,34945
"Sin nivel (010)",4014,3922,235,211,284,330,707,809,709,637,92,23365
"De 12 a 14 años (011)",51,49,48,1,,,,,,,2,1
"De 15 a 19 años (012)",106,103,65,24,11,2,1,,,,3,56
"De 20 a 24 años (013)",145,133,22,41,44,16,10,,,,12,218
"De 25 a 29 años (014)",204,193,13,35,46,46,42,10,1,,11,513
"De 30 a 34 años (015)",243,233,11,20,42,54,66,34,6,,10,819
"De 35 a 39 años (016)",355,343,9,23,34,43,122,78,31,3,12,1554
"De 40 a 44 años (017)",354,344,10,11,22,28,84,102,61,26,10,1963
"De 45 a 49 años (018)",382,373,8,9,17,21,65,103,88,62,9,2524
"De 50 y más años (019)",2174,2151,49,47,68,120,317,482,522,546,23,15717
"Educacion Inicial (020)",73,71,21,8,9,13,14,3,2,1,2,173
"De 12 a 14 años (021)",11,11,11,,,,,,,,,
