"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia TALARA (000)",35679,318,1036,2093,4196,7332,11604,9100
"De 12 a 14 años (001)",47,,,,,,2,45
"De 15 a 19 años (002)",934,,,,,,547,387
"De 20 a 24 años (003)",3810,,,,,8,2267,1535
"De 25 a 29 años (004)",4663,,,,,205,3044,1414
"De 30 a 34 años (005)",4346,,,,,688,2662,996
"De 35 a 39 años (006)",4073,,,,51,1423,1776,823
"De 40 a 44 años (007)",4020,,,,323,1952,978,767
"De 45 a 49 años (008)",3626,,,12,855,1738,282,739
"De 50 y más años (009)",10160,318,1036,2081,2967,1318,46,2394
"Sin nivel (010)",1417,64,154,191,203,229,185,391
"De 15 a 19 años (012)",5,,,,,,2,3
"De 20 a 24 años (013)",48,,,,,,27,21
"De 25 a 29 años (014)",42,,,,,1,26,15
"De 30 a 34 años (015)",89,,,,,11,46,32
"De 35 a 39 años (016)",93,,,,2,34,34,23
"De 40 a 44 años (017)",115,,,,8,53,32,22
"De 45 a 49 años (018)",126,,,1,19,58,17,31
"De 50 y más años (019)",899,64,154,190,174,72,1,244
"Educacion Inicial (020)",30,,,,,5,17,8
"De 15 a 19 años (022)",1,,,,,,1,
"De 20 a 24 años (023)",12,,,,,,7,5
"De 25 a 29 años (024)",6,,,,,,4,2
"De 30 a 34 años (025)",3,,,,,2,1,
"De 35 a 39 años (026)",8,,,,,3,4,1
"Primaria (030)",10756,188,632,1115,1647,2335,2584,2255
"De 12 a 14 años (031)",26,,,,,,1,25
"De 15 a 19 años (032)",169,,,,,,103,66
"De 20 a 24 años (033)",595,,,,,2,382,211
"De 25 a 29 años (034)",798,,,,,46,569,183
"De 30 a 34 años (035)",971,,,,,176,626,169
"De 35 a 39 años (036)",1148,,,,19,435,514,180
"De 40 a 44 años (037)",1127,,,,101,566,287,173
"De 45 a 49 años (038)",1136,,,3,286,568,86,193
"De 50 y más años (039)",4786,188,632,1112,1241,542,16,1055
"Secundaria (040)",11887,34,110,409,1229,2429,4757,2919
"De 12 a 14 años (041)",21,,,,,,1,20
"De 15 a 19 años (042)",631,,,,,,372,259
"De 20 a 24 años (043)",1783,,,,,6,1181,596
"De 25 a 29 años (044)",1920,,,,,91,1329,500
"De 30 a 34 años (045)",1520,,,,,269,951,300
"De 35 a 39 años (046)",1321,,,,14,496,542,269
"De 40 a 44 años (047)",1371,,,,115,699,288,269
"De 45 a 49 años (048)",1119,,,7,308,518,78,208
"De 50 y más años (049)",2201,34,110,402,792,350,15,498
"Sup. no Univ. incompleta (050)",2392,1,22,62,155,395,1027,730
