"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia URUBAMBA (000)",16088,6850,9238
"Casa independiente (001)",15527,6340,9187
"Departamento en edificio (002)",89,89,
"Vivienda en quinta (003)",71,71,
"Vivienda en casa de vecindad (004)",314,314,
"Choza o cabaña (005)",45,,45
"Vivienda improvisada (006)",18,18,
"Local no dest.para hab. humana (007)",8,7,1
"Otro tipo (008)",16,11,5
