"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CARAVELI (000)",16677,692,8,3256,7645,1283,1501,795,1497
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",56,4,,6,9,3,9,6,19
"Profes., científicos e intelectuales (002)",754,,,,28,23,106,44,553
"Técnicos de nivel medio ytrab.asimilados (003)",488,6,,11,106,86,145,31,103
"Jefes y empleados de oficina (004)",361,1,,2,113,46,76,27,96
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",2321,123,1,437,1095,186,220,109,150
"Agricult.trabaj. calif.agrop. y pesquros (006)",1894,140,,565,735,137,124,92,101
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",4727,114,5,852,2714,332,364,179,167
"Obreros. construc., conf., papel, fab., instr (008)",1207,13,2,201,609,99,117,92,74
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",4463,276,,1119,2076,336,286,174,196
"Otra (010)",125,,,,40,9,27,34,15
"Ocupación no especificada (011)",281,15,,63,120,26,27,7,23
"Hombres (012)",12594,365,6,2390,6119,1005,1052,666,991
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",36,4,,5,8,2,2,6,9
"Profes., científicos e intelectuales (014)",348,,,,5,5,34,23,281
"Técnicos de nivel medio ytrab.asimilados (015)",332,1,,9,72,63,83,25,79
"Jefes y empleados de oficina (016)",200,,,1,64,23,34,14,64
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",824,15,,109,417,74,84,62,63
"Agricult.trabaj. calif.agrop. y pesquros (018)",1693,104,,490,675,129,115,87,93
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",4466,93,4,788,2592,308,345,177,159
"Obreros. construc., conf., papel, fab., instr (020)",1197,13,2,200,604,99,115,92,72
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",3236,132,,770,1576,275,202,142,139
"Otra (022)",122,,,,40,9,26,33,14
"Ocupación no especificada (023)",140,3,,18,66,18,12,5,18
"Mujeres (024)",4083,327,2,866,1526,278,449,129,506
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",20,,,1,1,1,7,,10
"Profes., científicos e intelectuales (026)",406,,,,23,18,72,21,272
"Técnicos de nivel medio ytrab.asimilados (027)",156,5,,2,34,23,62,6,24
"Jefes y empleados de oficina (028)",161,1,,1,49,23,42,13,32
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",1497,108,1,328,678,112,136,47,87
"Agricult.trabaj. calif.agrop. y pesquros (030)",201,36,,75,60,8,9,5,8
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",261,21,1,64,122,24,19,2,8
"Obreros. construc., conf., papel, fab., instr (032)",10,,,1,5,,2,,2
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",1227,144,,349,500,61,84,32,57
"Otra (034)",3,,,,,,1,1,1
"Ocupación no especificada (035)",141,12,,45,54,8,15,2,5
,,,,,,,,,
"URBANA (036)",9524,335,5,1642,3957,792,1092,516,1185
"Miembros p.ejec. y leg.direct., adm.pub.y emp (037)",37,,,3,3,3,9,3,16
