"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia MANU (000)",4400,,7,40,186,646,2190,1331
"De 12 a 14 años (001)",6,,,,,,1,5
"De 15 a 19 años (002)",270,,,,,,160,110
"De 20 a 24 años (003)",918,,,,,4,543,371
"De 25 a 29 años (004)",810,,,,,31,534,245
"De 30 a 34 años (005)",705,,,,,96,413,196
"De 35 a 39 años (006)",571,,,,6,150,313,102
"De 40 a 44 años (007)",420,,,,19,165,156,80
"De 45 a 49 años (008)",286,,,,38,125,54,69
"De 50 y más años (009)",414,,7,40,123,75,16,153
"PEA (010)",2179,,2,15,91,368,1003,700
"De 12 a 14 años (011)",1,,,,,,,1
"De 15 a 19 años (012)",102,,,,,,52,50
"De 20 a 24 años (013)",447,,,,,1,252,194
"De 25 a 29 años (014)",386,,,,,18,227,141
"De 30 a 34 años (015)",369,,,,,47,213,109
"De 35 a 39 años (016)",308,,,,5,89,147,67
"De 40 a 44 años (017)",241,,,,13,105,79,44
"De 45 a 49 años (018)",158,,,,26,66,28,38
"De 50 y más años (019)",167,,2,15,47,42,5,56
"Ocupada (020)",2145,,2,15,90,367,984,687
"De 12 a 14 años (021)",1,,,,,,,1
"De 15 a 19 años (022)",98,,,,,,49,49
"De 20 a 24 años (023)",435,,,,,1,246,188
"De 25 a 29 años (024)",378,,,,,18,220,140
"De 30 a 34 años (025)",364,,,,,47,210,107
"De 35 a 39 años (026)",307,,,,5,89,147,66
"De 40 a 44 años (027)",240,,,,13,104,79,44
"De 45 a 49 años (028)",155,,,,25,66,28,36
"De 50 y más años (029)",167,,2,15,47,42,5,56
"Desocupada (030)",34,,,,1,1,19,13
"De 15 a 19 años (032)",4,,,,,,3,1
"De 20 a 24 años (033)",12,,,,,,6,6
"De 25 a 29 años (034)",8,,,,,,7,1
"De 30 a 34 años (035)",5,,,,,,3,2
"De 35 a 39 años (036)",1,,,,,,,1
"De 40 a 44 años (037)",1,,,,,1,,
"De 45 a 49 años (038)",3,,,,1,,,2
"No PEA (040)",2221,,5,25,95,278,1187,631
"De 12 a 14 años (041)",5,,,,,,1,4
"De 15 a 19 años (042)",168,,,,,,108,60
"De 20 a 24 años (043)",471,,,,,3,291,177
"De 25 a 29 años (044)",424,,,,,13,307,104
"De 30 a 34 años (045)",336,,,,,49,200,87
"De 35 a 39 años (046)",263,,,,1,61,166,35
"De 40 a 44 años (047)",179,,,,6,60,77,36
"De 45 a 49 años (048)",128,,,,12,59,26,31
"De 50 y más años (049)",247,,5,25,76,33,11,97
,,,,,,,,
"URBANA (060)",1773,,3,18,72,295,819,566
