"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia PACHITEA (000)",885,29,532,197,93,34
"Conviviente (001)",169,,92,58,14,5
"Separado(a) (002)",34,,15,13,4,2
"Casado(a) (003)",115,,12,39,51,13
"Viudo(a) (004)",26,,1,7,7,11
"Divorciado(a) (005)",4,,,3,1,
"Soltero(a) (006)",537,29,412,77,16,3
"Hombres (008)",607,23,338,140,79,27
"Conviviente (009)",133,,70,46,12,5
"Separado(a) (010)",16,,4,8,2,2
"Casado(a) (011)",95,,6,32,45,12
"Viudo(a) (012)",15,,,3,6,6
"Divorciado(a) (013)",3,,,2,1,
"Soltero(a) (014)",345,23,258,49,13,2
"Mujeres (016)",278,6,194,57,14,7
"Conviviente (017)",36,,22,12,2,
"Separado(a) (018)",18,,11,5,2,
"Casado(a) (019)",20,,6,7,6,1
"Viudo(a) (020)",11,,1,4,1,5
"Divorciado(a) (021)",1,,,1,,
"Soltero(a) (022)",192,6,154,28,3,1
,,,,,,
"AREA URBANA (024)",242,8,147,58,24,5
"Conviviente (025)",60,,31,22,6,1
"Separado(a) (026)",9,,2,4,2,1
"Casado(a) (027)",32,,4,15,12,1
"Viudo(a) (028)",6,,,2,2,2
"Soltero(a) (030)",135,8,110,15,2,
"Hombres (032)",172,5,101,40,22,4
"Conviviente (033)",45,,21,17,6,1
"Separado(a) (034)",5,,1,1,2,1
"Casado(a) (035)",23,,1,11,10,1
"Viudo(a) (036)",4,,,1,2,1
"Soltero(a) (038)",95,5,78,10,2,
"Mujeres (040)",70,3,46,18,2,1
"Conviviente (041)",15,,10,5,,
"Separado(a) (042)",4,,1,3,,
"Casado(a) (043)",9,,3,4,2,
"Viudo(a) (044)",2,,,1,,1
"Soltero(a) (046)",40,3,32,5,,
,,,,,,
"AREA RURAL (048)",643,21,385,139,69,29
"Conviviente (049)",109,,61,36,8,4
"Separado(a) (050)",25,,13,9,2,1
"Casado(a) (051)",83,,8,24,39,12
"Viudo(a) (052)",20,,1,5,5,9
"Divorciado(a) (053)",4,,,3,1,
"Soltero(a) (054)",402,21,302,62,14,3
"Hombres (056)",435,18,237,100,57,23
"Conviviente (057)",88,,49,29,6,4
"Separado(a) (058)",11,,3,7,,1
"Casado(a) (059)",72,,5,21,35,11
"Viudo(a) (060)",11,,,2,4,5
"Divorciado(a) (061)",3,,,2,1,
"Soltero(a) (062)",250,18,180,39,11,2
"Mujeres (064)",208,3,148,39,12,6
"Conviviente (065)",21,,12,7,2,
"Separado(a) (066)",14,,10,2,2,
"Casado(a) (067)",11,,3,3,4,1
"Viudo(a) (068)",9,,1,3,1,4
"Divorciado(a) (069)",1,,,1,,
"Soltero(a) (070)",152,3,122,23,3,1
