"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia CAÑETE (000)",90552,48976,4410,984,33861,782,23,210,12,1294
"Hombres (001)",33102,24169,2655,495,4488,409,17,124,11,734
"Mujeres (002)",57450,24807,1755,489,29373,373,6,86,1,560
"De 06 a 14 años (003)",36082,35098,,,667,144,1,27,,145
"Hombres (004)",18245,17763,,,306,86,,14,,76
"Mujeres (005)",17837,17335,,,361,58,1,13,,69
"De 15 a 29 años (006)",25185,13545,31,151,10937,,4,45,12,460
"Hombres (007)",8006,6291,19,46,1348,,2,33,11,256
"Mujeres (008)",17179,7254,12,105,9589,,2,12,1,204
"De 30 a 44 años (009)",10242,261,60,166,9466,,4,43,,242
"Hombres (010)",1151,90,32,74,783,,4,22,,146
"Mujeres (011)",9091,171,28,92,8683,,,21,,96
"De 45 a 64 años (012)",9483,64,931,262,7940,11,10,39,,226
"Hombres (013)",1753,23,499,133,931,6,8,24,,129
"Mujeres (014)",7730,41,432,129,7009,5,2,15,,97
"De 65 y más años (015)",9560,8,3388,405,4851,627,4,56,,221
"Hombres (016)",3947,2,2105,242,1120,317,3,31,,127
"Mujeres (017)",5613,6,1283,163,3731,310,1,25,,94
,,,,,,,,,,
"AREA URBANA (018)",76264,41481,3826,845,28188,646,17,180,11,1070
"Hombres (019)",28174,20424,2298,407,4000,329,12,103,10,591
"Mujeres (020)",48090,21057,1528,438,24188,317,5,77,1,479
"De 06 a 14 años (021)",30543,29688,,,589,128,1,20,,117
"Hombres (022)",15422,14995,,,282,76,,9,,60
"Mujeres (023)",15121,14693,,,307,52,1,11,,57
"De 15 a 29 años (024)",21325,11501,31,137,9226,,4,40,11,375
"Hombres (025)",6868,5333,19,40,1230,,2,29,10,205
"Mujeres (026)",14457,6168,12,97,7996,,2,11,1,170
"De 30 a 44 años (027)",8554,227,57,155,7873,,4,35,,203
"Hombres (028)",1005,75,32,68,694,,4,15,,117
"Mujeres (029)",7549,152,25,87,7179,,,20,,86
"De 45 a 64 años (030)",7914,57,834,225,6554,10,6,35,,193
"Hombres (031)",1547,19,453,113,822,5,5,21,,109
"Mujeres (032)",6367,38,381,112,5732,5,1,14,,84
"De 65 y más años (033)",7928,8,2904,328,3946,508,2,50,,182
"Hombres (034)",3332,2,1794,186,972,248,1,29,,100
"Mujeres (035)",4596,6,1110,142,2974,260,1,21,,82
,,,,,,,,,,
"AREA RURAL (036)",14288,7495,584,139,5673,136,6,30,1,224
"Hombres (037)",4928,3745,357,88,488,80,5,21,1,143
"Mujeres (038)",9360,3750,227,51,5185,56,1,9,,81
"De 06 a 14 años (039)",5539,5410,,,78,16,,7,,28
"Hombres (040)",2823,2768,,,24,10,,5,,16
"Mujeres (041)",2716,2642,,,54,6,,2,,12
"De 15 a 29 años (042)",3860,2044,,14,1711,,,5,1,85
"Hombres (043)",1138,958,,6,118,,,4,1,51
"Mujeres (044)",2722,1086,,8,1593,,,1,,34
"De 30 a 44 años (045)",1688,34,3,11,1593,,,8,,39
"Hombres (046)",146,15,,6,89,,,7,,29
"Mujeres (047)",1542,19,3,5,1504,,,1,,10
"De 45 a 64 años (048)",1569,7,97,37,1386,1,4,4,,33
"Hombres (049)",206,4,46,20,109,1,3,3,,20
"Mujeres (050)",1363,3,51,17,1277,,1,1,,13
"De 65 y más años (051)",1632,,484,77,905,119,2,6,,39
"Hombres (052)",615,,311,56,148,69,2,2,,27
"Mujeres (053)",1017,,173,21,757,50,,4,,12
