"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CHINCHEROS (000)",19855,5188,14667
"Casa independiente (001)",18939,5141,13798
"Departamento en edificio (002)",2,2,
"Vivienda en quinta (003)",2,2,
"Vivienda en casa de vecindad (004)",30,30,
"Choza o cabaña (005)",863,,863
"Vivienda improvisada (006)",11,11,
"Local no dest.para hab. humana (007)",7,2,5
"Otro tipo (008)",1,,1
