"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia MARISCAL NIETO (000)",58907,6491,10840,12919,11013,7484,10160
"Conviviente (001)",14453,150,2420,5536,3645,1535,1167
"Separado(a) (002)",2509,10,137,528,747,560,527
"Casado(a) (003)",18208,24,325,2686,4825,4400,5948
"Viudo(a) (004)",2167,,10,47,150,244,1716
"Divorciado(a) (005)",471,,11,37,105,126,192
"Soltero(a) (006)",21099,6307,7937,4085,1541,619,610
"Hombres (008)",30022,3226,5483,6545,5519,3844,5405
"Conviviente (009)",7358,71,911,2774,2025,886,691
"Separado(a) (010)",855,1,21,154,237,208,234
"Casado(a) (011)",9356,20,115,1168,2335,2288,3430
"Viudo(a) (012)",748,,6,12,39,80,611
"Divorciado(a) (013)",214,,7,12,36,55,104
"Soltero(a) (014)",11491,3134,4423,2425,847,327,335
"Mujeres (016)",28885,3265,5357,6374,5494,3640,4755
"Conviviente (017)",7095,79,1509,2762,1620,649,476
"Separado(a) (018)",1654,9,116,374,510,352,293
"Casado(a) (019)",8852,4,210,1518,2490,2112,2518
"Viudo(a) (020)",1419,,4,35,111,164,1105
"Divorciado(a) (021)",257,,4,25,69,71,88
"Soltero(a) (022)",9608,3173,3514,1660,694,292,275
,,,,,,,
"URBANA (024)",50512,5770,9519,11112,9541,6326,8244
"Conviviente (025)",11985,141,2086,4672,2998,1208,880
"Separado(a) (026)",2215,9,121,448,676,503,458
"Casado(a) (027)",15622,22,287,2392,4278,3781,4862
"Viudo(a) (028)",1732,,10,36,131,192,1363
"Divorciado(a) (029)",418,,11,33,88,118,168
"Soltero(a) (030)",18540,5598,7004,3531,1370,524,513
"Hombres (032)",25221,2846,4719,5458,4664,3177,4357
"Conviviente (033)",5966,68,769,2274,1643,681,531
"Separado(a) (034)",728,1,18,125,208,185,191
"Casado(a) (035)",7867,19,101,999,2025,1938,2785
"Viudo(a) (036)",594,,6,11,31,58,488
"Divorciado(a) (037)",184,,7,11,27,49,90
"Soltero(a) (038)",9882,2758,3818,2038,730,266,272
"Mujeres (040)",25291,2924,4800,5654,4877,3149,3887
"Conviviente (041)",6019,73,1317,2398,1355,527,349
"Separado(a) (042)",1487,8,103,323,468,318,267
"Casado(a) (043)",7755,3,186,1393,2253,1843,2077
"Viudo(a) (044)",1138,,4,25,100,134,875
"Divorciado(a) (045)",234,,4,22,61,69,78
"Soltero(a) (046)",8658,2840,3186,1493,640,258,241
,,,,,,,
"RURAL (048)",8395,721,1321,1807,1472,1158,1916
"Conviviente (049)",2468,9,334,864,647,327,287
"Separado(a) (050)",294,1,16,80,71,57,69
"Casado(a) (051)",2586,2,38,294,547,619,1086
"Viudo(a) (052)",435,,,11,19,52,353
"Divorciado(a) (053)",53,,,4,17,8,24
"Soltero(a) (054)",2559,709,933,554,171,95,97
"Hombres (056)",4801,380,764,1087,855,667,1048
"Conviviente (057)",1392,3,142,500,382,205,160
"Separado(a) (058)",127,,3,29,29,23,43
"Casado(a) (059)",1489,1,14,169,310,350,645
"Viudo(a) (060)",154,,,1,8,22,123
"Divorciado(a) (061)",30,,,1,9,6,14
"Soltero(a) (062)",1609,376,605,387,117,61,63
"Mujeres (064)",3594,341,557,720,617,491,868
"Conviviente (065)",1076,6,192,364,265,122,127
"Separado(a) (066)",167,1,13,51,42,34,26
"Casado(a) (067)",1097,1,24,125,237,269,441
"Viudo(a) (068)",281,,,10,11,30,230
"Divorciado(a) (069)",23,,,3,8,2,10
"Soltero(a) (070)",950,333,328,167,54,34,34
