"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia SAN ROMAN (000)",93799,184778,168664,,3902,91.3,2.1
"De 12 a 14 años (001)",8511,34,31,,,91.2,
"De 15 a 19 años (002)",13298,950,918,298,96.6,31.4,
"De 20 a 24 años (003)",13149,6440,6266,1046,97.3,16.2,
"De 25 a 29 años (004)",11442,13482,13103,1042,97.2,7.7,
"De 30 a 34 años (005)",10305,20254,19463,816,96.1,4,
"De 35 a 39 años (006)",9044,24265,23004,484,94.8,2,
"De 40 a 44 años (007)",7368,24019,22480,189,93.6,0.8,
"De 45 a 49 años (008)",5973,22977,21140,27,92,0.1,
"De 50 y más años (009)",14709,72357,62259,,86,,
"Sin nivel (010)",7420,37613,31550,80,83.9,0.2,
"De 12 a 14 años (011)",40,3,3,,100,,
"De 15 a 19 años (012)",63,10,10,3,100,30,
"De 20 a 24 años (013)",101,85,83,17,97.6,20,
"De 25 a 29 años (014)",121,235,226,19,96.2,8.1,
"De 30 a 34 años (015)",186,490,481,17,98.2,3.5,
"De 35 a 39 años (016)",226,806,747,12,92.7,1.5,
"De 40 a 44 años (017)",382,1606,1460,10,90.9,0.6,
"De 45 a 49 años (018)",548,2773,2466,2,88.9,0.1,
"De 50 y más años (019)",5753,31605,26074,,82.5,,
"Educacion Inicial (020)",89,91,87,4,95.6,4.4,
"De 12 a 14 años (021)",18,,,,,,
"De 15 a 19 años (022)",13,,,,,,
"De 20 a 24 años (023)",19,7,7,1,100,14.3,
"De 25 a 29 años (024)",11,13,12,1,92.3,7.7,
"De 30 a 34 años (025)",19,49,47,2,95.9,4.1,
"De 35 a 39 años (026)",9,22,21,,95.5,,
"Primaria (030)",24034,78268,71430,971,91.3,1.2,
"De 12 a 14 años (031)",2157,15,13,,86.7,,
"De 15 a 19 años (032)",818,157,152,43,96.8,27.4,
"De 20 a 24 años (033)",1194,1367,1329,182,97.2,13.3,
"De 25 a 29 años (034)",1990,3941,3815,253,96.8,6.4,
"De 30 a 34 años (035)",2615,7031,6649,214,94.6,3,
"De 35 a 39 años (036)",3068,10333,9740,177,94.3,1.7,
"De 40 a 44 años (037)",3234,12279,11398,83,92.8,0.7,
"De 45 a 49 años (038)",2891,12547,11481,19,91.5,0.2,
"De 50 y más años (039)",6067,30598,26853,,87.8,,
