"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUANTA (000)",92450,42123,50327
"Casa independiente (001)",86245,40866,45379
"Departamento en edificio (002)",123,123,
"Vivienda en quinta (003)",522,522,
"Vivienda en casa de vecindad (004)",361,361,
"Choza o cabaña (005)",4877,,4877
"Vivienda improvisada (006)",220,220,
"Local no dest.para hab. humana (007)",92,31,61
"Otro tipo (008)",10,,10
