"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CUTERVO (000)",37440,7545,29895
"Casa independiente (001)",34076,7295,26781
"Departamento en edificio (002)",74,74,
"Vivienda en quinta (003)",61,61,
"Vivienda en casa de vecindad (004)",74,74,
"Choza o cabaña (005)",3099,,3099
"Vivienda improvisada (006)",32,32,
"Local no dest.para hab. humana (007)",21,8,13
"Otro tipo (008)",3,1,2
