"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia OYON (000)",7550,4625,677,834,1414
"Hombres (001)",5609,3095,536,721,1257
"Mujeres (002)",1941,1530,141,113,157
"De 06 a 14 años (003)",79,72,3,3,1
"Hombres (004)",46,40,3,2,1
"Mujeres (005)",33,32,,1,
"De 15 a 29 años (006)",2378,1412,244,287,435
"Hombres (007)",1767,954,197,250,366
"Mujeres (008)",611,458,47,37,69
"De 30 a 44 años (009)",2804,1434,278,394,698
"Hombres (010)",2125,957,206,329,633
"Mujeres (011)",679,477,72,65,65
"De 45 a 64 años (012)",1753,1207,136,140,270
"Hombres (013)",1294,798,117,131,248
"Mujeres (014)",459,409,19,9,22
"De 65 y más años (015)",536,500,16,10,10
"Hombres (016)",377,346,13,9,9
"Mujeres (017)",159,154,3,1,1
,,,,,
"URBANA (018)",4175,2787,373,460,555
"Hombres (019)",2889,1784,284,370,451
"Mujeres (020)",1286,1003,89,90,104
"De 06 a 14 años (021)",50,44,3,2,1
"Hombres (022)",33,27,3,2,1
"Mujeres (023)",17,17,,,
"De 15 a 29 años (024)",1288,847,133,151,157
"Hombres (025)",897,551,103,127,116
"Mujeres (026)",391,296,30,24,41
"De 30 a 44 años (027)",1541,867,156,237,281
"Hombres (028)",1059,541,107,177,234
"Mujeres (029)",482,326,49,60,47
"De 45 a 64 años (030)",971,727,71,63,110
"Hombres (031)",671,455,63,58,95
"Mujeres (032)",300,272,8,5,15
"De 65 y más años (033)",325,302,10,7,6
"Hombres (034)",229,210,8,6,5
"Mujeres (035)",96,92,2,1,1
,,,,,
"RURAL (036)",3375,1838,304,374,859
"Hombres (037)",2720,1311,252,351,806
"Mujeres (038)",655,527,52,23,53
"De 06 a 14 años (039)",29,28,,1,
"Hombres (040)",13,13,,,
"Mujeres (041)",16,15,,1,
"De 15 a 29 años (042)",1090,565,111,136,278
"Hombres (043)",870,403,94,123,250
"Mujeres (044)",220,162,17,13,28
"De 30 a 44 años (045)",1263,567,122,157,417
"Hombres (046)",1066,416,99,152,399
"Mujeres (047)",197,151,23,5,18
"De 45 a 64 años (048)",782,480,65,77,160
"Hombres (049)",623,343,54,73,153
"Mujeres (050)",159,137,11,4,7
"De 65 y más años (051)",211,198,6,3,4
"Hombres (052)",148,136,5,3,4
"Mujeres (053)",63,62,1,,
