"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia BONGARA (000)",25783,1213,3008,3431,2956,4210,3847,5398,1720
"Sabe leer y escribir (001)",22024,,2124,3377,2902,4056,3602,4720,1243
"No sabe leer y escribir (002)",3759,1213,884,54,54,154,245,678,477
"Hombres (004)",13305,597,1535,1771,1606,2203,1967,2833,793
"Sabe leer y escribir (005)",11801,,1081,1738,1580,2158,1899,2666,679
"No sabe leer y escribir (006)",1504,597,454,33,26,45,68,167,114
"Mujeres (008)",12478,616,1473,1660,1350,2007,1880,2565,927
"Sabe leer y escribir (009)",10223,,1043,1639,1322,1898,1703,2054,564
"No sabe leer y escribir (010)",2255,616,430,21,28,109,177,511,363
,,,,,,,,,
"URBANA (012)",15555,674,1695,1970,1776,2418,2459,3455,1108
"Sabe leer y escribir (013)",13780,,1284,1944,1748,2367,2369,3197,871
"No sabe leer y escribir (014)",1775,674,411,26,28,51,90,258,237
"Hombres (016)",7948,327,847,1031,984,1230,1237,1795,497
"Sabe leer y escribir (017)",7249,,650,1012,971,1215,1212,1737,452
"No sabe leer y escribir (018)",699,327,197,19,13,15,25,58,45
"Mujeres (020)",7607,347,848,939,792,1188,1222,1660,611
"Sabe leer y escribir (021)",6531,,634,932,777,1152,1157,1460,419
"No sabe leer y escribir (022)",1076,347,214,7,15,36,65,200,192
,,,,,,,,,
"RURAL (024)",10228,539,1313,1461,1180,1792,1388,1943,612
"Sabe leer y escribir (025)",8244,,840,1433,1154,1689,1233,1523,372
"No sabe leer y escribir (026)",1984,539,473,28,26,103,155,420,240
"Hombres (028)",5357,270,688,740,622,973,730,1038,296
"Sabe leer y escribir (029)",4552,,431,726,609,943,687,929,227
"No sabe leer y escribir (030)",805,270,257,14,13,30,43,109,69
"Mujeres (032)",4871,269,625,721,558,819,658,905,316
"Sabe leer y escribir (033)",3692,,409,707,545,746,546,594,145
"No sabe leer y escribir (034)",1179,269,216,14,13,73,112,311,171
