"CUADRO Nº 15: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia AMBO (000)",16833,1183,2276,9273,265,2698,183,955
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",36,35,,,1,,,
"Profes., científicos e intelectuales (002)",532,472,,56,4,,,
"Técnicos de nivel medio y trab. asimilados (003)",200,119,,63,15,3,,
"Jefes y empleados de oficina (004)",156,155,,1,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1072,120,7,823,19,103,,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",7205,,,7027,178,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",489,,154,294,14,27,,
"Obreros construc.,conf.,papel, fab., instr. (008)",830,118,206,471,25,10,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",5044,104,1883,374,4,2496,183,
"Otra (010)",29,29,,,,,,
"Ocupaciñn no especificada (011)",285,31,26,164,5,59,,
"Desocupado (012)",955,,,,,,,955
"Hombres (013)",13680,709,2095,8072,234,1807,24,739
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",25,24,,,1,,,
"Profes., científicos e intelectuales (015)",305,269,,32,4,,,
"Técnicos de nivel medio y trab. asimilados (016)",129,63,,55,9,2,,
"Jefes y empleados de oficina (017)",72,72,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",437,66,1,347,9,14,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",6901,,,6732,169,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",423,,149,245,13,16,,
"Obreros construc.,conf.,papel, fab., instr. (021)",821,117,205,465,25,9,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (022)",3717,61,1725,144,2,1761,24,
"Otra (023)",28,28,,,,,,
"Ocupaciñn no especificada (024)",83,9,15,52,2,5,,
"Desocupado (025)",739,,,,,,,739
"Mujeres (026)",3153,474,181,1201,31,891,159,216
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",11,11,,,,,,
"Profes., científicos e intelectuales (028)",227,203,,24,,,,
"Técnicos de nivel medio y trab. asimilados (029)",71,56,,8,6,1,,
"Jefes y empleados de oficina (030)",84,83,,1,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",635,54,6,476,10,89,,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",304,,,295,9,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",66,,5,49,1,11,,
"Obreros construc.,conf.,papel, fab., instr. (034)",9,1,1,6,,1,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (035)",1327,43,158,230,2,735,159,
"Otra (036)",1,1,,,,,,
"Ocupaciñn no especificada (037)",202,22,11,112,3,54,,
"Desocupado (038)",216,,,,,,,216
,,,,,,,,
"URBANA (039)",5591,928,800,2689,95,477,94,508
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",26,25,,,1,,,
"Profes., científicos e intelectuales (041)",417,373,,41,3,,,
"Técnicos de nivel medio y trab. asimilados (042)",161,99,,47,12,3,,
"Jefes y empleados de oficina (043)",123,122,,1,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",826,87,4,628,17,90,,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",1102,,,1076,26,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",328,,81,219,9,19,,
"Obreros construc.,conf.,papel, fab., instr. (047)",604,98,140,339,21,6,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (048)",1359,83,551,277,4,350,94,
"Otra (049)",28,28,,,,,,
"Ocupaciñn no especificada (050)",109,13,24,61,2,9,,
"Desocupado (051)",508,,,,,,,508
"Hombres (052)",4076,556,746,2004,77,288,12,393
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",20,19,,,1,,,
"Profes., científicos e intelectuales (054)",228,202,,23,3,,,
"Técnicos de nivel medio y trab. asimilados (055)",103,54,,39,8,2,,
"Jefes y empleados de oficina (056)",54,54,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",331,45,1,267,8,10,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",1052,,,1027,25,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",285,,79,186,8,12,,
"Obreros construc.,conf.,papel, fab., instr. (060)",597,97,140,333,21,6,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (061)",938,51,512,105,2,256,12,
"Otra (062)",27,27,,,,,,
"Ocupaciñn no especificada (063)",48,7,14,24,1,2,,
"Desocupado (064)",393,,,,,,,393
"Mujeres (065)",1515,372,54,685,18,189,82,115
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",6,6,,,,,,
"Profes., científicos e intelectuales (067)",189,171,,18,,,,
"Técnicos de nivel medio y trab. asimilados (068)",58,45,,8,4,1,,
"Jefes y empleados de oficina (069)",69,68,,1,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",495,42,3,361,9,80,,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",50,,,49,1,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",43,,2,33,1,7,,
"Obreros construc.,conf.,papel, fab., instr. (073)",7,1,,6,,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (074)",421,32,39,172,2,94,82,
"Otra (075)",1,1,,,,,,
"Ocupaciñn no especificada (076)",61,6,10,37,1,7,,
"Desocupado (077)",115,,,,,,,115
,,,,,,,,
"RURAL (078)",11242,255,1476,6584,170,2221,89,447
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",10,10,,,,,,
"Profes., científicos e intelectuales (080)",115,99,,15,1,,,
"Técnicos de nivel medio y trab. asimilados (081)",39,20,,16,3,,,
"Jefes y empleados de oficina (082)",33,33,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",246,33,3,195,2,13,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",6103,,,5951,152,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",161,,73,75,5,8,,
"Obreros construc.,conf.,papel, fab., instr. (086)",226,20,66,132,4,4,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (087)",3685,21,1332,97,,2146,89,
"Otra (088)",1,1,,,,,,
"Ocupaciñn no especificada (089)",176,18,2,103,3,50,,
"Desocupado (090)",447,,,,,,,447
"Hombres (091)",9604,153,1349,6068,157,1519,12,346
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",5,5,,,,,,
"Profes., científicos e intelectuales (093)",77,67,,9,1,,,
"Técnicos de nivel medio y trab. asimilados (094)",26,9,,16,1,,,
"Jefes y empleados de oficina (095)",18,18,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (096)",106,21,,80,1,4,,
"Agricult.trabaj.calif.agrop.y pesqueros (097)",5849,,,5705,144,,,
