"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia VILCAS HUAMAN (000)",6650,6485,49,976,1027,924,1647,1158,552,152,165,26771
"De 12 a 14 años (001)",7,4,2,2,,,,,,,3,2
"De 15 a 19 años (002)",206,188,8,159,19,1,1,,,,18,204
"De 20 a 24 años (003)",565,530,2,300,172,46,9,1,,,35,827
"De 25 a 29 años (004)",647,608,2,155,226,147,73,4,1,,39,1386
"De 30 a 34 años (005)",643,628,1,81,170,174,172,28,2,,15,1887
"De 35 a 39 años (006)",633,623,2,48,101,127,255,68,22,,10,2368
"De 40 a 44 años (007)",614,605,1,44,64,92,195,143,58,8,9,2806
"De 45 a 49 años (008)",514,509,2,25,42,53,182,126,61,18,5,2607
"De 50 y más años (009)",2821,2790,29,162,233,284,760,788,408,126,31,14684
"Sin nivel (010)",2658,2626,26,176,251,284,773,676,344,96,32,13212
"De 12 a 14 años (011)",1,1,,1,,,,,,,,1
"De 15 a 19 años (012)",6,5,1,3,,,1,,,,1,7
"De 20 a 24 años (013)",31,29,,13,12,2,2,,,,2,51
"De 25 a 29 años (014)",55,53,,12,15,17,8,1,,,2,134
"De 30 a 34 años (015)",82,81,,10,12,19,36,3,1,,1,278
"De 35 a 39 años (016)",108,106,,5,15,12,50,19,5,,2,458
"De 40 a 44 años (017)",195,193,,15,16,21,56,55,27,3,2,970
"De 45 a 49 años (018)",151,150,2,6,12,13,47,39,23,8,1,801
"De 50 y más años (019)",2029,2008,23,111,169,200,573,559,288,85,21,10512
"Educacion Inicial (020)",9,8,,4,,,3,1,,,1,25
"De 15 a 19 años (022)",1,1,,1,,,,,,,,1
"De 20 a 24 años (023)",1,1,,1,,,,,,,,1
