"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia ANTA (000)",14526,13747,47,2046,2260,2101,3567,2386,1064,276,779,55842
"De 12 a 14 años (001)",22,3,,3,,,,,,,19,3
"De 15 a 19 años (002)",304,258,2,219,33,4,,,,,46,297
"De 20 a 24 años (003)",1352,1046,5,653,295,70,21,2,,,306,1553
"De 25 a 29 años (004)",1587,1409,3,434,520,285,153,11,3,,178,3066
"De 30 a 34 años (005)",1594,1532,2,184,444,414,388,87,12,1,62,4650
"De 35 a 39 años (006)",1730,1700,5,140,280,397,608,223,44,3,30,6373
"De 40 a 44 años (007)",1576,1540,,72,156,247,564,376,103,22,36,7105
"De 45 a 49 años (008)",1383,1368,6,59,139,185,421,362,153,43,15,6830
"De 50 y más años (009)",4978,4891,24,282,393,499,1412,1325,749,207,87,25965
"Sin nivel (010)",4520,4432,23,270,393,496,1292,1216,581,161,88,22753
"De 15 a 19 años (012)",11,8,,5,1,2,,,,,3,13
"De 20 a 24 años (013)",48,45,1,16,14,5,8,1,,,3,100
"De 25 a 29 años (014)",91,86,,8,23,20,28,5,2,,5,279
"De 30 a 34 años (015)",157,149,,18,25,29,56,19,2,,8,535
"De 35 a 39 años (016)",254,248,1,18,27,40,87,58,16,1,6,1097
"De 40 a 44 años (017)",327,321,,14,21,39,90,119,31,7,6,1673
"De 45 a 49 años (018)",364,360,2,13,26,37,80,131,48,23,4,2023
"De 50 y más años (019)",3268,3215,19,178,256,324,943,883,482,130,53,17033
"Educacion Inicial (020)",16,15,,2,2,4,6,,1,,1,53
"De 20 a 24 años (023)",5,4,,2,1,1,,,,,1,7
"De 25 a 29 años (024)",3,3,,,1,2,,,,,,8
