"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia QUISPICANCHI (000)",26385,21287,2010,1085,2003
"Agric., ganadería, caza y silvicultura (001)",14453,13579,747,87,40
"Pesca (002)",4,1,1,1,1
"Explotación de minas y canteras (003)",321,247,51,18,5
"Industrias manufactureras (004)",1734,1483,153,51,47
"Suministro de electricidad, gas y agua (005)",50,7,5,37,1
"Construcción (006)",2161,794,409,397,561
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2182,2040,100,18,24
"Venta, mant.y rep. veh.autom y motoc. (008)",161,127,13,6,15
"Comercio al por mayor (009)",86,62,11,4,9
"Comercio al por menor (010)",1935,1851,76,8,
"Hoteles y restaurantes (011)",815,691,55,18,51
"Trans., almac. y comunicaciones (012)",1169,900,100,86,83
"Intermediación financiera (013)",8,,1,2,5
"Activid.inmobil., empres. y alquileres (014)",325,133,49,59,84
"Admin.pub. y defensa; p. segur soc.afil (015)",833,,,,833
"Enseñanza (016)",624,169,171,191,93
"Servicios sociales y de salud (017)",189,61,13,13,102
"Otras activ. serv.comun.soc y personales (018)",309,194,50,45,20
"Hogares privados con servicio doméstico (019)",266,266,,,
"Actividad economica no especificada (021)",942,722,105,62,53
"Hombres (022)",17818,13740,1550,858,1670
"Agric., ganadería, caza y silvicultura (023)",10248,9546,592,73,37
"Pesca (024)",2,,1,1,
"Explotación de minas y canteras (025)",308,236,50,17,5
"Industrias manufactureras (026)",968,800,93,31,44
"Suministro de electricidad, gas y agua (027)",47,6,5,35,1
"Construcción (028)",2057,769,396,368,524
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",832,747,52,9,24
"Venta, mant.y rep. veh.autom y motoc. (030)",153,120,12,6,15
"Comercio al por mayor (031)",61,44,7,1,9
"Comercio al por menor (032)",618,583,33,2,
"Hoteles y restaurantes (033)",152,94,17,8,33
"Trans., almac. y comunicaciones (034)",1115,866,90,77,82
"Intermediación financiera (035)",2,,,,2
"Activid.inmobil., empres. y alquileres (036)",261,96,41,49,75
"Admin.pub. y defensa; p. segur soc.afil (037)",679,,,,679
"Enseñanza (038)",326,76,92,101,57
"Servicios sociales y de salud (039)",74,22,2,3,47
"Otras activ. serv.comun.soc y personales (040)",208,107,43,40,18
"Hogares privados con servicio doméstico (041)",58,58,,,
