"CUADRO Nº 1: POBLACIÓN TOTAL, POR ÁREA URBANA Y RURAL, Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",TOTAL,POBLACIÓN,,TOTAL,URBANA,,TOTAL,RURAL,
,,HOMBRES,MUJERES,,HOMBRES,MUJERES,,HOMBRES,MUJERES
,,,,,,,,,
"Provincia SULLANA (000)",287680,142411,145269,258723,127295,131428,28957,15116,13841
"Menores de 1 año (001)",5846,2873,2973,5272,2629,2643,574,244,330
"Menores de 1 mes (002)",535,268,267,490,253,237,45,15,30
"De 1 a 11 meses (003)",5311,2605,2706,4782,2376,2406,529,229,300
"De 1 a 4 años (004)",24746,12543,12203,22117,11213,10904,2629,1330,1299
"1 año (005)",5794,2901,2893,5176,2582,2594,618,319,299
"2 años (006)",6630,3297,3333,5915,2953,2962,715,344,371
"3 años (007)",6600,3397,3203,5887,3035,2852,713,362,351
"4 años (008)",5722,2948,2774,5139,2643,2496,583,305,278
"De 5 a 9 años (009)",27082,13730,13352,24236,12276,11960,2846,1454,1392
"5 años (010)",5703,2934,2769,5165,2669,2496,538,265,273
"6 años (011)",5117,2540,2577,4546,2269,2277,571,271,300
"7 años (012)",5268,2672,2596,4670,2385,2285,598,287,311
"8 años (013)",5571,2792,2779,4981,2460,2521,590,332,258
"9 años (014)",5423,2792,2631,4874,2493,2381,549,299,250
"De 10 a 14 años (015)",30361,15344,15017,27032,13638,13394,3329,1706,1623
"10 años (016)",5920,2992,2928,5330,2669,2661,590,323,267
"11 años (017)",5792,2948,2844,5200,2655,2545,592,293,299
"12 años (018)",5976,3002,2974,5284,2634,2650,692,368,324
"13 años (019)",6059,3070,2989,5375,2730,2645,684,340,344
"14 años (020)",6614,3332,3282,5843,2950,2893,771,382,389
"De 15 a 19 años (021)",29773,14956,14817,26593,13297,13296,3180,1659,1521
"15 años (022)",6564,3269,3295,5849,2924,2925,715,345,370
"16 años (023)",6310,3149,3161,5658,2823,2835,652,326,326
"17 años (024)",5859,3001,2858,5170,2629,2541,689,372,317
"18 años (025)",5655,2905,2750,5082,2592,2490,573,313,260
"19 años (026)",5385,2632,2753,4834,2329,2505,551,303,248
"De 20 a 24 años (027)",25255,12284,12971,22644,10858,11786,2611,1426,1185
"20 años (028)",5358,2638,2720,4789,2322,2467,569,316,253
"21 años (029)",4542,2190,2352,4093,1957,2136,449,233,216
"22 años (030)",5402,2619,2783,4835,2305,2530,567,314,253
"23 años (031)",5082,2467,2615,4518,2169,2349,564,298,266
"24 años (032)",4871,2370,2501,4409,2105,2304,462,265,197
"De 25 a 29 años (033)",23677,11372,12305,21452,10251,11201,2225,1121,1104
"25 años (034)",4658,2231,2427,4202,2006,2196,456,225,231
"26 años (035)",4562,2202,2360,4140,1990,2150,422,212,210
"27 años (036)",5221,2549,2672,4712,2293,2419,509,256,253
"28 años (037)",4710,2284,2426,4279,2064,2215,431,220,211
"29 años (038)",4526,2106,2420,4119,1898,2221,407,208,199
