"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia AYMARAES (000)",9159,68,649,171,184,558,2869,558,481,3408,43,170
"Agric., ganadería, caza y silvicultura (001)",5463,,6,11,1,,2865,,,2580,,
"Pesca (002)",5,,,,,,4,,,1,,
"Explotación de minas y canteras (003)",930,,88,56,36,8,,407,133,202,,
"Industrias manufactureras (004)",117,,5,1,,1,,103,7,,,
"Suministro de electricidad, gas y agua (005)",9,,1,1,,,,6,,1,,
"Construcción (006)",369,,4,4,1,,,14,156,190,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",574,,,4,2,442,,21,2,103,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",22,,,,,6,,14,2,,,
"Comercio al por mayor (009)",29,,,1,,26,,,,2,,
"Comercio al por menor (010)",523,,,3,2,410,,7,,101,,
"Hoteles y restaurantes (011)",185,,1,10,1,88,,,,85,,
"Trans., almac. y comunicaciones (012)",201,,,5,10,1,,,160,25,,
"Intermediación financiera (013)",6,1,1,,4,,,,,,,
"Activid.inmobil., empres. y alquileres (014)",53,,19,9,,6,,2,1,16,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",341,62,16,8,90,3,,5,19,95,43,
"Enseñanza (016)",486,5,444,1,15,,,,2,19,,
"Servicios sociales y de salud (017)",121,,59,43,12,3,,,1,3,,
"Otras activ. serv.comun.soc y personales (018)",60,,3,18,10,6,,,,23,,
"Hogares privados con servicio doméstico (019)",65,,,,,,,,,65,,
"Actividad economica no especificada (021)",174,,2,,2,,,,,,,170
"Hombres (022)",6977,58,397,119,118,191,2403,523,476,2595,43,54
