"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia ESPINAR (000)",62698,62087,333,278
"Hombres (001)",31489,31201,128,160
"Mujeres (002)",31209,30886,205,118
"Menores de 1 año (003)",1110,980,66,64
"Hombres (004)",575,502,38,35
"Mujeres (005)",535,478,28,29
"De 1 a 5 años (006)",7394,7090,105,199
"Hombres (007)",3802,3625,55,122
"Mujeres (008)",3592,3465,50,77
"De 6 a 14 años (009)",14922,14909,8,5
"Hombres (010)",7659,7652,4,3
"Mujeres (011)",7263,7257,4,2
"De 15 a 29 años (012)",15618,15613,4,1
"Hombres (013)",7708,7704,4,
"Mujeres (014)",7910,7909,,1
"De 30 a 44 años (015)",11108,11099,4,5
"Hombres (016)",5531,5530,1,
"Mujeres (017)",5577,5569,3,5
"De 45 a 64 años (018)",8516,8499,17,
"Hombres (019)",4356,4353,3,
"Mujeres (020)",4160,4146,14,
"De 65 a más años (021)",4030,3897,129,4
"Hombres (022)",1858,1835,23,
"Mujeres (023)",2172,2062,106,4
,,,,
"URBANA (024)",28305,28089,122,94
"Hombres (025)",14364,14249,64,51
"Mujeres (026)",13941,13840,58,43
"Menores de 1 año (027)",523,459,40,24
"Hombres (028)",273,233,24,16
"Mujeres (029)",250,226,16,8
"De 1 a 5 años (030)",3259,3140,57,62
"Hombres (031)",1695,1628,33,34
"Mujeres (032)",1564,1512,24,28
"De 6 a 14 años (033)",6768,6766,1,1
"Hombres (034)",3508,3506,1,1
"Mujeres (035)",3260,3260,,
"De 15 a 29 años (036)",8074,8071,2,1
"Hombres (037)",3960,3958,2,
"Mujeres (038)",4114,4113,,1
"De 30 a 44 años (039)",5590,5585,,5
"Hombres (040)",2796,2796,,
"Mujeres (041)",2794,2789,,5
"De 45 a 64 años (042)",3106,3104,2,
"Hombres (043)",1732,1732,,
"Mujeres (044)",1374,1372,2,
"De 65 a más años (045)",985,964,20,1
"Hombres (046)",400,396,4,
"Mujeres (047)",585,568,16,1
,,,,
"RURAL (048)",34393,33998,211,184
"Hombres (049)",17125,16952,64,109
"Mujeres (050)",17268,17046,147,75
"Menores de 1 año (051)",587,521,26,40
"Hombres (052)",302,269,14,19
"Mujeres (053)",285,252,12,21
"De 1 a 5 años (054)",4135,3950,48,137
"Hombres (055)",2107,1997,22,88
"Mujeres (056)",2028,1953,26,49
"De 6 a 14 años (057)",8154,8143,7,4
"Hombres (058)",4151,4146,3,2
"Mujeres (059)",4003,3997,4,2
"De 15 a 29 años (060)",7544,7542,2,
"Hombres (061)",3748,3746,2,
"Mujeres (062)",3796,3796,,
"De 30 a 44 años (063)",5518,5514,4,
"Hombres (064)",2735,2734,1,
"Mujeres (065)",2783,2780,3,
"De 45 a 64 años (066)",5410,5395,15,
"Hombres (067)",2624,2621,3,
"Mujeres (068)",2786,2774,12,
"De 65 a más años (069)",3045,2933,109,3
"Hombres (070)",1458,1439,19,
"Mujeres (071)",1587,1494,90,3
